substrate_UniProtAC	canonical_UniProtAC	substrate_genename	accession_is_isoform	needs_sequence_remap	canonical_counting_status	site_count_accession_level	label
Q96EV2	Q96EV2	RBM33	False	False	canonical_or_unversioned_accession	22	RBM33 (Q96EV2)
Q96T58	Q96T58	SPEN	False	False	canonical_or_unversioned_accession	22	SPEN (Q96T58)
O60506	O60506	SYNCRIP	False	False	canonical_or_unversioned_accession	22	SYNCRIP (O60506)
Q15654	Q15654	TRIP6	False	False	canonical_or_unversioned_accession	22	TRIP6 (Q15654)
P17844	P17844	DDX5	False	False	canonical_or_unversioned_accession	21	DDX5 (P17844)
Q1KMD3	Q1KMD3	HNRNPUL2	False	False	canonical_or_unversioned_accession	21	HNRNPUL2 (Q1KMD3)
Q15149	Q15149	PLEC	False	False	canonical_or_unversioned_accession	21	PLEC (Q15149)
Q9H0D6	Q9H0D6	XRN2	False	False	canonical_or_unversioned_accession	21	XRN2 (Q9H0D6)
Q15056	Q15056	EIF4H	False	False	canonical_or_unversioned_accession	20	EIF4H (Q15056)
P09651	P09651	HNRNPA1	False	False	canonical_or_unversioned_accession	20	HNRNPA1 (P09651)
P51991	P51991	HNRNPA3	False	False	canonical_or_unversioned_accession	20	HNRNPA3 (P51991)
Q9BUJ2	Q9BUJ2	HNRNPUL1	False	False	canonical_or_unversioned_accession	20	HNRNPUL1 (Q9BUJ2)
Q15424	Q15424	SAFB	False	False	canonical_or_unversioned_accession	20	SAFB (Q15424)
P23246	P23246	SFPQ	False	False	canonical_or_unversioned_accession	20	SFPQ (P23246)
Q08211	Q08211	DHX9	False	False	canonical_or_unversioned_accession	19	DHX9 (Q08211)
P31942	P31942	HNRNPH3	False	False	canonical_or_unversioned_accession	19	HNRNPH3 (P31942)
O75376	O75376	NCOR1	False	False	canonical_or_unversioned_accession	19	NCOR1 (O75376)
P11940	P11940	PABPC1	False	False	canonical_or_unversioned_accession	19	PABPC1 (P11940)
Q5VT52	Q5VT52	RPRD2	False	False	canonical_or_unversioned_accession	19	RPRD2 (Q5VT52)
P12270	P12270	TPR	False	False	canonical_or_unversioned_accession	19	TPR (P12270)
Q12830	Q12830	BPTF	False	False	canonical_or_unversioned_accession	18	BPTF (Q12830)
Q14444	Q14444	CAPRIN1	False	False	canonical_or_unversioned_accession	18	CAPRIN1 (Q14444)
P33240	P33240	CSTF2	False	False	canonical_or_unversioned_accession	18	CSTF2 (P33240)
O43390	O43390	HNRNPR	False	False	canonical_or_unversioned_accession	18	HNRNPR (O43390)
P19338	P19338	NCL	False	False	canonical_or_unversioned_accession	17	NCL (P19338)
Q15596	Q15596	NCOA2	False	False	canonical_or_unversioned_accession	17	NCOA2 (Q15596)
Q9Y618	Q9Y618	NCOR2	False	False	canonical_or_unversioned_accession	17	NCOR2 (Q9Y618)
Q86V81	Q86V81	ALYREF	False	False	canonical_or_unversioned_accession	16	ALYREF (Q86V81)
Q8WWM7	Q8WWM7	ATXN2L	False	False	canonical_or_unversioned_accession	16	ATXN2L (Q8WWM7)
Q14204	Q14204	DYNC1H1	False	False	canonical_or_unversioned_accession	16	DYNC1H1 (Q14204)
P22087	P22087	FBL	False	False	canonical_or_unversioned_accession	16	FBL (P22087)
Q96I24	Q96I24	FUBP3	False	False	canonical_or_unversioned_accession	16	FUBP3 (Q96I24)
Q9NY12	Q9NY12	GAR1	False	False	canonical_or_unversioned_accession	16	GAR1 (Q9NY12)
P10070	P10070	GLI2	False	False	canonical_or_unversioned_accession	16	GLI2 (P10070)
G8JLB6	G8JLB6	HNRNPH1	False	False	canonical_or_unversioned_accession	16	HNRNPH1 (G8JLB6)
P31943	P31943	HNRNPH1	False	False	canonical_or_unversioned_accession	16	HNRNPH1 (P31943)
O14654	O14654	IRS4	False	False	canonical_or_unversioned_accession	16	IRS4 (O14654)
P0DI83	P0DI83	RAB34	False	False	canonical_or_unversioned_accession	16	RAB34 (P0DI83)
Q9BTD8	Q9BTD8	RBM42	False	False	canonical_or_unversioned_accession	16	RBM42 (Q9BTD8)
Q14151	Q14151	SAFB2	False	False	canonical_or_unversioned_accession	16	SAFB2 (Q14151)
Q9UPN6	Q9UPN6	SCAF8	False	False	canonical_or_unversioned_accession	16	SCAF8 (Q9UPN6)
Q13435	Q13435	SF3B2	False	False	canonical_or_unversioned_accession	16	SF3B2 (Q13435)
Q13242	Q13242	SRSF9	False	False	canonical_or_unversioned_accession	16	SRSF9 (Q13242)
P08670	P08670	VIM	False	False	canonical_or_unversioned_accession	16	VIM (P08670)
E9PB61	E9PB61	ALYREF	False	False	canonical_or_unversioned_accession	15	ALYREF (E9PB61)
Q9C0C7	Q9C0C7	AMBRA1	False	False	canonical_or_unversioned_accession	15	AMBRA1 (Q9C0C7)
O14497	O14497	ARID1A	False	False	canonical_or_unversioned_accession	15	ARID1A (O14497)
Q99700	Q99700	ATXN2	False	False	canonical_or_unversioned_accession	15	ATXN2 (Q99700)
P22626	P22626	HNRNPA2B1	False	False	canonical_or_unversioned_accession	15	HNRNPA2B1 (P22626)
O14686	O14686	KMT2D	False	False	canonical_or_unversioned_accession	15	KMT2D (O14686)
P35580	P35580	MYH10	False	False	canonical_or_unversioned_accession	15	MYH10 (P35580)
Q15233	Q15233	NONO	False	False	canonical_or_unversioned_accession	15	NONO (Q15233)
Q86TB9	Q86TB9	PATL1	False	False	canonical_or_unversioned_accession	15	PATL1 (Q86TB9)
P78527	P78527	PRKDC	False	False	canonical_or_unversioned_accession	15	PRKDC (P78527)
Q8IXT5	Q8IXT5	RBM12B	False	False	canonical_or_unversioned_accession	15	RBM12B (Q8IXT5)
Q9P2N5	Q9P2N5	RBM27	False	False	canonical_or_unversioned_accession	15	RBM27 (Q9P2N5)
Q13813	Q13813	SPTAN1	False	False	canonical_or_unversioned_accession	15	SPTAN1 (Q13813)
Q14157	Q14157	UBAP2L	False	False	canonical_or_unversioned_accession	15	UBAP2L (Q14157)
A8MYX1	A8MYX1	ZNF326	False	False	canonical_or_unversioned_accession	15	ZNF326 (A8MYX1)
Q9NYF8	Q9NYF8	BCLAF1	False	False	canonical_or_unversioned_accession	14	BCLAF1 (Q9NYF8)
Q8IWX8	Q8IWX8	CHERP	False	False	canonical_or_unversioned_accession	14	CHERP (Q8IWX8)
Q14011	Q14011	CIRBP	False	False	canonical_or_unversioned_accession	14	CIRBP (Q14011)
Q9H0L4	Q9H0L4	CSTF2T	False	False	canonical_or_unversioned_accession	14	CSTF2T (Q9H0L4)
Q9NZB2	Q9NZB2	FAM120A	False	False	canonical_or_unversioned_accession	14	FAM120A (Q9NZB2)
P51114	P51114	FXR1	False	False	canonical_or_unversioned_accession	14	FXR1 (P51114)
P55795	P55795	HNRNPH2	False	False	canonical_or_unversioned_accession	14	HNRNPH2 (P55795)
P07900	P07900	HSP90AA1	False	False	canonical_or_unversioned_accession	14	HSP90AA1 (P07900)
O75525	O75525	KHDRBS3	False	False	canonical_or_unversioned_accession	14	KHDRBS3 (O75525)
Q92945	Q92945	KHSRP	False	False	canonical_or_unversioned_accession	14	KHSRP (Q92945)
P20700	P20700	LMNB1	False	False	canonical_or_unversioned_accession	14	LMNB1 (P20700)
Q9BX40	Q9BX40	LSM14B	False	False	canonical_or_unversioned_accession	14	LSM14B (Q9BX40)
Q14980	Q14980	NUMA1	False	False	canonical_or_unversioned_accession	14	NUMA1 (Q14980)
Q13310	Q13310	PABPC4	False	False	canonical_or_unversioned_accession	14	PABPC4 (Q13310)
Q9BXP5	Q9BXP5	SRRT	False	False	canonical_or_unversioned_accession	14	SRRT (Q9BXP5)
P55072	P55072	VCP	False	False	canonical_or_unversioned_accession	14	VCP (P55072)
Q9ULX6	Q9ULX6	AKAP8L	False	False	canonical_or_unversioned_accession	13	AKAP8L (Q9ULX6)
O95817	O95817	BAG3	False	False	canonical_or_unversioned_accession	13	BAG3 (O95817)
Q86WR7	Q86WR7	C10orf47	False	False	canonical_or_unversioned_accession	13	C10orf47 (Q86WR7)
Q9P2D1	Q9P2D1	CHD7	False	False	canonical_or_unversioned_accession	13	CHD7 (Q9P2D1)
O15523	O15523	DDX3Y	False	False	canonical_or_unversioned_accession	13	DDX3Y (O15523)
P15924	P15924	DSP	False	False	canonical_or_unversioned_accession	13	DSP (P15924)
P23588	P23588	EIF4B	False	False	canonical_or_unversioned_accession	13	EIF4B (P23588)
Q09472	Q09472	EP300	False	False	canonical_or_unversioned_accession	13	EP300 (Q09472)
Q6ZRV2	Q6ZRV2	FAM83H	False	False	canonical_or_unversioned_accession	13	FAM83H (Q6ZRV2)
Q06787	Q06787	FMR1	False	False	canonical_or_unversioned_accession	13	FMR1 (Q06787)
P51116	P51116	FXR2	False	False	canonical_or_unversioned_accession	13	FXR2 (P51116)
Q14697	Q14697	GANAB	False	False	canonical_or_unversioned_accession	13	GANAB (Q14697)
Q32P51	Q32P51	HNRNPA1L2	False	False	canonical_or_unversioned_accession	13	HNRNPA1L2 (Q32P51)
Q12906	Q12906	ILF3	False	False	canonical_or_unversioned_accession	13	ILF3 (Q12906)
P08729	P08729	KRT7	False	False	canonical_or_unversioned_accession	13	KRT7 (P08729)
P35579	P35579	MYH9	False	False	canonical_or_unversioned_accession	13	MYH9 (P35579)
Q6P2Q9	Q6P2Q9	PRPF8	False	False	canonical_or_unversioned_accession	13	PRPF8 (Q6P2Q9)
P98179	P98179	RBM3	False	False	canonical_or_unversioned_accession	13	RBM3 (P98179)
Q99590	Q99590	SCAF11	False	False	canonical_or_unversioned_accession	13	SCAF11 (Q99590)
Q9UQE7	Q9UQE7	SMC3	False	False	canonical_or_unversioned_accession	13	SMC3 (Q9UQE7)
O43516	O43516	WIPF1	False	False	canonical_or_unversioned_accession	13	WIPF1 (O43516)
Q5BKZ1	Q5BKZ1	ZNF326	False	False	canonical_or_unversioned_accession	13	ZNF326 (Q5BKZ1)
Q8WXX7	Q8WXX7	AUTS2	False	False	canonical_or_unversioned_accession	12	AUTS2 (Q8WXX7)
Q5T0Z8	Q5T0Z8	C6orf132	False	False	canonical_or_unversioned_accession	12	C6orf132 (Q5T0Z8)
Q9Y3X0	Q9Y3X0	CCDC9	False	False	canonical_or_unversioned_accession	12	CCDC9 (Q9Y3X0)
P13639	P13639	EEF2	False	False	canonical_or_unversioned_accession	12	EEF2 (P13639)
Q9HAH7	Q9HAH7	FBRS	False	False	canonical_or_unversioned_accession	12	FBRS (Q9HAH7)
Q13283	Q13283	G3BP1	False	False	canonical_or_unversioned_accession	12	G3BP1 (Q13283)
Q8WXI9	Q8WXI9	GATAD2B	False	False	canonical_or_unversioned_accession	12	GATAD2B (Q8WXI9)
P08238	P08238	HSP90AB1	False	False	canonical_or_unversioned_accession	12	HSP90AB1 (P08238)
Q69YN4	Q69YN4	KIAA1429	False	False	canonical_or_unversioned_accession	12	KIAA1429 (Q69YN4)
Q6PKG0	Q6PKG0	LARP1	False	False	canonical_or_unversioned_accession	12	LARP1 (Q6PKG0)
Q03252	Q03252	LMNB2	False	False	canonical_or_unversioned_accession	12	LMNB2 (Q03252)
Q8ND56	Q8ND56	LSM14A	False	False	canonical_or_unversioned_accession	12	LSM14A (Q8ND56)
P33993	P33993	MCM7	False	False	canonical_or_unversioned_accession	12	MCM7 (P33993)
Q8TAP9	Q8TAP9	MPLKIP	False	False	canonical_or_unversioned_accession	12	MPLKIP (Q8TAP9)
Q6ZRS2	Q6ZRS2	SRCAP	False	False	canonical_or_unversioned_accession	12	SRCAP (Q6ZRS2)
Q9Y490	Q9Y490	TLN1	False	False	canonical_or_unversioned_accession	12	TLN1 (Q9Y490)
P62995	P62995	TRA2B	False	False	canonical_or_unversioned_accession	12	TRA2B (P62995)
P22314	P22314	UBA1	False	False	canonical_or_unversioned_accession	12	UBA1 (P22314)
P49588	P49588	AARS	False	False	canonical_or_unversioned_accession	11	AARS (P49588)
P55265	P55265	ADAR	False	False	canonical_or_unversioned_accession	11	ADAR (P55265)
P53621	P53621	COPA	False	False	canonical_or_unversioned_accession	11	COPA (P53621)
E7EX17	E7EX17	EIF4B	False	False	canonical_or_unversioned_accession	11	EIF4B (E7EX17)
P09038	P09038	FGF2	False	False	canonical_or_unversioned_accession	11	FGF2 (P09038)
B5MC40	B5MC40	GATAD2A	False	False	canonical_or_unversioned_accession	11	GATAD2A (B5MC40)
Q86YP4	Q86YP4	GATAD2A	False	False	canonical_or_unversioned_accession	11	GATAD2A (Q86YP4)
Q5JVS0	Q5JVS0	HABP4	False	False	canonical_or_unversioned_accession	11	HABP4 (Q5JVS0)
P51610	P51610	HCFC1	False	False	canonical_or_unversioned_accession	11	HCFC1 (P51610)
Q8NEZ4	Q8NEZ4	KMT2C	False	False	canonical_or_unversioned_accession	11	KMT2C (Q8NEZ4)
Q93074	Q93074	MED12	False	False	canonical_or_unversioned_accession	11	MED12 (Q93074)
Q14686	Q14686	NCOA6	False	False	canonical_or_unversioned_accession	11	NCOA6 (Q14686)
Q92576	Q92576	PHF3	False	False	canonical_or_unversioned_accession	11	PHF3 (Q92576)
Q96QC0	Q96QC0	PPP1R10	False	False	canonical_or_unversioned_accession	11	PPP1R10 (Q96QC0)
Q6SPF0	Q6SPF0	SAMD1	False	False	canonical_or_unversioned_accession	11	SAMD1 (Q6SPF0)
P14678	P14678	SNRPB	False	False	canonical_or_unversioned_accession	11	SNRPB (P14678)
Q07955	Q07955	SRSF1	False	False	canonical_or_unversioned_accession	11	SRSF1 (Q07955)
O00267	O00267	SUPT5H	False	False	canonical_or_unversioned_accession	11	SUPT5H (O00267)
O60293	O60293	ZFC3H1	False	False	canonical_or_unversioned_accession	11	ZFC3H1 (O60293)
Q14966	Q14966	ZNF638	False	False	canonical_or_unversioned_accession	11	ZNF638 (Q14966)
O95429	O95429	BAG4	False	False	canonical_or_unversioned_accession	10	BAG4 (O95429)
Q92793	Q92793	CREBBP	False	False	canonical_or_unversioned_accession	10	CREBBP (Q92793)
P78344	P78344	EIF4G2	False	False	canonical_or_unversioned_accession	10	EIF4G2 (P78344)
P14866	P14866	HNRNPL	False	False	canonical_or_unversioned_accession	10	HNRNPL (P14866)
Q7Z6Z7	Q7Z6Z7	HUWE1	False	False	canonical_or_unversioned_accession	10	HUWE1 (Q7Z6Z7)
G5E9M5	G5E9M5	ILF3	False	False	canonical_or_unversioned_accession	10	ILF3 (G5E9M5)
Q9Y4H2	Q9Y4H2	IRS2	False	False	canonical_or_unversioned_accession	10	IRS2 (Q9Y4H2)
O14686	O14686	MLL2	False	False	canonical_or_unversioned_accession	10	MLL2 (O14686)
Q9H074	Q9H074	PAIP1	False	False	canonical_or_unversioned_accession	10	PAIP1 (Q9H074)
P09874	P09874	PARP1	False	False	canonical_or_unversioned_accession	10	PARP1 (P09874)
Q7Z6E9	Q7Z6E9	RBBP6	False	False	canonical_or_unversioned_accession	10	RBBP6 (Q7Z6E9)
O15027	O15027	SEC16A	False	False	canonical_or_unversioned_accession	10	SEC16A (O15027)
Q01130	Q01130	SRSF2	False	False	canonical_or_unversioned_accession	10	SRSF2 (Q01130)
Q13243	Q13243	SRSF5	False	False	canonical_or_unversioned_accession	10	SRSF5 (Q13243)
Q9UKV3	Q9UKV3	ACIN1	False	False	canonical_or_unversioned_accession	9	ACIN1 (Q9UKV3)
O43823	O43823	AKAP8	False	False	canonical_or_unversioned_accession	9	AKAP8 (O43823)
P04075	P04075	ALDOA	False	False	canonical_or_unversioned_accession	9	ALDOA (P04075)
Q8NFD5	Q8NFD5	ARID1B	False	False	canonical_or_unversioned_accession	9	ARID1B (Q8NFD5)
Q86UU0	Q86UU0	BCL9L	False	False	canonical_or_unversioned_accession	9	BCL9L (Q86UU0)
Q6W2J9	Q6W2J9	BCOR	False	False	canonical_or_unversioned_accession	9	BCOR (Q6W2J9)
Q13895	Q13895	BYSL	False	False	canonical_or_unversioned_accession	9	BYSL (Q13895)
O15234	O15234	CASC3	False	False	canonical_or_unversioned_accession	9	CASC3 (O15234)
Q99832	Q99832	CCT7	False	False	canonical_or_unversioned_accession	9	CCT7 (Q99832)
P12277	P12277	CKB	False	False	canonical_or_unversioned_accession	9	CKB (P12277)
Q99613	Q99613	EIF3C	False	False	canonical_or_unversioned_accession	9	EIF3C (Q99613)
P06733	P06733	ENO1	False	False	canonical_or_unversioned_accession	9	ENO1 (P06733)
Q96L91	Q96L91	EP400	False	False	canonical_or_unversioned_accession	9	EP400 (Q96L91)
Q8NCA5	Q8NCA5	FAM98A	False	False	canonical_or_unversioned_accession	9	FAM98A (Q8NCA5)
Q52LJ0	Q52LJ0	FAM98B	False	False	canonical_or_unversioned_accession	9	FAM98B (Q52LJ0)
O75369	O75369	FLNB	False	False	canonical_or_unversioned_accession	9	FLNB (O75369)
Q9UN86	Q9UN86	G3BP2	False	False	canonical_or_unversioned_accession	9	G3BP2 (Q9UN86)
Q6Y7W6	Q6Y7W6	GIGYF2	False	False	canonical_or_unversioned_accession	9	GIGYF2 (Q6Y7W6)
Q14687	Q14687	GSE1	False	False	canonical_or_unversioned_accession	9	GSE1 (Q14687)
P78347	P78347	GTF2I	False	False	canonical_or_unversioned_accession	9	GTF2I (P78347)
A6NEM2	A6NEM2	HCFC1	False	False	canonical_or_unversioned_accession	9	HCFC1 (A6NEM2)
P17096	P17096	HMGA1	False	False	canonical_or_unversioned_accession	9	HMGA1 (P17096)
Q13151	Q13151	HNRNPA0	False	False	canonical_or_unversioned_accession	9	HNRNPA0 (Q13151)
Q14103	Q14103	HNRNPD	False	False	canonical_or_unversioned_accession	9	HNRNPD (Q14103)
O43719	O43719	HTATSF1	False	False	canonical_or_unversioned_accession	9	HTATSF1 (O43719)
P08727	P08727	KRT19	False	False	canonical_or_unversioned_accession	9	KRT19 (P08727)
Q92615	Q92615	LARP4B	False	False	canonical_or_unversioned_accession	9	LARP4B (Q92615)
P02545	P02545	LMNA	False	False	canonical_or_unversioned_accession	9	LMNA (P02545)
P43243	P43243	MATR3	False	False	canonical_or_unversioned_accession	9	MATR3 (P43243)
P49736	P49736	MCM2	False	False	canonical_or_unversioned_accession	9	MCM2 (P49736)
P33991	P33991	MCM4	False	False	canonical_or_unversioned_accession	9	MCM4 (P33991)
Q14676	Q14676	MDC1	False	False	canonical_or_unversioned_accession	9	MDC1 (Q14676)
Q8NEZ4	Q8NEZ4	MLL3	False	False	canonical_or_unversioned_accession	9	MLL3 (Q8NEZ4)
O94906	O94906	PRPF6	False	False	canonical_or_unversioned_accession	9	PRPF6 (O94906)
Q8WXF1	Q8WXF1	PSPC1	False	False	canonical_or_unversioned_accession	9	PSPC1 (Q8WXF1)
Q96PK6	Q96PK6	RBM14	False	False	canonical_or_unversioned_accession	9	RBM14 (Q96PK6)
P78332	P78332	RBM6	False	False	canonical_or_unversioned_accession	9	RBM6 (P78332)
P36578	P36578	RPL4	False	False	canonical_or_unversioned_accession	9	RPL4 (P36578)
P31040	P31040	SDHA	False	False	canonical_or_unversioned_accession	9	SDHA (P31040)
Q15459	Q15459	SF3A1	False	False	canonical_or_unversioned_accession	9	SF3A1 (Q15459)
O75533	O75533	SF3B1	False	False	canonical_or_unversioned_accession	9	SF3B1 (O75533)
Q92925	Q92925	SMARCD2	False	False	canonical_or_unversioned_accession	9	SMARCD2 (Q92925)
Q01082	Q01082	SPTBN1	False	False	canonical_or_unversioned_accession	9	SPTBN1 (Q01082)
Q9UPN9	Q9UPN9	TRIM33	False	False	canonical_or_unversioned_accession	9	TRIM33 (Q9UPN9)
Q96JP5	Q96JP5	ZFP91	False	False	canonical_or_unversioned_accession	9	ZFP91 (Q96JP5)
O75179	O75179	ANKRD17	False	False	canonical_or_unversioned_accession	8	ANKRD17 (O75179)
Q9NQS1	Q9NQS1	AVEN	False	False	canonical_or_unversioned_accession	8	AVEN (Q9NQS1)
P20290	P20290	BTF3	False	False	canonical_or_unversioned_accession	8	BTF3 (P20290)
Q75N03	Q75N03	CBLL1	False	False	canonical_or_unversioned_accession	8	CBLL1 (Q75N03)
P50991	P50991	CCT4	False	False	canonical_or_unversioned_accession	8	CCT4 (P50991)
Q9BXF3	Q9BXF3	CECR2	False	False	canonical_or_unversioned_accession	8	CECR2 (Q9BXF3)
Q14247	Q14247	CTTN	False	False	canonical_or_unversioned_accession	8	CTTN (Q14247)
Q9Y2L1	Q9Y2L1	DIS3	False	False	canonical_or_unversioned_accession	8	DIS3 (Q9Y2L1)
P33316	P33316	DUT	False	False	canonical_or_unversioned_accession	8	DUT (P33316)
Q9BTL3	Q9BTL3	FAM103A1	False	False	canonical_or_unversioned_accession	8	FAM103A1 (Q9BTL3)
Q9Y285	Q9Y285	FARSA	False	False	canonical_or_unversioned_accession	8	FARSA (Q9Y285)
Q96AE4	Q96AE4	FUBP1	False	False	canonical_or_unversioned_accession	8	FUBP1 (Q96AE4)
P07910	P07910	HNRNPC	False	False	canonical_or_unversioned_accession	8	HNRNPC (P07910)
Q3KP66	Q3KP66	INAVA	False	False	canonical_or_unversioned_accession	8	INAVA (Q3KP66)
P46940	P46940	IQGAP1	False	False	canonical_or_unversioned_accession	8	IQGAP1 (P46940)
Q5VWX1	Q5VWX1	KHDRBS2	False	False	canonical_or_unversioned_accession	8	KHDRBS2 (Q5VWX1)
O43896	O43896	KIF1C	False	False	canonical_or_unversioned_accession	8	KIF1C (O43896)
Q9UMN6	Q9UMN6	KMT2B	False	False	canonical_or_unversioned_accession	8	KMT2B (Q9UMN6)
P05783	P05783	KRT18	False	False	canonical_or_unversioned_accession	8	KRT18 (P05783)
P05787	P05787	KRT8	False	False	canonical_or_unversioned_accession	8	KRT8 (P05787)
Q9Y4Z0	Q9Y4Z0	LSM4	False	False	canonical_or_unversioned_accession	8	LSM4 (Q9Y4Z0)
Q66K74	Q66K74	MAP1S	False	False	canonical_or_unversioned_accession	8	MAP1S (Q66K74)
A8MXP9	A8MXP9	MATR3	False	False	canonical_or_unversioned_accession	8	MATR3 (A8MXP9)
O15320	O15320	MIA2	False	False	canonical_or_unversioned_accession	8	MIA2 (O15320)
Q9H361	Q9H361	PABPC3	False	False	canonical_or_unversioned_accession	8	PABPC3 (Q9H361)
Q99569	Q99569	PKP4	False	False	canonical_or_unversioned_accession	8	PKP4 (Q99569)
P05423	P05423	POLR3D	False	False	canonical_or_unversioned_accession	8	POLR3D (P05423)
P49792	P49792	RANBP2	False	False	canonical_or_unversioned_accession	8	RANBP2 (P49792)
O43251	O43251	RBFOX2	False	False	canonical_or_unversioned_accession	8	RBFOX2 (O43251)
P98175	P98175	RBM10	False	False	canonical_or_unversioned_accession	8	RBM10 (P98175)
A0AV96	A0AV96	RBM47	False	False	canonical_or_unversioned_accession	8	RBM47 (A0AV96)
Q9Y580	Q9Y580	RBM7	False	False	canonical_or_unversioned_accession	8	RBM7 (Q9Y580)
P15880	P15880	RPS2	False	False	canonical_or_unversioned_accession	8	RPS2 (P15880)
H0YG49	H0YG49	SRSF2	False	False	canonical_or_unversioned_accession	8	SRSF2 (H0YG49)
P84103	P84103	SRSF3	False	False	canonical_or_unversioned_accession	8	SRSF3 (P84103)
O14776	O14776	TCERG1	False	False	canonical_or_unversioned_accession	8	TCERG1 (O14776)
Q9C0C2	Q9C0C2	TNKS1BP1	False	False	canonical_or_unversioned_accession	8	TNKS1BP1 (Q9C0C2)
Q9UPQ9	Q9UPQ9	TNRC6B	False	False	canonical_or_unversioned_accession	8	TNRC6B (Q9UPQ9)
Q12888	Q12888	TP53BP1	False	False	canonical_or_unversioned_accession	8	TP53BP1 (Q12888)
F8W130	F8W130	TROAP	False	False	canonical_or_unversioned_accession	8	TROAP (F8W130)
Q5T200	Q5T200	ZC3H13	False	False	canonical_or_unversioned_accession	8	ZC3H13 (Q5T200)
Q86UK7	Q86UK7	ZNF598	False	False	canonical_or_unversioned_accession	8	ZNF598 (Q86UK7)
O43707	O43707	ACTN4	False	False	canonical_or_unversioned_accession	7	ACTN4 (O43707)
P23526	P23526	AHCY	False	False	canonical_or_unversioned_accession	7	AHCY (P23526)
Q8IZ83	Q8IZ83	ALDH16A1	False	False	canonical_or_unversioned_accession	7	ALDH16A1 (Q8IZ83)
Q4VCS5	Q4VCS5	AMOT	False	False	canonical_or_unversioned_accession	7	AMOT (Q4VCS5)
Q8IWZ2	Q8IWZ2	ANKHD1	False	False	canonical_or_unversioned_accession	7	ANKHD1 (Q8IWZ2)
Q8TER5	Q8TER5	ARHGEF40	False	False	canonical_or_unversioned_accession	7	ARHGEF40 (Q8TER5)
Q8TDC3	Q8TDC3	BRSK1	False	False	canonical_or_unversioned_accession	7	BRSK1 (Q8TDC3)
P49368	P49368	CCT3	False	False	canonical_or_unversioned_accession	7	CCT3 (P49368)
