substrate_UniProtAC	substrate_UniProtAC_original	canonical_UniProtAC	accession_is_isoform	canonical_counting_status	substrate_genename	unique_sites_accession_level	source_accessions_original	source_families	needs_sequence_remap
A0A0A0MRJ6	A0A0A0MRJ6	A0A0A0MRJ6	False	canonical_or_unversioned_accession	PCMT1	1	A0A0A0MRJ6	Maron2021	False
A0A0A0MRM9	A0A0A0MRM9	A0A0A0MRM9	False	canonical_or_unversioned_accession	NOLC1	1	A0A0A0MRM9	Maron2021	False
A0A0A0MS59	A0A0A0MS59	A0A0A0MS59	False	canonical_or_unversioned_accession	SRCAP	1	A0A0A0MS59	Maron2021	False
A0A0A0MSJ9	A0A0A0MSJ9	A0A0A0MSJ9	False	canonical_or_unversioned_accession	RASA2	1	A0A0A0MSJ9	Maron2021	False
A0A0A0MSK4	A0A0A0MSK4	A0A0A0MSK4	False	canonical_or_unversioned_accession	GPSM1	1	A0A0A0MSK4	Maron2021	False
A0A0A0MSS8	A0A0A0MSS8	A0A0A0MSS8	False	canonical_or_unversioned_accession	AKR1C3	1	A0A0A0MSS8	Maron2021	False
A0A0A0MT33	A0A0A0MT33	A0A0A0MT33	False	canonical_or_unversioned_accession	SCAF8	1	A0A0A0MT33	Maron2021	False
A0A0A0MTB8	A0A0A0MTB8	A0A0A0MTB8	False	canonical_or_unversioned_accession	WDR36	1	A0A0A0MTB8	Maron2021	False
A0A0A0MTR7	A0A0A0MTR7	A0A0A0MTR7	False	canonical_or_unversioned_accession	RNF213	1	A0A0A0MTR7	Maron2021	False
A0A0B4J2A2	A0A0B4J2A2	A0A0B4J2A2	False	canonical_or_unversioned_accession	PPIAL4C	1	A0A0B4J2A2	Maron2021	False
A0A0C4DGA6	A0A0C4DGA6	A0A0C4DGA6	False	canonical_or_unversioned_accession	HLTF	2	A0A0C4DGA6	Maron2021	False
A0A0D9SF60	A0A0D9SF60	A0A0D9SF60	False	canonical_or_unversioned_accession	PKP4	1	A0A0D9SF60	Maron2021	False
A0A0D9SG39	A0A0D9SG39	A0A0D9SG39	False	canonical_or_unversioned_accession	R3HCC1	1	A0A0D9SG39	Maron2021	False
A0A0G2JH68	A0A0G2JH68	A0A0G2JH68	False	canonical_or_unversioned_accession	DIAPH1	1	A0A0G2JH68	Maron2021	False
A0A0G2JIW1	A0A0G2JIW1	A0A0G2JIW1	False	canonical_or_unversioned_accession	HSPA6	1	A0A0G2JIW1	Maron2021	False
A0A0G2JNW7	A0A0G2JNW7	A0A0G2JNW7	False	canonical_or_unversioned_accession	SLC12A7	1	A0A0G2JNW7	Maron2021	False
A0A0U1RQK7	A0A0U1RQK7	A0A0U1RQK7	False	canonical_or_unversioned_accession	EIF4G3	1	A0A0U1RQK7	Maron2021	False
A0A0U1RQQ9	A0A0U1RQQ9	A0A0U1RQQ9	False	canonical_or_unversioned_accession	SCYL2	1	A0A0U1RQQ9	Maron2021	False
A0A0U1RRI6	A0A0U1RRI6	A0A0U1RRI6	False	canonical_or_unversioned_accession	CENPVP3	1	A0A0U1RRI6	Maron2021	False
A0A1B0GV09	A0A1B0GV09	A0A1B0GV09	False	canonical_or_unversioned_accession	EHMT1	1	A0A1B0GV09	Maron2021	False
A0A1B0GVN3	A0A1B0GVN3	A0A1B0GVN3	False	canonical_or_unversioned_accession	C2ORF92	1	A0A1B0GVN3	Maron2021	False
A0A1C7CYW6	A0A1C7CYW6	A0A1C7CYW6	False	canonical_or_unversioned_accession	RAB34	7	A0A1C7CYW6	Maron2021	False
A0A1W2PNZ9	A0A1W2PNZ9	A0A1W2PNZ9	False	canonical_or_unversioned_accession	JMJD1C	2	A0A1W2PNZ9	Maron2021	False
A0A1W2PPJ5	A0A1W2PPJ5	A0A1W2PPJ5	False	canonical_or_unversioned_accession	CRBN	1	A0A1W2PPJ5	Maron2021	False
A0A1W2PQP7	A0A1W2PQP7	A0A1W2PQP7	False	canonical_or_unversioned_accession	FAM131A	2	A0A1W2PQP7	Maron2021	False
A0A1W2PRV5	A0A1W2PRV5	A0A1W2PRV5	False	canonical_or_unversioned_accession	SMN1	1	A0A1W2PRV5	Maron2021	False
A0A1X7SBZ2	A0A1X7SBZ2	A0A1X7SBZ2	False	canonical_or_unversioned_accession	DDX17	5	A0A1X7SBZ2	Maron2021	False
A0A2R8Y424	A0A2R8Y424	A0A2R8Y424	False	canonical_or_unversioned_accession	PRRC2C	1	A0A2R8Y424	Maron2021	False
A0A2R8Y5H9	A0A2R8Y5H9	A0A2R8Y5H9	False	canonical_or_unversioned_accession	KSR1	1	A0A2R8Y5H9	Maron2021	False
A0A2R8Y880	A0A2R8Y880	A0A2R8Y880	False	canonical_or_unversioned_accession	RBBP6	1	A0A2R8Y880	Maron2021	False
A0A2R8YD58	A0A2R8YD58	A0A2R8YD58	False	canonical_or_unversioned_accession	CSNK2A1	1	A0A2R8YD58	Maron2021	False
A0A2R8YDM9	A0A2R8YDM9	A0A2R8YDM9	False	canonical_or_unversioned_accession	ATXN2	1	A0A2R8YDM9	Maron2021	False
A0A2R8YF49	A0A2R8YF49	A0A2R8YF49	False	canonical_or_unversioned_accession	ARHGEF5	1	A0A2R8YF49	Maron2021	False
A0A2R8YFS5	A0A2R8YFS5	A0A2R8YFS5	False	canonical_or_unversioned_accession	DDX3Y	6	A0A2R8YFS5	Maron2021	False
A0A2U3TZH3	A0A2U3TZH3	A0A2U3TZH3	False	canonical_or_unversioned_accession	EEF1A2	2	A0A2U3TZH3	Maron2021	False
A0AV96	A0AV96	A0AV96	False	canonical_or_unversioned_accession	RBM47	8	A0AV96	Maron2021;ProMetheusDB;human_ptm_master	False
A0AVF1	A0AVF1	A0AVF1	False	canonical_or_unversioned_accession	TTC26	1	A0AVF1	Maron2021	False
A0FGR8	A0FGR8	A0FGR8	False	canonical_or_unversioned_accession	ESYT2	1	A0FGR8	ProMetheusDB	False
A0MZ66	A0MZ66	A0MZ66	False	canonical_or_unversioned_accession	KIAA1598	1	A0MZ66	Maron2021	False
A1A519	A1A519	A1A519	False	canonical_or_unversioned_accession	FAM170A	1	A1A519	Maron2021	False
A1KXE4	A1KXE4	A1KXE4	False	canonical_or_unversioned_accession	FAM168B	1	A1KXE4	Maron2021	False
A1KZ92	A1KZ92	A1KZ92	False	canonical_or_unversioned_accession	PXDNL	2	A1KZ92	Maron2021	False
A1L020	A1L020	A1L020	False	canonical_or_unversioned_accession	MEX3A	2	A1L020	Maron2021	False
A1L188	A1L188	A1L188	False	canonical_or_unversioned_accession	C17orf89	2	A1L188	Maron2021	False
A1L390	A1L390	A1L390	False	canonical_or_unversioned_accession	PLEKHG3	3	A1L390	Maron2021;human_ptm_master	False
A1L429	A1L429	A1L429	False	canonical_or_unversioned_accession	GAGE12E	3	A1L429	Maron2021;ProMetheusDB	False
A1X283	A1X283	A1X283	False	canonical_or_unversioned_accession	SH3PXD2B	1	A1X283	Maron2021	False
A2A274	A2A274	A2A274	False	canonical_or_unversioned_accession	ACO2	4	A2A274	Maron2021	False
A2ABF9	A2ABF9	A2ABF9	False	canonical_or_unversioned_accession	EHMT2	1	A2ABF9	Maron2021	False
A2PYH4	A2PYH4	A2PYH4	False	canonical_or_unversioned_accession	HFM1	2	A2PYH4	Maron2021	False
A2RQR6	A2RQR6	A2RQR6	False	canonical_or_unversioned_accession	TCEAL4	2	A2RQR6	Maron2021	False
A2RUQ5	A2RUQ5	A2RUQ5	False	canonical_or_unversioned_accession	C17orf102	1	A2RUQ5	Maron2021	False
A3KN83	A3KN83	A3KN83	False	canonical_or_unversioned_accession	SBNO1	1	A3KN83	Maron2021	False
A3QJZ7	A3QJZ7	A3QJZ7	False	canonical_or_unversioned_accession	PRAMEF27	1	A3QJZ7	Maron2021	False
A4D1S0	A4D1S0	A4D1S0	False	canonical_or_unversioned_accession	KLRG2	1	A4D1S0	Maron2021	False
A4D1U4	A4D1U4	A4D1U4	False	canonical_or_unversioned_accession	DENND11	3	A4D1U4	Maron2021;human_ptm_master	False
A4D2G3	A4D2G3	A4D2G3	False	canonical_or_unversioned_accession	OR2A25	1	A4D2G3	Maron2021	False
A4UGR9	A4UGR9	A4UGR9	False	canonical_or_unversioned_accession	XIRP2	1	A4UGR9	Maron2021	False
A5A3E0	A5A3E0	A5A3E0	False	canonical_or_unversioned_accession	POTEF	1	A5A3E0	Maron2021	False
A5D8V6	A5D8V6	A5D8V6	False	canonical_or_unversioned_accession	VPS37C	1	A5D8V6	Maron2021	False
A5PL33	A5PL33	A5PL33	False	canonical_or_unversioned_accession	KRBA1	5	A5PL33	Maron2021	False
A5X2G7	A5X2G7	A5X2G7	False	canonical_or_unversioned_accession	CDKN2A	5	A5X2G7	Maron2021	False
A5YKK6	A5YKK6	A5YKK6	False	canonical_or_unversioned_accession	CNOT1	3	A5YKK6	Maron2021	False
A5YVE9	A5YVE9	A5YVE9	False	canonical_or_unversioned_accession	PDHA1	1	A5YVE9	Maron2021	False
A6H8Y1	A6H8Y1	A6H8Y1	False	canonical_or_unversioned_accession	BDP1	1	A6H8Y1	Maron2021	False
A6NC57	A6NC57	A6NC57	False	canonical_or_unversioned_accession	ANKRD62	1	A6NC57	Maron2021	False
A6NC86	A6NC86	A6NC86	False	canonical_or_unversioned_accession	PINLYP	1	A6NC86	Maron2021	False
A6NC98	A6NC98	A6NC98	False	canonical_or_unversioned_accession	CCDC88B	1	A6NC98	Maron2021	False
A6NCE7	A6NCE7	A6NCE7	False	canonical_or_unversioned_accession	MAP1LC3B2	1	A6NCE7	Maron2021	False
A6NCJ1	A6NCJ1	A6NCJ1	False	canonical_or_unversioned_accession	C19orf71	1	A6NCJ1	Maron2021	False
A6NCL7	A6NCL7	A6NCL7	False	canonical_or_unversioned_accession	ANKRD33B	1	A6NCL7	Maron2021	False
A6NDA2	A6NDA2	A6NDA2	False	canonical_or_unversioned_accession	PRR3	2	A6NDA2	Maron2021	False
A6NDE8	A6NDE8	A6NDE8	False	canonical_or_unversioned_accession	GAGE12H	3	A6NDE8	Maron2021	False
A6NDY0	A6NDY0	A6NDY0	False	canonical_or_unversioned_accession	PABPN1L	1	A6NDY0	Maron2021	False
A6NE01	A6NE01	A6NE01	False	canonical_or_unversioned_accession	FAM186A	2	A6NE01	Maron2021	False
A6NED2	A6NED2	A6NED2	False	canonical_or_unversioned_accession	RCCD1	4	A6NED2	Maron2021	False
A6NEL2	A6NEL2	A6NEL2	False	canonical_or_unversioned_accession	SOWAHB	2	A6NEL2	Maron2021	False
A6NEM2	A6NEM2	A6NEM2	False	canonical_or_unversioned_accession	HCFC1	9	A6NEM2	Maron2021	False
A6NER3	A6NER3	A6NER3	False	canonical_or_unversioned_accession	GAGE12J	2	A6NER3	Maron2021	False
A6NES4	A6NES4	A6NES4	False	canonical_or_unversioned_accession	HEATR7B1	1	A6NES4	Maron2021	False
A6NFI3	A6NFI3	A6NFI3	False	canonical_or_unversioned_accession	ZNF316	2	A6NFI3	Maron2021	False
A6NFN3	A6NFN3	A6NFN3	False	canonical_or_unversioned_accession	RBFOX3	1	A6NFN3	Maron2021	False
A6NFY7	A6NFY7	A6NFY7	False	canonical_or_unversioned_accession	SDHAF1	1	A6NFY7	Maron2021	False
A6NGB9	A6NGB9	A6NGB9	False	canonical_or_unversioned_accession	WIPF3	1	A6NGB9	Maron2021;human_ptm_master	False
A6NGG8	A6NGG8	A6NGG8	False	canonical_or_unversioned_accession	C2orf71	1	A6NGG8	Maron2021	False
A6NGK3	A6NGK3	A6NGK3	False	canonical_or_unversioned_accession	GAGE10	1	A6NGK3	Maron2021	False
A6NGN4	A6NGN4	A6NGN4	False	canonical_or_unversioned_accession	PRAMEF25	2	A6NGN4	Maron2021;human_ptm_master	False
A6NGR9	A6NGR9	A6NGR9	False	canonical_or_unversioned_accession	MROH6	2	A6NGR9	Maron2021	False
A6NHB5	A6NHB5	A6NHB5	False	canonical_or_unversioned_accession	ZMYM3	1	A6NHB5	Maron2021	False
A6NHG4	A6NHG4	A6NHG4	False	canonical_or_unversioned_accession	DDTL	1	A6NHG4	Maron2021	False
A6NHQ2	A6NHQ2	A6NHQ2	False	canonical_or_unversioned_accession	FBLL1	2	A6NHQ2	Maron2021	False
A6NHQ4	A6NHQ4	A6NHQ4	False	canonical_or_unversioned_accession	EPOP	2	A6NHQ4	Maron2021;human_ptm_master	False
A6NHR9	A6NHR9	A6NHR9	False	canonical_or_unversioned_accession	SMCHD1	2	A6NHR9	Maron2021	False
A6NHT5	A6NHT5	A6NHT5	False	canonical_or_unversioned_accession	HMX3	1	A6NHT5	Maron2021	False
A6NI47	A6NI47	A6NI47	False	canonical_or_unversioned_accession	POTEM	1	A6NI47	Maron2021	False
A6NJ78	A6NJ78	A6NJ78	False	canonical_or_unversioned_accession	METTL15	1	A6NJ78	Maron2021	False
A6NJG2	A6NJG2	A6NJG2	False	canonical_or_unversioned_accession	SOWAHD	1	A6NJG2	Maron2021	False
A6NJZ7	A6NJZ7	A6NJZ7	False	canonical_or_unversioned_accession	RIMBP3C	1	A6NJZ7	Maron2021	False
A6NJZ9	A6NJZ9	A6NJZ9	False	canonical_or_unversioned_accession	NOC3L	1	A6NJZ9	Maron2021	False
A6NKF1	A6NKF1	A6NKF1	False	canonical_or_unversioned_accession	SAC3D1	1	A6NKF1	Maron2021	False
A6NKT7	A6NKT7	A6NKT7	False	canonical_or_unversioned_accession	RGPD3	2	A6NKT7	Maron2021	False
A6NMN0	A6NMN0	A6NMN0	False	canonical_or_unversioned_accession	PHKA1	2	A6NMN0	Maron2021	False
A6NMY6	A6NMY6	A6NMY6	False	canonical_or_unversioned_accession	ANXA2P2	2	A6NMY6	Maron2021;ProMetheusDB	False
A6NNC1	A6NNC1	A6NNC1	False	canonical_or_unversioned_accession	LOC441081	1	A6NNC1	Maron2021	False
A6NNM3	A6NNM3	A6NNM3	False	canonical_or_unversioned_accession	RIMBP3B	1	A6NNM3	Maron2021	False
A6NNY8	A6NNY8	A6NNY8	False	canonical_or_unversioned_accession	USP27X	1	A6NNY8	Maron2021	False
A6PVY3	A6PVY3	A6PVY3	False	canonical_or_unversioned_accession	FAM177B	1	A6PVY3	Maron2021	False
A6PW55	A6PW55	A6PW55	False	canonical_or_unversioned_accession	VPS72	1	A6PW55	Maron2021	False
A6QL63	A6QL63	A6QL63	False	canonical_or_unversioned_accession	BTBD11	2	A6QL63	Maron2021	False
A6QL64	A6QL64	A6QL64	False	canonical_or_unversioned_accession	ANKRD36	1	A6QL64	ProMetheusDB	False
A7E2V4	A7E2V4	A7E2V4	False	canonical_or_unversioned_accession	KIAA0913	6	A7E2V4	Maron2021;ProMetheusDB	False
A7KAX9	A7KAX9	A7KAX9	False	canonical_or_unversioned_accession	ARHGAP32	3	A7KAX9	Maron2021;ProMetheusDB	False
A7MAP0	A7MAP0	A7MAP0	False	canonical_or_unversioned_accession	CORO1C	2	A7MAP0	Maron2021	False
A7MBM2	A7MBM2	A7MBM2	False	canonical_or_unversioned_accession	DISP2	1	A7MBM2	Maron2021	False
A7MCY6	A7MCY6	A7MCY6	False	canonical_or_unversioned_accession	TBKBP1	2	A7MCY6	Maron2021;human_ptm_master	False
A7YIJ8	A7YIJ8	A7YIJ8	False	canonical_or_unversioned_accession	RDX	1	A7YIJ8	Maron2021	False
A8CG34	A8CG34	A8CG34	False	canonical_or_unversioned_accession	POM121C	4	A8CG34	Maron2021	False
A8KAH5	A8KAH5	A8KAH5	False	canonical_or_unversioned_accession	IST1	1	A8KAH5	Maron2021	False
A8MSH7	A8MSH7	A8MSH7	False	canonical_or_unversioned_accession	CUL4A	2	A8MSH7	Maron2021	False
A8MTC3	A8MTC3	A8MTC3	False	canonical_or_unversioned_accession	RAI1	4	A8MTC3	Maron2021	False
A8MU08	A8MU08	A8MU08	False	canonical_or_unversioned_accession	DOCK1	1	A8MU08	Maron2021	False
A8MU17	A8MU17	A8MU17	False	canonical_or_unversioned_accession	TRPT1	2	A8MU17	Maron2021	False
A8MU93	A8MU93	A8MU93	False	canonical_or_unversioned_accession	C17orf100	1	A8MU93	Maron2021	False
A8MUW5	A8MUW5	A8MUW5	False	canonical_or_unversioned_accession	FAM98B	5	A8MUW5	Maron2021	False
A8MVJ9	A8MVJ9	A8MVJ9	False	canonical_or_unversioned_accession		2	A8MVJ9	Maron2021	False
A8MWD9	A8MWD9	A8MWD9	False	canonical_or_unversioned_accession	SNRPG	2	A8MWD9	Maron2021	False
A8MX97	A8MX97	A8MX97	False	canonical_or_unversioned_accession	PICALM	2	A8MX97	Maron2021	False
A8MXP9	A8MXP9	A8MXP9	False	canonical_or_unversioned_accession	MATR3	8	A8MXP9	Maron2021	False
A8MYX1	A8MYX1	A8MYX1	False	canonical_or_unversioned_accession	ZNF326	15	A8MYX1	Maron2021	False
A8MZ91	A8MZ91	A8MZ91	False	canonical_or_unversioned_accession	PRMT5	2	A8MZ91	Maron2021	False
A9YTQ3	A9YTQ3	A9YTQ3	False	canonical_or_unversioned_accession	AHRR	1	A9YTQ3	Maron2021	False
B0I1T2	B0I1T2	B0I1T2	False	canonical_or_unversioned_accession	MYO1G	1	B0I1T2	Maron2021	False
B0QY95	B0QY95	B0QY95	False	canonical_or_unversioned_accession	MIEF1	1	B0QY95	Maron2021	False
B0QYC7	B0QYC7	B0QYC7	False	canonical_or_unversioned_accession	CDC42EP1	1	B0QYC7	Maron2021	False
B0QYC8	B0QYC8	B0QYC8	False	canonical_or_unversioned_accession	CDC42EP1	1	B0QYC8	Maron2021	False
B0QYK0	B0QYK0	B0QYK0	False	canonical_or_unversioned_accession	EWSR1	5	B0QYK0	Maron2021	False
B0QYV1	B0QYV1	B0QYV1	False	canonical_or_unversioned_accession	RBFOX2	1	B0QYV1	Maron2021	False
B0S7P1	B0S7P1	B0S7P1	False	canonical_or_unversioned_accession	BRD2	1	B0S7P1	Maron2021	False
B0UZZ8	B0UZZ8	B0UZZ8	False	canonical_or_unversioned_accession	WDR46	2	B0UZZ8	Maron2021	False
B0YIW6	B0YIW6	B0YIW6	False	canonical_or_unversioned_accession	ARCN1	2	B0YIW6	Maron2021	False
B1AH63	B1AH63	B1AH63	False	canonical_or_unversioned_accession	MPPED1	1	B1AH63	Maron2021	False
B1AHF6	B1AHF6	B1AHF6	False	canonical_or_unversioned_accession	PRR5	1	B1AHF6	Maron2021	False
B1AK53	B1AK53	B1AK53	False	canonical_or_unversioned_accession	ESPN	1	B1AK53	Maron2021	False
B1AKN3	B1AKN3	B1AKN3	False	canonical_or_unversioned_accession	RERE	1	B1AKN3	Maron2021	False
B1AKR6	B1AKR6	B1AKR6	False	canonical_or_unversioned_accession	DYNLRB1	1	B1AKR6	Maron2021	False
B1AVU8	B1AVU8	B1AVU8	False	canonical_or_unversioned_accession	PSAP	2	B1AVU8	Maron2021	False
B1N949	B1N949	B1N949	False	canonical_or_unversioned_accession	PPFIA4	1	B1N949	Maron2021	False
B2RCS5	B2RCS5	B2RCS5	False	canonical_or_unversioned_accession	ACTN2	1	B2RCS5	Maron2021	False
B2RTY4	B2RTY4	B2RTY4	False	canonical_or_unversioned_accession	MYO9A	1	B2RTY4	Maron2021	False
B2ZZ83	B2ZZ83	B2ZZ83	False	canonical_or_unversioned_accession	FLNB	7	B2ZZ83	Maron2021	False
B3KSH1	B3KSH1	B3KSH1	False	canonical_or_unversioned_accession	EIF3F	1	B3KSH1	Maron2021	False
B3KTM8	B3KTM8	B3KTM8	False	canonical_or_unversioned_accession	MORF4L1	1	B3KTM8	Maron2021	False
B3KVR1	B3KVR1	B3KVR1	False	canonical_or_unversioned_accession	SNRPN	2	B3KVR1	Maron2021	False
B3KXT8	B3KXT8	B3KXT8	False	canonical_or_unversioned_accession	TBC1D10A	1	B3KXT8	Maron2021	False
B3KXX3	B3KXX3	B3KXX3	False	canonical_or_unversioned_accession	SLC12A6	1	B3KXX3	Maron2021	False
B4DDF4	B4DDF4	B4DDF4	False	canonical_or_unversioned_accession	CNN2	2	B4DDF4	Maron2021	False
B4DI41	B4DI41	B4DI41	False	canonical_or_unversioned_accession	MBD1	2	B4DI41	Maron2021	False
B4DI73	B4DI73	B4DI73	False	canonical_or_unversioned_accession	AARSD1	1	B4DI73	Maron2021	False
B4DKT0	B4DKT0	B4DKT0	False	canonical_or_unversioned_accession	GORASP2	1	B4DKT0	Maron2021	False
B4DLE8	B4DLE8	B4DLE8	False	canonical_or_unversioned_accession	CRYBG3	1	B4DLE8	Maron2021	False
B4DNJ6	B4DNJ6	B4DNJ6	False	canonical_or_unversioned_accession	STRAP	3	B4DNJ6	Maron2021	False
B4DP47	B4DP47	B4DP47	False	canonical_or_unversioned_accession	BCKDHA	1	B4DP47	Maron2021	False
B4DR61	B4DR61	B4DR61	False	canonical_or_unversioned_accession	SEC61A1	1	B4DR61	Maron2021	False
B4DR87	B4DR87	B4DR87	False	canonical_or_unversioned_accession	PLOD1	1	B4DR87	Maron2021	False
B4DST0	B4DST0	B4DST0	False	canonical_or_unversioned_accession	SUV39H1	1	B4DST0	Maron2021	False
B4DT67	B4DT67	B4DT67	False	canonical_or_unversioned_accession	SPATS2L	2	B4DT67	Maron2021	False
B4DW28	B4DW28	B4DW28	False	canonical_or_unversioned_accession	RPS20	3	B4DW28	Maron2021	False
B4DW92	B4DW92	B4DW92	False	canonical_or_unversioned_accession	NR2C2AP	1	B4DW92	Maron2021	False
B4DY08	B4DY08	B4DY08	False	canonical_or_unversioned_accession	HNRNPC	2	B4DY08	Maron2021	False
B4E1T7	B4E1T7	B4E1T7	False	canonical_or_unversioned_accession	PPP2R2A	2	B4E1T7	Maron2021	False
B4E2N0	B4E2N0	B4E2N0	False	canonical_or_unversioned_accession	LZIC	1	B4E2N0	Maron2021	False
B5MBZ0	B5MBZ0	B5MBZ0	False	canonical_or_unversioned_accession	EML4	1	B5MBZ0	Maron2021	False
B5MC40	B5MC40	B5MC40	False	canonical_or_unversioned_accession	GATAD2A	11	B5MC40	Maron2021	False
B5MCN3	B5MCN3	B5MCN3	False	canonical_or_unversioned_accession	SEC14L6	1	B5MCN3	Maron2021	False
B5MDA0	B5MDA0	B5MDA0	False	canonical_or_unversioned_accession	WDR73	1	B5MDA0	Maron2021	False
B5MDQ7	B5MDQ7	B5MDQ7	False	canonical_or_unversioned_accession	TFE3	4	B5MDQ7	Maron2021	False
B5ME19	B5ME19	B5ME19	False	canonical_or_unversioned_accession	EIF3CL	7	B5ME19	Maron2021	False
B5TJY2	B5TJY2	B5TJY2	False	canonical_or_unversioned_accession	FERMT2	2	B5TJY2	Maron2021	False
B7Z484	B7Z484	B7Z484	False	canonical_or_unversioned_accession	KIFC3	2	B7Z484	Maron2021	False
B7Z5W1	B7Z5W1	B7Z5W1	False	canonical_or_unversioned_accession	F11R	1	B7Z5W1	Maron2021	False
B7Z6F8	B7Z6F8	B7Z6F8	False	canonical_or_unversioned_accession	CLINT1	3	B7Z6F8	Maron2021	False
B7Z7L3	B7Z7L3	B7Z7L3	False	canonical_or_unversioned_accession	CYB5R3	2	B7Z7L3	Maron2021	False
B7Z8T0	B7Z8T0	B7Z8T0	False	canonical_or_unversioned_accession	CDK16	1	B7Z8T0	Maron2021	False
B7ZC38	B7ZC38	B7ZC38	False	canonical_or_unversioned_accession	SH3GLB2	2	B7ZC38	Maron2021	False
B7ZKS7	B7ZKS7	B7ZKS7	False	canonical_or_unversioned_accession	USP48	1	B7ZKS7	Maron2021	False
B7ZLM3	B7ZLM3	B7ZLM3	False	canonical_or_unversioned_accession	SAP130	7	B7ZLM3	Maron2021	False
B7ZM82	B7ZM82	B7ZM82	False	canonical_or_unversioned_accession	WIZ	4	B7ZM82	Maron2021	False
B8ZZ34	B8ZZ34	B8ZZ34	False	canonical_or_unversioned_accession	SHISA8	1	B8ZZ34	Maron2021	False
B8ZZB5	B8ZZB5	B8ZZB5	False	canonical_or_unversioned_accession	SH2D7	2	B8ZZB5	Maron2021	False
B8ZZN6	B8ZZN6	B8ZZN6	False	canonical_or_unversioned_accession	SUMO1	1	B8ZZN6	Maron2021	False
B9A6I9	B9A6I9	B9A6I9	False	canonical_or_unversioned_accession	EVI5L	2	B9A6I9	Maron2021	False
B9EGQ7	B9EGQ7	B9EGQ7	False	canonical_or_unversioned_accession	EIF4G3	3	B9EGQ7	Maron2021	False
C4P0B0	C4P0B0	C4P0B0	False	canonical_or_unversioned_accession	DISC1	2	C4P0B0	Maron2021	False
C9J069	C9J069	C9J069	False	canonical_or_unversioned_accession	C9orf172	2	C9J069	Maron2021	False
C9J2K4	C9J2K4	C9J2K4	False	canonical_or_unversioned_accession	ATP6V1F	2	C9J2K4	Maron2021	False
C9J4J4	C9J4J4	C9J4J4	False	canonical_or_unversioned_accession	MEF2B	2	C9J4J4	Maron2021	False
C9J683	C9J683	C9J683	False	canonical_or_unversioned_accession	SAP130	1	C9J683	Maron2021	False
C9J6P4	C9J6P4	C9J6P4	False	canonical_or_unversioned_accession	ZC3HAV1	3	C9J6P4	Maron2021	False
C9J837	C9J837	C9J837	False	canonical_or_unversioned_accession	RAB3GAP1	2	C9J837	Maron2021	False
C9J9K3	C9J9K3	C9J9K3	False	canonical_or_unversioned_accession	RPSA	1	C9J9K3	Maron2021	False
