canonical_UniProtAC	outside_domain_idr_segment_id	outside_domain_idr_start	outside_domain_idr_end	outside_domain_idr_length	arginines_in_segment
O00268	O00268:7:378-426	378	426	49	2
O00268	O00268:9:432-448	432	448	17	1
O00268	O00268:16:728-755	728	755	28	1
O00291	O00291:1:1-20	1	20	20	1
O00294	O00294:1:1-295	1	295	295	29
O00401	O00401:4:263-403	263	403	141	8
O00444	O00444:3:320-428	320	428	109	10
O00470	O00470:9:369-375	369	375	7	1
O00512	O00512:4:505-564	505	564	60	4
O00512	O00512:5:568-627	568	627	60	4
O00512	O00512:18:1249-1276	1249	1276	28	2
O00541	O00541:4:294-315	294	315	22	2
O00555	O00555:8:810-1221	810	1221	412	51
O00562	O00562:8:1204-1244	1204	1244	41	5
O00571	O00571:2:12-150	12	150	139	15
O00571	O00571:6:580-639	580	639	60	8
O00712	O00712:4:231-377	231	377	147	6
O00712	O00712:6:383-420	383	420	38	1
O00716	O00716:4:90-177	90	177	88	6
O00762	O00762:1:1-29	1	29	29	3
O14497	O14497:1:1-893	1	893	893	25
O14497	O14497:7:1112-1498	1112	1498	387	16
O14497	O14497:8:1502-1647	1502	1647	146	9
O14511	O14511:2:831-850	831	850	20	3
O14559	O14559:17:1051-1075	1051	1075	25	1
O14559	O14559:21:1089-1287	1089	1287	199	19
O14578	O14578:22:1904-2027	1904	2027	124	20
O14647	O14647:9:1556-1662	1556	1662	107	9
O14647	O14647:11:1679-1828	1679	1828	150	21
O14654	O14654:4:403-654	403	654	252	21
O14654	O14654:6:666-945	666	945	280	15
O14686	O14686:17:2165-2827	2165	2827	663	34
O14686	O14686:18:2829-2996	2829	2996	168	11
O14686	O14686:32:3577-3708	3577	3708	132	5
O14686	O14686:34:3726-3848	3726	3848	123	3
O14686	O14686:35:3851-3897	3851	3897	47	1
O14686	O14686:39:4212-4212	4212	4212	1	1
O14686	O14686:48:4880-4980	4880	4980	101	6
O14776	O14776:1:1-128	1	128	128	11
O14776	O14776:8:575-590	575	590	16	1
O14776	O14776:15:1078-1098	1078	1098	21	4
O14777	O14777:1:1-48	1	48	48	3
O14908	O14908:1:1-55	1	55	55	4
O14908	O14908:2:220-238	220	238	19	2
O14924	O14924:7:507-527	507	527	21	2
O14924	O14924:14:613-653	613	653	41	7
O14976	O14976:12:1160-1199	1160	1199	40	3
O14979	O14979:1:1-121	1	121	121	19
O14979	O14979:3:313-349	313	349	37	6
O14979	O14979:4:398-420	398	420	23	1
O15018	O15018:5:184-321	184	321	138	9
O15021	O15021:2:86-166	86	166	81	7
O15021	O15021:20:1598-1671	1598	1671	74	6
O15027	O15027:2:32-360	32	360	329	17
O15027	O15027:9:498-606	498	606	109	5
O15027	O15027:15:753-829	753	829	77	2
O15027	O15027:25:1210-1250	1210	1250	41	5
O15027	O15027:27:1303-1378	1303	1378	76	10
O15037	O15037:7:316-408	316	408	93	12
O15047	O15047:2:191-364	191	364	174	10
O15047	O15047:3:366-655	366	655	290	18
O15047	O15047:12:889-1251	889	1251	363	27
O15061	O15061:29:1483-1499	1483	1499	17	3
O15067	O15067:10:1032-1033	1032	1033	2	1
O15069	O15069:15:745-1410	745	1410	666	13
O15156	O15156:3:167-312	167	312	146	7
O15164	O15164:4:474-557	474	557	84	7
O15164	O15164:7:640-713	640	713	74	5
O15169	O15169:12:497-595	497	595	99	6
O15230	O15230:1:1-4	1	4	4	1
O15231	O15231:5:293-540	293	540	248	21
O15234	O15234:1:1-140	1	140	140	9
O15234	O15234:2:250-541	250	541	292	31
O15357	O15357:5:896-1118	896	1118	223	15
O15357	O15357:7:1133-1182	1133	1182	50	5
O15370	O15370:2:110-288	110	288	179	16
O15417	O15417:6:134-263	134	263	130	12
O15504	O15504:1:26-85	26	85	60	6
O15523	O15523:1:1-123	1	123	123	14
O15523	O15523:6:578-628	578	628	51	7
O15534	O15534:4:564-601	564	601	38	4
O15534	O15534:12:805-877	805	877	73	8
O15534	O15534:14:888-904	888	904	17	1
O15553	O15553:1:93-227	93	227	135	16
O43143	O43143:1:1-115	1	115	115	16
O43182	O43182:1:1-120	1	120	120	9
O43189	O43189:6:453-530	453	530	78	5
O43293	O43293:4:451-454	451	454	4	1
O43347	O43347:2:187-197	187	197	11	1
O43390	O43390:4:412-459	412	459	48	9
O43390	O43390:5:490-633	490	633	144	20
O43414	O43414:1:1-21	1	21	21	2
O43432	O43432:18:664-674	664	674	11	3
O43432	O43432:19:677-713	677	713	37	7
O43464	O43464:1:1-11	1	11	11	2
O43464	O43464:3:70-83	70	83	14	1
O43482	O43482:1:1-18	1	18	18	4
O43491	O43491:1:1-209	1	209	209	8
O43491	O43491:3:671-801	671	801	131	9
O43497	O43497:1:1-50	1	50	50	3
O43497	O43497:24:2103-2146	2103	2146	44	5
O43516	O43516:2:57-503	57	503	447	40
O43541	O43541:1:1-116	1	116	116	21
O43566	O43566:1:1-57	1	57	57	2
O43572	O43572:1:1-56	1	56	56	6
O43638	O43638:2:117-158	117	158	42	5
O43665	O43665:1:1-35	1	35	35	4
O43670	O43670:7:382-478	382	478	97	6
O43678	O43678:1:1-11	1	11	11	1
O43709	O43709:1:1-17	1	17	17	3
O43719	O43719:1:1-55	1	55	55	1
O43719	O43719:9:377-755	377	755	379	11
O43765	O43765:2:65-90	65	90	26	2
O43809	O43809:1:1-16	1	16	16	2
O43818	O43818:1:1-76	1	76	76	7
O43823	O43823:5:103-127	103	127	25	3
O43823	O43823:8:167-226	167	226	60	8
O43823	O43823:9:229-255	229	255	27	2
O43823	O43823:11:263-384	263	384	122	22
O43824	O43824:3:15-84	15	84	70	11
O43865	O43865:5:525-530	525	530	6	1
O43896	O43896:16:942-1103	942	1103	162	21
O43900	O43900:1:1-28	1	28	28	7
O60216	O60216:9:400-560	400	560	161	11
O60229	O60229:8:2243-2315	2243	2315	73	5
O60237	O60237:13:752-864	752	864	113	16
O60241	O60241:14:1358-1389	1358	1389	32	4
O60244	O60244:4:973-1167	973	1167	195	9
O60264	O60264:6:1012-1052	1012	1052	41	4
O60269	O60269:3:112-189	112	189	78	6
O60282	O60282:13:702-720	702	720	19	2
O60293	O60293:1:1-133	1	133	133	15
O60293	O60293:2:135-219	135	219	85	15
O60307	O60307:6:788-895	788	895	108	11
O60318	O60318:2:292-433	292	433	142	16
O60331	O60331:8:448-463	448	463	16	1
O60343	O60343:5:577-580	577	580	4	1
O60346	O60346:2:36-118	36	118	83	8
O60469	O60469:4:1642-1655	1642	1655	14	1
O60504	O60504:12:519-611	519	611	93	9
O60506	O60506:6:427-454	427	454	28	4
O60506	O60506:7:491-623	491	623	133	21
O60519	O60519:1:1-25	1	25	25	2
O60610	O60610:1:1-42	1	42	42	3
O60716	O60716:8:98-102	98	102	5	1
O60716	O60716:17:242-265	242	265	24	4
O60755	O60755:2:313-368	313	368	56	11
O60763	O60763:1:1-20	1	20	20	1
O60828	O60828:5:81-265	81	265	185	27
O60880	O60880:2:105-128	105	128	24	2
O60884	O60884:3:359-412	359	412	54	3
O60885	O60885:2:173-232	173	232	60	3
O75037	O75037:14:1192-1273	1192	1273	82	12
O75052	O75052:7:266-289	266	289	24	1
O75064	O75064:6:720-744	720	744	25	3
O75064	O75064:8:890-972	890	972	83	9
O75112	O75112:1:85-188	85	188	104	7
O75113	O75113:18:485-537	485	537	53	2
O75122	O75122:2:318-369	318	369	52	5
O75122	O75122:4:375-395	375	395	21	2
O75122	O75122:17:886-929	886	929	44	2
O75179	O75179:1:1-144	1	144	144	7
O75179	O75179:20:1906-1999	1906	1999	94	6
O75179	O75179:22:2005-2197	2005	2197	193	5
O75182	O75182:1:1-33	1	33	33	3
O75319	O75319:1:1-33	1	33	33	5
O75319	O75319:5:249-264	249	264	16	1
O75319	O75319:7:300-309	300	309	10	2
O75335	O75335:21:1125-1138	1125	1138	14	3
O75376	O75376:1:1-119	1	119	119	11
O75376	O75376:8:359-370	359	370	12	2
O75376	O75376:11:492-619	492	619	128	13
O75376	O75376:12:675-923	675	923	249	11
O75376	O75376:43:1486-1557	1486	1557	72	5
O75376	O75376:44:1634-1647	1634	1647	14	1
O75376	O75376:45:1663-1766	1663	1766	104	13
O75381	O75381:5:226-377	226	377	152	10
O75385	O75385:4:393-560	393	560	168	17
O75400	O75400:1:1-38	1	38	38	4
O75400	O75400:5:72-103	72	103	32	1
O75420	O75420:5:104-431	104	431	328	37
O75449	O75449:4:94-185	94	185	92	11
O75467	O75467:10:181-226	181	226	46	6
O75493	O75493:2:304-328	304	328	25	6
O75494	O75494:2:89-113	89	113	25	3
O75525	O75525:2:178-208	178	208	31	5
O75525	O75525:3:210-265	210	265	56	9
O75525	O75525:4:321-346	321	346	26	4
O75526	O75526:2:87-172	87	172	86	18
O75526	O75526:3:218-392	218	392	175	33
O75533	O75533:4:95-328	95	328	234	20
O75626	O75626:7:324-376	324	376	53	3
O75676	O75676:4:725-772	725	772	48	8
O75791	O75791:1:150-250	150	250	101	9
O75792	O75792:5:291-299	291	299	9	1
O75821	O75821:2:189-238	189	238	50	5
O75909	O75909:3:279-580	279	580	302	7
O75937	O75937:6:180-253	180	253	74	12
O75962	O75962:8:2285-2545	2285	2545	261	15
O76031	O76031:7:255-274	255	274	20	1
O76041	O76041:4:795-795	795	795	1	1
O94804	O94804:4:419-502	419	502	84	4
O94826	O94826:5:67-113	67	113	47	6
O94855	O94855:2:274-285	274	285	12	2
O94874	O94874:4:406-475	406	475	70	6
O94885	O94885:19:898-1080	898	1080	183	11
O94913	O94913:13:976-994	976	994	19	2
O94913	O94913:15:1000-1027	1000	1027	28	2
O94913	O94913:18:1038-1105	1038	1105	68	8
O94913	O94913:19:1110-1153	1110	1153	44	2
O94979	O94979:8:790-918	790	918	129	3
O94989	O94989:1:1-201	1	201	201	16
O95071	O95071:2:77-116	77	116	40	4
O95071	O95071:4:131-177	131	177	47	9
O95071	O95071:15:969-1035	969	1035	67	8
O95071	O95071:32:2316-2376	2316	2376	61	19
O95104	O95104:18:853-1147	853	1147	295	40
O95147	O95147:1:1-11	1	11	11	2
O95197	O95197:33:754-768	754	768	15	2
O95208	O95208:4:161-216	161	216	56	2
O95260	O95260:6:461-467	461	467	7	1
O95359	O95359:1:1-302	1	302	302	17
O95400	O95400:4:176-203	176	203	28	6
O95425	O95425:32:1200-1206	1200	1206	7	2
O95429	O95429:1:1-107	1	107	107	7
O95429	O95429:2:109-153	109	153	45	2
O95429	O95429:6:165-378	165	378	214	7
O95486	O95486:5:49-227	49	227	179	4
O95486	O95486:6:232-233	232	233	2	1
O95613	O95613:54:3223-3302	3223	3302	80	13
O95639	O95639:2:173-239	173	239	67	4
O95644	O95644:2:20-46	20	46	27	2
O95678	O95678:1:1-15	1	15	15	3
O95685	O95685:1:1-23	1	23	23	3
O95721	O95721:1:1-44	1	44	44	4
O95801	O95801:2:24-32	24	32	9	1
O95801	O95801:3:47-58	47	58	12	2
O95817	O95817:1:1-19	1	19	19	1
O95817	O95817:2:55-93	55	93	39	4
O95817	O95817:5:122-201	122	201	80	5
O95817	O95817:8:214-420	214	420	207	11
O95819	O95819:12:504-812	504	812	309	29
O95835	O95835:4:143-280	143	280	138	11
O95948	O95948:3:28-102	28	102	75	2
O95985	O95985:2:819-855	819	855	37	10
O95996	O95996:27:1409-1498	1409	1498	90	12
O96013	O96013:3:93-302	93	302	210	24
P00390	P00390:4:522-522	522	522	1	1
P02538	P02538:1:1-16	1	16	16	3
P03372	P03372:3:258-286	258	286	29	6
P04049	P04049:4:218-335	218	335	118	11
P04259	P04259:1:1-16	1	16	16	3
P04350	P04350:1:1-2	1	2	2	1
P04637	P04637:5:289-318	289	318	30	2
P04792	P04792:1:1-7	1	7	7	2
P04920	P04920:1:1-240	1	240	240	23
P05198	P05198:2:280-315	280	315	36	3
P05388	P05388:1:1-7	1	7	7	2
P05783	P05783:3:38-46	38	46	9	1
P05783	P05783:5:50-51	50	51	2	1
P05783	P05783:6:54-57	54	57	4	1
P05783	P05783:8:423-430	423	430	8	1
P05787	P05787:1:1-25	1	25	25	3
P06748	P06748:2:120-244	120	244	125	3
P07900	P07900:3:296-301	296	301	6	1
P07910	P07910:5:138-190	138	190	53	7
P08069	P08069:2:470-483	470	483	14	2
P08151	P08151:5:133-177	133	177	45	2
P08151	P08151:10:506-581	506	581	76	8
P08151	P08151:11:596-614	596	614	19	2
P08238	P08238:3:288-293	288	293	6	1
P08621	P08621:3:188-437	188	437	250	70
P08651	P08651:6:263-354	263	354	92	6
P08651	P08651:7:363-372	363	372	10	1
P08651	P08651:9:393-404	393	404	12	1
P08651	P08651:14:438-505	438	505	68	3
P08670	P08670:1:1-6	1	6	6	1
P08727	P08727:1:1-19	1	19	19	1
P08727	P08727:2:36-47	36	47	12	1
P08729	P08729:3:26-34	26	34	9	1
P08729	P08729:6:459-469	459	469	11	3
P08758	P08758:1:1-7	1	7	7	1
P09012	P09012:2:100-196	100	196	97	5
P09017	P09017:3:18-131	18	131	114	5
P09651	P09651:3:185-218	185	218	34	4
P09651	P09651:4:221-225	221	225	5	1
P09651	P09651:5:227-235	227	235	9	1
P09651	P09651:8:254-287	254	287	34	1
P09651	P09651:11:345-372	345	372	28	3
P0C0S8	P0C0S8:1:1-6	1	6	6	1
P0C1Z6	P0C1Z6:5:49-77	49	77	29	8
P0C7T5	P0C7T5:4:353-409	353	409	57	5
P0DI83	P0DI83:3:121-198	121	198	78	13
P10070	P10070:24:923-1030	923	1030	108	15
P10070	P10070:27:1079-1106	1079	1106	28	1
P10070	P10070:32:1180-1216	1180	1216	37	1
P10071	P10071:6:173-176	173	176	4	1
P10071	P10071:8:220-220	220	220	1	1
P10071	P10071:23:1020-1069	1020	1069	50	5
P10075	P10075:2:111-138	111	138	28	2
P10244	P10244:18:687-687	687	687	1	1
P10244	P10244:19:691-700	691	700	10	1
P10301	P10301:1:1-28	1	28	28	3
P10412	P10412:1:1-33	1	33	33	2
P11137	P11137:7:1506-1639	1506	1639	134	12
P11161	P11161:11:273-303	273	303	31	1
P11171	P11171:1:1-124	1	124	124	4
P11388	P11388:5:1183-1434	1183	1434	252	10
P11717	P11717:1:1-17	1	17	17	2
P11717	P11717:4:2354-2491	2354	2491	138	7
P11831	P11831:1:1-99	1	99	99	9
P11940	P11940:2:435-477	435	477	43	6
P11940	P11940:3:485-502	485	502	18	1
P12270	P12270:24:1533-1551	1533	1551	19	2
P12270	P12270:30:1617-1675	1617	1675	59	5
P12270	P12270:36:1802-2142	1802	2142	341	15
P12270	P12270:38:2160-2189	2160	2189	30	2
P12270	P12270:41:2227-2363	2227	2363	137	10
P12872	P12872:2:54-61	54	61	8	1
P14678	P14678:2:87-96	87	96	10	1
P14678	P14678:3:112-115	112	115	4	1
P14678	P14678:7:127-147	127	147	21	2
P14678	P14678:8:162-240	162	240	79	8
P14866	P14866:1:1-99	1	99	99	14
P14866	P14866:3:289-379	289	379	91	7
P15407	P15407:6:63-102	63	102	40	6
P15822	P15822:24:937-955	937	955	19	1
P15863	P15863:4:44-49	44	49	6	3
P15880	P15880:1:1-57	1	57	57	11
P15923	P15923:2:29-113	29	113	85	5
P15923	P15923:9:342-388	342	388	47	1
P15924	P15924:7:1239-1242	1239	1242	4	1
P15924	P15924:31:2809-2871	2809	2871	63	7
P15941	P15941:3:1213-1244	1213	1244	32	2
P16383	P16383:1:1-230	1	230	230	25
P16402	P16402:1:1-34	1	34	34	1
P16989	P16989:2:161-171	161	171	11	1
P16989	P16989:3:174-174	174	174	1	1
P16989	P16989:4:176-372	176	372	197	34
P17029	P17029:5:301-376	301	376	76	7
P17483	P17483:3:63-135	63	135	73	4
P17655	P17655:2:9-17	9	17	9	1
P17676	P17676:1:1-4	1	4	4	1
P17812	P17812:1:561-591	561	591	31	2
P17844	P17844:1:1-39	1	39	39	6
P17844	P17844:2:476-497	476	497	22	7
P18031	P18031:7:377-398	377	398	22	1
P18583	P18583:27:948-951	948	951	4	1
P18583	P18583:28:953-958	953	958	6	1
P18583	P18583:30:962-965	962	965	4	1
P18615	P18615:3:76-257	76	257	182	43
P18858	P18858:1:1-278	1	278	278	15
P19013	P19013:2:9-13	9	13	5	2
P19013	P19013:3:39-43	39	43	5	1
P19174	P19174:2:1222-1237	1222	1237	16	2
P19174	P19174:4:1244-1249	1244	1249	6	1
P19174	P19174:5:1271-1290	1271	1290	20	7
P19338	P19338:4:472-481	472	481	10	1
P19338	P19338:5:561-571	561	571	11	2
P19338	P19338:6:650-710	650	710	61	10
P19622	P19622:2:83-207	83	207	125	4
P20290	P20290:1:1-47	1	47	47	8
P20339	P20339:1:1-16	1	16	16	2
P20339	P20339:2:181-215	181	215	35	3
P20340	P20340:2:176-185	176	185	10	2
P20700	P20700:1:1-30	1	30	30	4
P20916	P20916:5:573-576	573	576	4	2
P20929	P20929:20:8381-8423	8381	8423	43	4
P20930	P20930:4:254-3974	254	3974	3721	417
P21127	P21127:2:17-415	17	415	399	60
P21281	P21281:2:7-7	7	7	1	1
P21281	P21281:6:505-511	505	511	7	1
P21333	P21333:1:1-39	1	39	39	2
P22059	P22059:1:1-8	1	8	8	1
P22083	P22083:2:63-113	63	113	51	8
P22413	P22413:2:61-68	61	68	8	2
P22626	P22626:2:192-235	192	235	44	4
P22626	P22626:3:238-278	238	278	41	2
P22626	P22626:6:335-353	335	353	19	2
P23246	P23246:1:1-289	1	289	289	15
P23246	P23246:3:577-707	577	707	131	15
P23443	P23443:1:1-60	1	60	60	8
P23443	P23443:9:517-519	517	519	3	1
P23443	P23443:10:521-525	521	525	5	1
P23526	P23526:2:426-432	426	432	7	1
P23588	P23588:5:65-93	65	93	29	5
P23588	P23588:6:176-611	176	611	436	65
P23760	P23760:1:1-24	1	24	24	3
P23771	P23771:4:78-86	78	86	9	1
P24928	P24928:7:1601-1615	1601	1615	15	1
P24941	P24941:3:295-298	295	298	4	1
P25054	P25054:16:957-988	957	988	32	2
P25054	P25054:26:1395-1476	1395	1476	82	4
P25098	P25098:7:683-689	683	689	7	1
P25940	P25940:7:535-1429	535	1429	895	35
P26196	P26196:1:1-42	1	42	42	2
P26358	P26358:2:123-352	123	352	230	27
P26368	P26368:1:1-90	1	90	90	26
P26599	P26599:2:35-55	35	55	21	1
P27448	P27448:3:370-609	370	609	240	21
P27694	P27694:2:119-155	119	155	37	1
P27695	P27695:1:1-60	1	60	60	2
P27708	P27708:7:1805-1912	1805	1912	108	9
P28340	P28340:1:1-65	1	65	65	6
P28702	P28702:1:1-24	1	24	24	2
P28702	P28702:2:36-191	36	191	156	8
P29590	P29590:5:872-882	872	882	11	2
P29597	P29597:1:1-18	1	18	18	2
P29692	P29692:3:36-40	36	40	5	1
P30291	P30291:1:1-22	1	22	22	4
P30291	P30291:2:25-186	25	186	162	13
P30291	P30291:3:188-201	188	201	14	1
P30304	P30304:15:259-320	259	320	62	5
P31260	P31260:4:184-208	184	208	25	1
P31275	P31275:3:94-131	94	131	38	4
P31942	P31942:1:100-115	100	115	16	3
P31942	P31942:2:117-121	117	121	5	1
P31942	P31942:7:341-346	341	346	6	1
P31943	P31943:3:195-218	195	218	24	4
P31944	P31944:1:1-10	1	10	10	1
P33176	P33176:15:904-963	904	963	60	6
P33240	P33240:6:303-411	303	411	109	13
P33240	P33240:7:461-493	461	493	33	3
P33316	P33316:2:25-66	25	66	42	6
P33316	P33316:3:68-68	68	68	1	1
P33991	P33991:1:1-82	1	82	82	10
P33991	P33991:2:84-126	84	126	43	5
P33993	P33993:2:308-321	308	321	14	1
P35226	P35226:2:102-120	102	120	19	1
P35249	P35249:1:1-37	1	37	37	1
P35368	P35368:3:387-432	387	432	46	5
P35520	P35520:1:1-75	1	75	75	4
P35527	P35527:5:466-623	466	623	158	5
P35568	P35568:3:268-434	268	434	167	16
P35568	P35568:11:592-695	592	695	104	7
P35579	P35579:2:1922-1960	1922	1960	39	5
P35580	P35580:2:1929-1976	1929	1976	48	5
P35606	P35606:3:830-873	830	873	44	2
P35611	P35611:1:1-27	1	27	27	3
P35637	P35637:1:1-284	1	284	284	11
P35637	P35637:2:373-421	373	421	49	6
P35637	P35637:3:454-526	454	526	73	15
P35869	P35869:1:1-26	1	26	26	3
P35908	P35908:1:1-20	1	20	20	3
P35908	P35908:4:513-639	513	639	127	6
P36402	P36402:5:339-384	339	384	46	5
P36578	P36578:5:68-71	68	71	4	1
P36578	P36578:6:78-92	78	92	15	3
P36776	P36776:4:958-959	958	959	2	1
P36915	P36915:1:1-85	1	85	85	14
P37287	P37287:1:1-15	1	15	15	2
P38159	P38159:2:87-172	87	172	86	14
P38159	P38159:3:218-391	218	391	174	30
P38432	P38432:3:347-390	347	390	44	4
P38432	P38432:5:406-438	406	438	33	7
P38919	P38919:1:1-16	1	16	16	2
P38936	P38936:3:117-164	117	164	48	7
P39060	P39060:3:645-931	645	931	287	14
P39687	P39687:3:147-249	147	249	103	4
P40197	P40197:2:474-500	474	500	27	2
P40425	P40425:1:1-47	1	47	47	2
P41208	P41208:1:1-27	1	27	27	2
P41219	P41219:1:1-12	1	12	12	1
P42166	P42166:2:51-108	51	108	58	5
P42166	P42166:3:156-212	156	212	57	4
P42167	P42167:3:156-271	156	271	116	14
P42167	P42167:8:362-365	362	365	4	2
P42356	P42356:1:1-23	1	23	23	1
P42658	P42658:1:1-90	1	90	90	8
P42679	P42679:1:1-6	1	6	6	1
P42684	P42684:1:1-47	1	47	47	8
P42694	P42694:4:1157-1185	1157	1185	29	2
P42694	P42694:5:1242-1350	1242	1350	109	7
P42694	P42694:21:1699-1781	1699	1781	83	6
P42696	P42696:1:1-125	1	125	125	11
P42768	P42768:1:1-22	1	22	22	2
P42768	P42768:4:301-426	301	426	126	9
P43026	P43026:2:28-165	28	165	138	12
P43243	P43243:1:1-19	1	19	19	2
P43243	P43243:3:85-104	85	104	20	2
P43243	P43243:6:183-216	183	216	34	5
P43243	P43243:8:249-261	249	261	13	2
P43243	P43243:11:333-394	333	394	62	3
P43364	P43364:1:1-32	1	32	32	4
P45973	P45973:2:79-114	79	114	36	3
P45985	P45985:2:53-71	53	71	19	1
P46087	P46087:6:769-812	769	812	44	4
P46100	P46100:10:965-1512	965	1512	548	40
P46100	P46100:11:1913-2002	1913	2002	90	2
P46100	P46100:21:2461-2492	2461	2492	32	2
P46108	P46108:2:120-125	120	125	6	2
P46379	P46379:6:453-530	453	530	78	3
P46527	P46527:1:1-30	1	30	30	4
P46527	P46527:2:81-198	81	198	118	10
P46776	P46776:1:1-41	1	41	41	7
P46783	P46783:2:98-165	98	165	68	12
P46821	P46821:5:851-1164	851	1164	314	8
P46821	P46821:15:2091-2349	2091	2349	259	5
P48382	P48382:4:250-317	250	317	68	6
P48449	P48449:1:1-18	1	18	18	3
P48634	P48634:1:189-725	189	725	537	36
P48634	P48634:3:734-789	734	789	56	6
P48634	P48634:5:795-1799	795	1799	1005	107
P48634	P48634:7:1832-1880	1832	1880	49	2
P48634	P48634:21:2061-2094	2061	2094	34	3
P48668	P48668:1:1-16	1	16	16	3
P48730	P48730:2:299-415	299	415	117	20
P49189	P49189:2:19-21	19	21	3	1
P49321	P49321:4:112-267	112	267	156	4
P49450	P49450:1:1-46	1	46	46	12
P49589	P49589:2:652-688	652	688	37	5
P49591	P49591:3:472-514	472	514	43	2
P49593	P49593:4:94-116	94	116	23	2
P49674	P49674:2:301-416	301	416	116	18
P49736	P49736:1:1-61	1	61	61	7
P49750	P49750:1:1-384	1	384	384	7
P49750	P49750:4:524-1215	524	1215	692	60
P49750	P49750:16:1465-1832	1465	1832	368	44
P49756	P49756:8:271-694	271	694	424	91
P49757	P49757:5:196-203	196	203	8	1
P49790	P49790:35:1447-1475	1447	1475	29	4
P49792	P49792:20:1005-1038	1005	1038	34	1
P49792	P49792:23:1077-1101	1077	1101	25	1
P49840	P49840:1:1-97	1	97	97	3
P49848	P49848:6:523-545	523	545	23	1
P49959	P49959:3:551-619	551	619	69	12
P50238	P50238:2:64-77	64	77	14	1
P50548	P50548:4:184-226	184	226	43	4
P50548	P50548:5:228-250	228	250	23	3
P50570	P50570:4:745-870	745	870	126	11
P50579	P50579:1:1-125	1	125	125	7
P50749	P50749:5:111-164	111	164	54	9
P50750	P50750:2:343-372	343	372	30	4
P51114	P51114:2:375-378	375	378	4	1
P51114	P51114:3:449-460	449	460	12	3
P51116	P51116:4:578-673	578	673	96	15
P51148	P51148:1:1-16	1	16	16	2
P51610	P51610:23:1191-1204	1191	1204	14	2
P51610	P51610:24:1219-1220	1219	1220	2	1
P51610	P51610:25:1222-1251	1222	1251	30	2
P51610	P51610:35:1485-1517	1485	1517	33	2
P51617	P51617:2:104-138	104	138	35	2
P51617	P51617:7:687-712	687	712	26	1
P51858	P51858:2:93-240	93	240	148	6
P51991	P51991:1:1-34	1	34	34	7
P51991	P51991:2:206-227	206	227	22	3
P51991	P51991:5:241-258	241	258	18	2
P51991	P51991:9:281-297	281	297	17	1
P51991	P51991:13:334-378	334	378	45	3
P52272	P52272:2:150-154	150	154	5	1
P52272	P52272:10:390-412	390	412	23	2
P52272	P52272:17:510-512	510	512	3	1
P52298	P52298:2:121-156	121	156	36	6
P52597	P52597:4:202-210	202	210	9	1
P52597	P52597:5:212-212	212	212	1	1
P52701	P52701:1:1-88	1	88	88	8
P52746	P52746:10:1047-1094	1047	1094	48	3
P52824	P52824:1:1-59	1	59	59	6
P53365	P53365:6:45-87	45	87	43	2
P53667	P53667:2:259-321	259	321	63	5
P53814	P53814:3:127-457	127	457	331	26
P53814	P53814:6:528-542	528	542	15	1
P53814	P53814:8:620-793	620	793	174	21
