canonical_UniProtAC	substrate_genename	methyl_site_count	arginine_count	other_methyl	other_arg	odds_ratio	log2_odds_ratio	p_value	q_value	expected_global_rate	posterior_rate	shrinkage_log2_enrichment	binom_p_value	binom_q_value	protein_length	label
O94913	PCF11	33	103	12812	642678	23.35986466009341	4.545960010595974	1.948572869684309e-30	6.234134134409999e-28	0.01998347804306599	0.12210130563898744	2.6111990219608643	2.0218361582370706e-30	6.468527815586468e-28	1555	PCF11 (O94913)
Q96E39	RBMXL1	27	54	12818	642727	49.140656083005034	5.618845214316767	1.4730479497931786e-31	5.890964259214554e-29	0.01998347804306599	0.12203423467957952	2.6104063234227195	1.5114212510671937e-31	6.044425486559552e-29	390	RBMXL1 (Q96E39)
Q07666	KHDRBS1	24	34	12821	642747	114.63779588971649	6.840938966441848	1.7405746035733645e-33	8.353017522548575e-31	0.01998347804306599	0.11964399832740683	2.581868423833462	1.7770047732971697e-33	8.527845907053117e-31	443	KHDRBS1 (Q07666)
Q8NC51	SERBP1	24	40	12821	642741	72.95062980150529	6.188848528240759	7.429402089498642e-31	2.5466929019645703e-28	0.01998347804306599	0.11665289836922166	2.5453425478083482	7.583287352110745e-31	2.5994425716271047e-28	408	SERBP1 (Q8NC51)
Q00839	HNRNPU	24	45	12821	642736	55.984922672582115	5.806966441445965	4.0498089357808745e-29	1.0228964780427587e-26	0.01998347804306599	0.11427222697393143	2.5155952044142964	4.1329641733620535e-29	1.043899740419184e-26	825	HNRNPU (Q00839)
Q86U42	PABPN1	22	28	12823	642753	170.04161530363425	7.409744058754322	1.3581452522360932e-32	5.925217332255465e-30	0.01998347804306599	0.11402059477461929	2.5124148269472157	1.3820370172927763e-32	6.0294505872618484e-30	306	PABPN1 (Q86U42)
Q9Y520	PRRC2C	39	178	12806	642603	13.924941089643237	3.79959931905164	1.0485587688813732e-28	2.516016765930855e-26	0.01998347804306599	0.11374787198045819	2.5089599500161763	1.1008614594208865e-28	2.6415170718804173e-26	2896	PRRC2C (Q9Y520)
P67809	YBX1	23	39	12822	642742	69.96759602261649	6.1286150186419315	2.235757111586185e-29	5.960776876945612e-27	0.01998347804306599	0.11295688539168702	2.498892608925377	2.2781182628624408e-29	6.073716413042696e-27	324	YBX1 (P67809)
Q15654	TRIP6	22	34	12823	642747	88.42079775412329	6.466313845586552	1.761066006348599e-29	4.9713857438040745e-27	0.01998347804306599	0.11109698978039828	2.4749401215285527	1.791696940259547e-29	5.0578550684150386e-27	476	TRIP6 (Q15654)
Q8WUF5	PPP1R13L	24	59	12821	642722	33.90560804282859	5.083452012096589	1.7713290019199291e-25	3.400243152085496e-23	0.01998347804306599	0.1080953498402054	2.435424855730313	1.8068156185274333e-25	3.468363261325261e-23	828	PPP1R13L (Q8WUF5)
P09651	HNRNPA1	20	25	12825	642756	183.06705391602665	7.516228366334687	4.906873330646659e-30	1.4717553196108323e-27	0.01998347804306599	0.10665198048272533	2.416031150871549	4.977824147319055e-30	1.493036130186509e-27	372	HNRNPA1 (P09651)
O60506	SYNCRIP	22	45	12823	642736	47.031517932917374	5.555555990531107	1.0697421195831116e-25	2.1390385132830634e-23	0.01998347804306599	0.10610896166780898	2.408666902109387	1.0879634469429336e-25	2.1754735757829743e-23	623	SYNCRIP (O60506)
O00571	DDX3X	23	55	12822	642726	35.52110802825562	5.150604680008296	8.127309445174545e-25	1.5001137702843324e-22	0.01998347804306599	0.10586939454358117	2.4054059800472674	8.276857812426741e-25	1.5277169477629203e-22	662	DDX3X (O00571)
P51991	HNRNPA3	20	29	12825	642752	105.98551610791823	6.727723310534727	8.56636445727462e-28	1.9576182395457571e-25	0.01998347804306599	0.10478906379307074	2.3906085539916417	8.689207659009477e-28	1.9856908359803086e-25	378	HNRNPA3 (P51991)
Q15056	EIF4H	20	30	12825	642751	95.89150520447546	6.583331110942044	2.521092578872334e-27	5.4994196754583325e-25	0.01998347804306599	0.10433345916788347	2.3843222911442106	2.5571705150712273e-27	5.578118773557645e-25	248	EIF4H (Q15056)
Q92841	DDX17	23	59	12822	642722	31.62818301519429	4.983138772770387	5.813429152403848e-24	9.96380232228074e-22	0.01998347804306599	0.10423434597920153	2.3829511292195713	5.9196140548341564e-24	1.01457956604104e-21	729	DDX17 (Q92841)
P49750	YLPM1	35	177	12810	642604	12.247466818954024	3.614411477939412	2.4997865071129272e-24	4.443139054679606e-22	0.01998347804306599	0.10343951089817824	2.371907753359555	2.5972292589889313e-24	4.616334523662178e-22	2146	YLPM1 (P49750)
P52272	HNRNPM	22	54	12823	642727	34.006919387782645	5.087756416273714	1.7055882228058148e-23	2.8224544418086565e-21	0.01998347804306599	0.10234919530950078	2.3566201543397916	1.7341428223514276e-23	2.869707380849828e-21	730	HNRNPM (P52272)
P31942	HNRNPH3	19	28	12826	642753	100.80763099422043	6.655461042707971	2.9619131499252123e-26	6.180096176735259e-24	0.01998347804306599	0.10086270003777718	2.33551314576007	3.000074079573737e-26	6.2597197860323315e-24	346	HNRNPH3 (P31942)
P17844	DDX5	21	51	12824	642730	34.62376317358744	5.113690631169712	1.3043494249478262e-22	2.0192170613950382e-20	0.01998347804306599	0.09958842871957449	2.31717042364537	1.324207424179104e-22	2.0499585253662966e-20	614	DDX5 (P17844)
Q04637	EIF4G1	25	98	12820	642683	17.044894616323187	4.091267774624657	1.0640094845796156e-20	1.41838375458266e-18	0.01998347804306599	0.09730434767991006	2.28369656767742	1.085784308876229e-20	1.4474108050825065e-18	1599	EIF4G1 (Q04637)
Q1KMD3	HNRNPUL2	21	60	12824	642721	26.734422493338748	4.740626607419851	7.654993120235937e-21	1.0496089138289218e-18	0.01998347804306599	0.0961411369562046	2.2663461645676874	7.76943188073713e-21	1.065300102733071e-18	747	HNRNPUL2 (Q1KMD3)
P11940	PABPC1	19	43	12826	642738	39.08774245284595	5.288644357791978	2.576638603995211e-21	3.636849606050888e-19	0.01998347804306599	0.09463660744285267	2.2435906563190304	2.6087573678439e-21	3.6821842965537865e-19	636	PABPC1 (P11940)
Q96EV2	RBM33	22	75	12823	642706	20.657720255853285	4.368609144973654	7.533024153691998e-20	9.037745728391973e-18	0.01998347804306599	0.09453343857677526	2.2420170326999354	7.654093295999783e-20	9.182998431875739e-18	1170	RBM33 (Q96EV2)
Q14444	CAPRIN1	18	34	12827	642747	55.05940362502436	5.782917078379146	4.146064579640428e-22	6.217801224279504e-20	0.01998347804306599	0.09400297268638119	2.233898680135842	4.1930062568417357e-22	6.28819907080734e-20	709	CAPRIN1 (Q14444)
P19338	NCL	17	26	12828	642755	90.45428250831311	6.499116902954976	3.3676615337046503e-23	5.387135900082872e-21	0.01998347804306599	0.09290573278147432	2.2169599211808806	3.402042211724566e-23	5.442133524688731e-21	710	NCL (P19338)
Q9Y2W1	THRAP3	25	114	12820	642667	13.997407042099779	3.807087693916873	5.706953625048125e-19	5.953841401436077e-17	0.01998347804306599	0.09234616435864076	2.208244339247955	5.8205005728422e-19	6.0723004889282e-17	955	THRAP3 (Q9Y2W1)
P23246	SFPQ	20	60	12825	642721	24.859576624692995	4.635729821420278	1.9793517616223108e-19	2.158842978187607e-17	0.01998347804306599	0.09229498311005076	2.207444529060131	2.005941104003183e-19	2.187843490479835e-17	707	SFPQ (P23246)
Q9H0D6	XRN2	21	72	12824	642709	20.504651859097063	4.357879343774728	5.884068826277217e-19	6.00800985049029e-17	0.01998347804306599	0.09189961620813676	2.2012511363458027	5.969900712975225e-19	6.095649685440023e-17	950	XRN2 (Q9H0D6)
P33240	CSTF2	18	41	12827	642740	38.658300609146735	5.272706314002903	3.327052539958743e-20	4.292815035647043e-18	0.01998347804306599	0.09127259588636182	2.1913740634892847	3.364111263846201e-20	4.331007395205029e-18	577	CSTF2 (P33240)
Q9BUJ2	HNRNPUL1	20	66	12825	642715	21.651683075928624	4.436407270921002	1.7115859058489896e-18	1.6024758899056368e-16	0.01998347804306599	0.0902131413857639	2.1745299065873964	1.7342840453697426e-18	1.6104850068633645e-16	856	HNRNPUL1 (Q9BUJ2)
Q9NY12	GAR1	16	25	12829	642756	85.27881875857655	6.414115549600934	1.1038741690300133e-21	1.605300647628798e-19	0.01998347804306599	0.08887420270494754	2.1529570121112593	1.1137979115290154e-21	1.6197321749781046e-19	217	GAR1 (Q9NY12)
O43390	HNRNPR	18	49	12827	642732	28.839953225492106	4.849996919611545	1.6330096026723947e-18	1.5673626166449643e-16	0.01998347804306599	0.0883401430064787	2.1442614676511655	1.6508599797437975e-18	1.584495408558097e-16	633	HNRNPR (O43390)
Q5VT52	RPRD2	19	61	12826	642720	22.53228999704197	4.4939220395963675	6.777390994708994e-18	5.807982032787226e-16	0.01998347804306599	0.08810994486058696	2.140497163354927	6.8585354633804125e-18	5.877519944421892e-16	1461	RPRD2 (Q5VT52)
P22087	FBL	16	29	12829	642752	60.01063954168128	5.907146399829207	3.3991867337901155e-20	4.292815035647043e-18	0.01998347804306599	0.0873218148847738	2.1275344152313527	3.4294286521731843e-20	4.331007395205029e-18	321	FBL (P22087)
Q13242	SRSF9	16	30	12829	642751	55.87188604925878	5.804050616593052	7.147259015354638e-20	8.79479384991972e-18	0.01998347804306599	0.08694215482005738	2.121248152383921	7.210681020319086e-20	8.872835440131101e-18	221	SRSF9 (Q13242)
P31943	HNRNPH1	16	31	12829	642750	52.26716526553596	5.707833011058064	1.4493784149625353e-19	1.656087384144097e-17	0.01998347804306599	0.08656578185546838	2.1149891619122387	1.462206060926262e-19	1.6707444967583646e-17	449	HNRNPH1 (P31943)
Q86V81	ALYREF	16	32	12829	642749	49.09938033438559	5.617632911807163	2.8443574522696823e-19	3.033349202987157e-17	0.01998347804306599	0.08619265348540171	2.108757208200724	2.869465485160204e-19	3.0601255251741825e-17	257	ALYREF (Q86V81)
P0DI83	RAB34	16	34	12829	642747	43.79120017948499	5.452569084967115	1.0041579984756483e-18	9.834600478948238e-17	0.01998347804306599	0.08545596413937265	2.096373483744892	1.0129756518518028e-18	9.920959496401636e-17	198	RAB34 (P0DI83)
Q96I24	FUBP3	16	35	12829	642746	41.54543165241166	5.376617941443587	1.8150582056566907e-18	1.6130489498048998e-16	0.01998347804306599	0.08509232173877956	2.0902212567632965	1.830954674055967e-18	1.6271762001471454e-16	572	FUBP3 (Q96I24)
Q9BTD8	RBM42	16	35	12829	642746	41.54543165241166	5.376617941443587	1.8150582056566907e-18	1.6130489498048998e-16	0.01998347804306599	0.08509232173877956	2.0902212567632965	1.830954674055967e-18	1.6271762001471454e-16	480	RBM42 (Q9BTD8)
P22626	HNRNPA2B1	15	25	12830	642756	72.47507891352636	6.179413094034209	8.688730659940721e-20	1.0170053277330614e-17	0.01998347804306599	0.0844297582605031	2.0789438832001905	8.75674162123884e-20	1.0249659278128095e-17	353	HNRNPA2B1 (P22626)
Q08211	DHX9	19	74	12826	642707	17.25410020007143	4.108867334192926	3.8133604046049087e-16	2.951663964790155e-14	0.01998347804306599	0.08392954601683648	2.0703710769642845	3.857685447360553e-16	2.985972977723112e-14	1270	DHX9 (Q08211)
Q15424	SAFB	21	101	12824	642680	13.117278917560986	3.7133965694706186	1.125646540721554e-15	8.310734998342674e-14	0.01998347804306599	0.08304550036084118	2.05509430083644	1.1411025948415175e-15	8.420236034837511e-14	915	SAFB (Q15424)
P08670	VIM	16	43	12829	642738	29.459113761253363	4.880642124328446	1.0188943247028837e-16	8.430472179739896e-15	0.01998347804306599	0.08229092843050699	2.0419256997225155	1.0276312990034148e-16	8.502763110202393e-15	466	VIM (P08670)
Q14011	CIRBP	14	21	12831	642760	94.91202899115459	6.568519038467996	1.6395459317683773e-19	1.829809517803824e-17	0.01998347804306599	0.08143301180367962	2.0268060612662073	1.650739317244239e-19	1.842301856617466e-17	172	CIRBP (Q14011)
P18583	SON	25	159	12820	642622	9.313594239244797	3.2193380303458285	2.297819114411098e-15	1.6216520485380676e-13	0.01998347804306599	0.08077073985686127	2.0150250543165305	2.3399670491248982e-15	1.6513973336397626e-13	2426	SON (P18583)
Q8WWM7	ATXN2L	16	49	12829	642732	24.18262423414321	4.595898905403076	1.1483329968177206e-15	8.34977280564885e-14	0.01998347804306599	0.08030801449242247	2.0067362712602153	1.1580237097296847e-15	8.420236034837511e-14	1075	ATXN2L (Q8WWM7)
Q13435	SF3B2	16	50	12829	642731	23.481641325952246	4.553461348737911	1.6570724815489113e-15	1.18690908044078e-13	0.01998347804306599	0.07998678243445279	2.0009539186662093	1.671019036959274e-15	1.1968985609503814e-13	895	SF3B2 (Q13435)
O75525	KHDRBS3	14	25	12831	642756	61.898756287600655	5.951838516996744	5.829784245542347e-18	5.086751744428678e-16	0.01998347804306599	0.07998531381605865	2.000927429440602	5.869114516035823e-18	5.121069193173802e-16	346	KHDRBS3 (O75525)
Q15596	NCOA2	17	64	12828	642717	18.089765181555048	4.177101775726296	7.222840496972864e-15	4.951773077853253e-13	0.01998347804306599	0.07953293791141362	1.992744764237615	7.28990257118692e-15	4.997748919875147e-13	1464	NCOA2 (Q15596)
Q14157	UBAP2L	15	39	12830	642742	31.060057786412955	4.956988608710898	5.131448126661664e-16	3.908860247595131e-14	0.01998347804306599	0.07948408204440668	1.991858266436479	5.170069998725034e-16	3.938280305378006e-14	1087	UBAP2L (Q14157)
P07900	HSP90AA1	14	30	12831	642751	43.1412149787632	5.43099490233505	1.7314469252847757e-16	1.384868965740273e-14	0.01998347804306599	0.07824650264614434	1.9692185697132638	1.742954623905261e-16	1.3940732066868913e-14	732	HSP90AA1 (P07900)
Q92945	KHSRP	14	30	12831	642751	43.1412149787632	5.43099490233505	1.7314469252847757e-16	1.384868965740273e-14	0.01998347804306599	0.07824650264614434	1.9692185697132638	1.742954623905261e-16	1.3940732066868913e-14	711	KHSRP (Q92945)
P98179	RBM3	13	18	12832	642763	120.4905902980713	6.912776673488243	6.286285436268164e-19	6.284975793468941e-17	0.01998347804306599	0.07796649361749174	1.964046553564125	6.323228497230007e-19	6.321911157959751e-17	157	RBM3 (P98179)
P55795	HNRNPH2	14	31	12831	642750	40.67593812103028	5.346103714465579	3.09859854847529e-16	2.4377335137922815e-14	0.01998347804306599	0.07790777319745973	1.9629595792415813	3.119130965449866e-16	2.4538868038022797e-14	449	HNRNPH2 (P55795)
Q14152	EIF3A	29	225	12816	642556	7.376522034602938	2.8829407585441698	3.1670028634039023e-15	2.202673440793526e-13	0.01998347804306599	0.07763928378497222	1.9579791092007808	3.240878527527362e-15	2.2540545005222915e-13	1382	EIF3A (Q14152)
Q9BX40	LSM14B	14	33	12831	642748	36.503931131020714	5.1899799319714734	9.214928557733738e-16	6.909756585713157e-14	0.01998347804306599	0.07723903694683776	1.9505224760033586	9.27562344792876e-16	6.955268269782831e-14	385	LSM14B (Q9BX40)
Q15233	NONO	15	46	12830	642735	24.15755426522739	4.594402497065519	9.15373702547957e-15	6.1871526739826e-13	0.01998347804306599	0.07722233987241138	1.9502105690779878	9.221276542506741e-15	6.232803679928148e-13	471	NONO (Q15233)
Q32P51	HNRNPA1L2	13	22	12832	642759	69.75726721830877	6.124271617688282	3.38651404051431e-17	2.851207172004943e-15	0.01998347804306599	0.07656169193069008	1.9378150119909454	3.406163050178169e-17	2.867750259264041e-15	320	HNRNPA1L2 (Q32P51)
Q13310	PABPC4	14	38	12831	642743	29.053918648860783	4.860660855212827	9.907186491800546e-15	6.603414996409836e-13	0.01998347804306599	0.07561636810341679	1.9198908573496956	9.971461395188376e-15	6.646256004931807e-13	644	PABPC4 (Q13310)
Q9H0L4	CSTF2T	14	40	12831	642741	26.861084786187295	4.7474456641371106	2.2901317627875276e-14	1.4851813958942359e-12	0.01998347804306599	0.07498623170255499	1.9078180250491206	2.3048993927903498e-14	1.4947584035136337e-12	616	CSTF2T (Q9H0L4)
Q8TAP9	MPLKIP	12	15	12833	642766	175.30389215724472	7.453714217438745	1.7363772926670788e-18	1.6024758899056368e-16	0.01998347804306599	0.07440323538889859	1.896557657409889	1.7450556440278173e-18	1.6104850068633645e-16	179	MPLKIP (Q8TAP9)
Q86TB9	PATL1	15	57	12830	642724	17.90469813427105	4.162266290515287	3.2071653376031993e-13	1.9732290327125323e-11	0.01998347804306599	0.07391710353545991	1.8871005252233495	3.2300923869058156e-13	1.987335046764232e-11	770	PATL1 (Q86TB9)
O95817	BAG3	13	31	12832	642750	35.82078759062979	5.162725153054463	1.1868220152837103e-14	7.80213541280346e-13	0.01998347804306599	0.07357876886845541	1.8804818369249938	1.1935110024231722e-14	7.84610863099836e-13	575	BAG3 (O95817)
Q9BTC0	DIDO1	24	183	12821	642598	7.544903697587699	2.9155024864511865	4.970536539146559e-13	2.9448894878227576e-11	0.01998347804306599	0.07309842195460366	1.8710325614919099	5.049547466576798e-13	2.991701023716303e-11	2240	DIDO1 (Q9BTC0)
P20700	LMNB1	14	48	12831	642733	20.63216540815825	4.366823339265799	4.0964086103329094e-13	2.4573331151234542e-11	0.01998347804306599	0.07256732100247257	1.8605123102707637	4.1221845452196836e-13	2.4727954540636576e-11	586	LMNB1 (P20700)
P08729	KRT7	13	36	12832	642745	28.1991195891416	4.817578215518268	1.2111380963354034e-13	7.548378862744936e-12	0.01998347804306599	0.0720198966466661	1.8495878289792103	1.2178537163445385e-13	7.59023374641226e-12	469	KRT7 (P08729)
Q5JSZ5	PRRC2B	22	164	12823	642617	7.754609649635845	2.955054160925018	2.8680258682842554e-12	1.496049580640885e-10	0.01998347804306599	0.07141949343025604	1.8375102009132613	2.9064366501421357e-12	1.516085813481751e-10	2229	PRRC2B (Q5JSZ5)
P10070	GLI2	16	80	12829	642701	12.559349500651207	3.6506898380589554	5.1462694473498286e-12	2.5793818620786187e-10	0.01998347804306599	0.07141677003076143	1.83745518638333	5.186176222306062e-12	2.619837862194399e-10	1586	GLI2 (P10070)
Q12906	ILF3	13	39	12832	642742	25.006647331914472	4.6442397416965715	4.0252948932341006e-13	2.4452392648899304e-11	0.01998347804306599	0.0711158812075866	1.831364070360303	4.0473960276453487e-13	2.4586650046417755e-11	894	ILF3 (Q12906)
P51114	FXR1	14	54	12831	642727	17.575380898569925	4.135484051014373	2.463096548084469e-12	1.2989450916766337e-10	0.01998347804306599	0.07085313231737479	1.8260239338854731	2.478310149954732e-12	1.3069681768827208e-10	621	FXR1 (P51114)
Q5BKZ1	ZNF326	13	40	12832	642741	24.0972764465225	4.590798192415794	5.853134238344505e-13	3.425511123148205e-11	0.01998347804306599	0.07081956503588832	1.8253402827325327	5.885165625747643e-13	3.4442572973125534e-11	582	ZNF326 (Q5BKZ1)
Q9ULX6	AKAP8L	13	41	12832	642740	23.251721061859794	4.539265601452759	8.412202030297178e-13	4.749430299223077e-11	0.01998347804306599	0.07052570791955684	1.81934154211109	8.45808643959108e-13	4.775336096893835e-11	646	AKAP8L (Q9ULX6)
O43516	WIPF1	13	42	12832	642739	22.463491465987776	4.489510275929071	1.1957962919227298e-12	6.596122304525495e-11	0.01998347804306599	0.0702342793744347	1.8133676410664568	1.2022972687777e-12	6.631982290648485e-11	503	WIPF1 (O43516)
Q86WR7	C10orf47	13	43	12832	642738	21.72694905673032	4.441413697397802	1.6822922796423965e-12	9.071146797757147e-11	0.01998347804306599	0.06994524941816131	1.8074183747352706	1.6914079078743967e-12	9.120299494257562e-11	435	C10orf47 (Q86WR7)
P55072	VCP	14	58	12831	642723	15.995469803726522	3.999591461429898	7.142143296612871e-12	3.53352017324177e-10	0.01998347804306599	0.06975463414191162	1.8034813652343848	7.1857111501163376e-12	3.5550750318977633e-10	806	VCP (P55072)
Q9UPN6	SCAF8	16	87	12829	642694	11.329636924515915	3.502029723425017	1.9813387216799296e-11	9.414301510239586e-10	0.01998347804306599	0.06967489759098676	1.8018312766526088	1.9964052083359554e-11	9.48588969782599e-10	1271	SCAF8 (Q9UPN6)
Q9P2N5	RBM27	15	73	12830	642708	13.007356269466086	3.7012558605933457	1.564750505956457e-11	7.585088563722261e-10	0.01998347804306599	0.06958496559931575	1.7999679334973753	1.5754244635794217e-11	7.636830303755196e-10	1060	RBM27 (Q9P2N5)
Q99700	ATXN2	15	74	12830	642707	12.788724936215864	3.6768005264331336	1.9260083872532695e-11	9.24291425042844e-10	0.01998347804306599	0.06933100587085109	1.794692991456701	1.9391078019978285e-11	9.30577834178758e-10	1313	ATXN2 (Q99700)
P08238	HSP90AB1	12	32	12833	642749	29.9291250889678	4.9034782003770205	6.283183074502789e-13	3.6328910330769736e-11	0.01998347804306599	0.06895127417505689	1.7867695118717772	6.312776007384864e-13	3.650001452944574e-11	724	HSP90AB1 (P08238)
Q9HAH7	FBRS	12	34	12833	642747	27.26867183543071	4.769172528066791	1.4703184708741201e-12	8.01824811559648e-11	0.01998347804306599	0.06836194704535555	1.7743857874159448	1.477194510984038e-12	8.055745975241361e-11	460	FBRS (Q9HAH7)
P14678	SNRPB	11	20	12834	642761	59.413597396819014	5.892721238910489	2.8747528822323786e-14	1.8152551423464717e-12	0.01998347804306599	0.06816679822096908	1.7702615213888253	2.8864411456184514e-14	1.8226356655030194e-12	240	SNRPB (P14678)
Q9NZB2	FAM120A	14	65	12831	642716	13.821174680483292	3.7888083324433572	3.767075191096844e-11	1.7217327468641672e-09	0.01998347804306599	0.06791205890042716	1.7648600712070774	3.789554978068318e-11	1.732007079976177e-09	1118	FAM120A (Q9NZB2)
Q13283	G3BP1	12	37	12833	642744	24.06047820616539	4.588593411499743	4.69821528670301e-12	2.424380124826639e-10	0.01998347804306599	0.0674966059435156	1.7560072581010902	4.719953239219218e-12	2.4355973758078525e-10	466	G3BP1 (Q13283)
P12270	TPR	19	141	12826	642640	7.816332258549543	2.966491795040876	7.849693334428966e-11	3.393754802876091e-09	0.01998347804306599	0.06743899005458416	1.754775230900639	7.927487379333956e-11	3.4273884624705993e-09	2363	TPR (P12270)
Q06787	FMR1	13	53	12832	642728	16.362010520163647	4.032278128573834	3.211521016243576e-11	1.481931668937781e-09	0.01998347804306599	0.06718061505380711	1.7492373036467412	3.2283519919130507e-11	1.4896981931914164e-09	632	FMR1 (Q06787)
Q8IWX8	CHERP	14	68	12831	642713	13.060313870645883	3.707117663608083	7.195628392807097e-11	3.139256423371024e-09	0.01998347804306599	0.06715184928587015	1.7486194301998665	7.238162126819528e-11	3.1578127315097194e-09	916	CHERP (Q8IWX8)
O15523	DDX3Y	13	55	12832	642726	15.59198404785643	3.9627326145766784	5.3363904761774674e-11	2.393396064969688e-09	0.01998347804306599	0.06665370826907137	1.7378774414821936	5.3641697816881664e-11	2.4058552133010758e-09	660	DDX3Y (O15523)
O14497	ARID1A	15	87	12830	642694	10.495357640535953	3.391679423731483	2.176970502154659e-10	9.006277103310524e-09	0.01998347804306599	0.06619057703349546	1.7278181477415397	2.191211971231749e-10	9.065195043052727e-09	2285	ARID1A (O14497)
Q8WXI9	GATAD2B	12	42	12833	642739	20.11597784231459	4.330269964293588	2.5561879407102295e-11	1.2026613654380776e-09	0.01998347804306599	0.06610204796947602	1.7258872697247547	2.567804858907461e-11	1.2081270115585201e-09	593	GATAD2B (Q8WXI9)
Q14151	SAFB2	16	103	12829	642678	9.257696714603064	3.210653300207556	2.777816061600902e-10	1.1393794256087804e-08	0.01998347804306599	0.06599569507793135	1.7235642198553456	2.7980010060505407e-10	1.1476587032509867e-08	953	SAFB2 (Q14151)
O14654	IRS4	16	105	12829	642676	9.050792070736067	3.178044053689729	3.729794378480275e-10	1.4916069351939035e-08	0.01998347804306599	0.06556293642168262	1.714072770878048	3.75674153508212e-10	1.5023835522382576e-08	1257	IRS4 (O14654)
P13639	EEF2	12	44	12833	642737	18.87801157427526	4.238634908156662	4.6978823191527e-11	2.1268997405296047e-09	0.01998347804306599	0.06556022790415245	1.714013169436463	4.719078949156681e-11	2.1364962148115956e-09	858	EEF2 (P13639)
Q8ND56	LSM14A	12	47	12833	642734	17.28260434152035	4.111248730646128	1.1009473085684063e-10	4.717362619481949e-09	0.01998347804306599	0.0647639498324421	1.6963832754146717	1.1058610358869371e-10	4.738417063590546e-09	463	LSM14A (Q8ND56)
Q9BXP5	SRRT	14	79	12831	642702	10.866788940503943	3.4418537920151553	5.913778201394912e-10	2.3262476711880476e-08	0.01998347804306599	0.06450428533553118	1.6905873088284515	5.947526548161364e-10	2.339522943002163e-08	876	SRRT (Q9BXP5)
O95429	BAG4	10	19	12835	642762	54.242971282360394	5.761364302434603	7.929154702534743e-13	4.53000159731717e-11	0.01998347804306599	0.06391185209412419	1.6772757954899309	7.955429505755199e-13	4.545012642633238e-11	457	BAG4 (O95429)
Q9NYF8	BCLAF1	16	114	12829	642667	8.223698633958103	3.039787396431048	1.296701744223879e-09	4.7868243619464586e-08	0.01998347804306599	0.06368374397647515	1.6721174544366693	1.3058292462624278e-09	4.8205188867795314e-08	920	BCLAF1 (Q9NYF8)
Q14697	GANAB	13	67	12832	642714	12.158655006193063	3.6039117411675443	7.461563843386787e-10	2.8646435907530552e-08	0.01998347804306599	0.06365803598731534	1.6715349466534972	7.498850916714677e-10	2.8789588439450986e-08	944	GANAB (Q14697)
