canonical_UniProtAC	methyl_site_count	nearest_distance_min	nearest_distance_median	max_methyl_sites_in_3aa_window	max_methyl_sites_in_5aa_window	max_methyl_sites_in_10aa_window	max_methyl_sites_in_20aa_window	max_methyl_sites_in_50aa_window	gene
Q13895	9	1.0	2.0	3	3	5	5	6	BYSL
Q14103	9	1.0	2.0	2	3	4	4	4	HNRNPD
Q15459	9	1.0	9.0	2	2	2	3	4	SF3A1
Q6PJG2	9	1.0	4.0	2	2	3	3	4	C14orf43
Q99613	9	1.0	15.0	2	2	2	3	3	EIF3C
O43823	9	2.0	4.0	2	2	4	4	5	AKAP8
P17096	9	2.0	2.0	2	3	3	4	7	HMGA1
P78332	9	2.0	10.0	2	2	2	3	4	RBM6
Q13151	9	2.0	3.0	2	3	4	6	6	HNRNPA0
Q14676	9	2.0	39.0	2	2	2	2	3	MDC1
Q6Y7W6	9	2.0	4.0	2	2	3	4	8	GIGYF2
Q92615	9	2.0	15.0	2	2	2	2	4	LARP4B
Q92925	9	2.0	10.0	2	2	2	3	5	SMARCD2
Q96JP5	9	2.0	3.0	2	3	5	5	5	ZFP91
Q99832	9	2.0	10.0	2	3	3	4	4	CCT7
O15234	9	3.0	17.0	2	2	2	2	3	CASC3
O75533	9	3.0	66.0	2	2	2	2	2	SF3B1
P36578	9	3.0	5.0	2	2	3	4	6	RPL4
P06733	9	4.0	6.0	1	2	2	2	4	ENO1
P31040	9	4.0	5.0	1	2	3	3	3	SDHA
Q6W2J9	9	4.0	18.0	1	2	2	2	2	BCOR
Q6ZUT6	9	4.0	6.0	1	2	3	3	5	C15orf52
Q86UU0	9	5.0	8.0	1	2	2	3	3	BCL9L
Q9UN86	9	5.0	6.0	1	2	3	4	7	G3BP2
O75369	9	6.0	25.0	1	1	2	2	2	FLNB
P08727	9	6.0	8.0	1	1	2	3	5	KRT19
P12277	9	6.0	30.0	1	1	2	2	3	CKB
Q52LJ0	9	6.0	6.0	1	1	2	4	6	FAM98B
Q9UKV3	9	6.0	40.0	1	1	2	2	3	ACIN1
Q9UPN9	9	6.0	18.0	1	1	2	3	5	TRIM33
P02545	9	7.0	23.0	1	1	2	3	3	LMNA
P43243	9	7.0	24.0	1	1	2	2	3	MATR3
Q8WXF1	9	7.0	13.0	1	1	2	2	3	PSPC1
O94906	9	8.0	43.0	1	1	2	2	3	PRPF6
Q8NFD5	9	8.0	37.0	1	1	2	2	3	ARID1B
Q14687	9	9.0	33.0	1	1	2	2	3	GSE1
Q96PK6	9	10.0	11.0	1	1	2	2	4	RBM14
O75179	9	33.0	68.0	1	1	1	1	2	ANKRD17
P05423	8	1.0	2.0	2	3	4	4	4	POLR3D
P46940	8	1.0	7.0	2	2	2	2	2	IQGAP1
P62805	8	1.0	6.5	2	2	3	4	7	HIST1H4A
Q12888	8	1.0	2.0	3	4	5	5	6	TP53BP1
Q75N03	8	1.0	13.5	2	2	2	2	3	CBLL1
Q99569	8	1.0	4.0	2	3	3	4	7	PKP4
Q99729	8	1.0	1.5	2	3	4	4	4	HNRNPAB
Q9Y285	8	1.0	2.0	2	2	3	5	5	FARSA
Q9Y2L1	8	1.0	3.0	2	2	3	3	5	DIS3
A0AV96	8	2.0	5.0	2	3	4	5	7	RBM47
O14776	8	2.0	7.0	2	2	3	4	6	TCERG1
P05787	8	2.0	6.0	2	2	2	3	5	KRT8
P15880	8	2.0	4.0	2	2	3	5	5	RPS2
P20290	8	2.0	3.0	2	3	4	5	7	BTF3
P62633	8	2.0	2.0	2	3	5	6	7	CNBP
P84103	8	2.0	8.0	2	2	3	3	5	SRSF3
P84243	8	2.0	14.5	2	2	3	3	5	H3-3A
P98175	8	2.0	12.0	2	2	3	3	4	RBM10
Q5T200	8	2.0	3.5	2	2	3	4	5	ZC3H13
Q5VWX1	8	2.0	4.0	2	2	3	4	4	KHDRBS2
Q66K74	8	2.0	4.5	2	2	3	3	4	MAP1S
Q96AE4	8	2.0	10.0	2	3	3	3	5	FUBP1
Q9NYL2	8	2.0	2.0	2	2	2	4	7	MAP3K20
Q9Y4Z0	8	2.0	4.0	2	2	3	4	7	LSM4
P07910	8	3.0	6.0	2	2	2	3	5	HNRNPC
P50991	8	3.0	9.5	2	2	2	3	4	CCT4
Q86UK7	8	3.0	5.5	2	2	3	5	6	ZNF598
Q9BXF3	8	3.0	8.5	2	2	2	2	3	CECR2
Q9C0C2	8	3.0	5.0	2	2	3	3	3	TNKS1BP1
Q9NQS1	8	3.0	7.0	2	2	3	4	7	AVEN
Q9UPQ9	8	3.0	9.0	2	2	2	3	3	TNRC6B
Q9Y580	8	3.0	6.0	2	2	2	4	6	RBM7
P33316	8	4.0	10.5	1	2	2	3	3	DUT
Q9H361	8	4.0	6.5	1	2	2	3	6	PABPC3
O43896	8	5.0	5.0	1	2	3	4	4	KIF1C
P05783	8	5.0	7.0	1	2	3	3	5	KRT18
O43707	8	9.0	62.0	1	1	2	2	3	ACTN4
Q14247	8	12.0	18.5	1	1	1	2	3	CTTN
P49792	8	17.0	75.5	1	1	1	2	2	RANBP2
Q00610	8	19.0	44.0	1	1	1	2	3	CLTC
O14641	7	1.0	10.0	2	2	3	3	5	DVL2
P25205	7	1.0	48.0	2	2	2	2	2	MCM3
P38646	7	1.0	53.0	2	2	2	2	3	HSPA9
P49327	7	1.0	15.0	2	2	2	2	2	FASN
P50570	7	1.0	5.0	2	2	3	4	4	DNM3
P52597	7	1.0	6.0	2	2	3	4	5	HNRNPF
P55060	7	1.0	1.0	2	2	2	3	4	CSE1L
P63244	7	1.0	9.0	2	2	2	2	2	GNB2L1
P79522	7	1.0	5.0	2	3	4	5	6	PRR3
Q02790	7	1.0	14.0	2	2	2	2	3	FKBP4
Q14498	7	1.0	13.0	3	3	3	4	5	RBM39
Q14566	7	1.0	3.0	2	2	3	3	3	MCM6
Q96DI7	7	1.0	2.0	2	2	2	3	3	SNRNP40
Q96FS4	7	1.0	2.0	2	2	3	3	5	SIPA1
Q96LA8	7	1.0	2.0	3	3	5	6	7	PRMT6
Q96PC5	7	1.0	3.0	2	2	3	4	4	CTAGE5
Q9NYV4	7	1.0	3.0	3	3	3	3	3	CDK12
O15357	7	2.0	10.0	2	2	3	4	4	INPPL1
P02538	7	2.0	8.0	2	2	2	3	5	KRT6A
P04637	7	2.0	4.0	2	3	3	3	4	TP53
P07437	7	2.0	6.0	2	2	2	2	4	TUBB
P08621	7	2.0	4.0	2	2	2	2	3	SNRNP70
P23526	7	2.0	15.0	2	2	2	2	2	AHCY
Q13608	7	2.0	2.0	2	2	3	3	5	PEX6
Q2LD37	7	2.0	3.0	2	2	3	3	3	KIAA1109
Q5T8P6	7	2.0	2.0	2	2	4	5	7	RBM26
Q659C4	7	2.0	4.0	2	2	4	5	5	LARP1B
Q71RC2	7	2.0	6.0	2	2	3	3	3	LARP4
Q7Z460	7	2.0	29.0	2	3	3	3	4	CLASP1
Q8TER5	7	2.0	3.0	2	2	2	3	3	ARHGEF40
Q8WUA2	7	2.0	2.0	2	2	4	4	4	PPIL4
Q96DH6	7	2.0	2.0	2	3	3	3	4	MSI2
Q9H2U1	7	2.0	13.0	2	3	3	4	5	DHX36
Q9NR12	7	2.0	3.0	2	2	3	4	5	PDLIM7
Q9P107	7	2.0	4.0	2	2	3	4	7	GMIP
O15047	7	3.0	3.0	2	2	2	2	2	SETD1A
O43598	7	3.0	5.0	2	2	3	5	6	RCL
P25705	7	3.0	4.0	2	2	3	3	3	ATP5A1
Q8TDC3	7	3.0	12.0	2	2	2	3	5	BRSK1
Q96BH1	7	3.0	4.0	2	2	3	3	4	RNF25
Q9NR30	7	3.0	10.0	2	2	3	4	4	DDX21
B5ME19	7	4.0	66.0	1	2	2	2	2	EIF3CL
O14908	7	4.0	7.0	1	2	3	4	5	GIPC1
O60716	7	4.0	5.0	1	2	2	3	3	CTNND1
Q08170	7	4.0	6.0	1	2	2	4	4	SRSF4
Q14160	7	4.0	121.0	1	2	2	2	2	SCRIB
Q14683	7	4.0	28.0	1	2	2	2	2	SMC1A
Q8IU81	7	4.0	12.0	1	2	2	2	3	IRF2BP1
Q8IZ83	7	4.0	10.0	1	2	2	2	2	ALDH16A1
Q8N163	7	4.0	12.0	1	2	2	2	4	CCAR2
Q9HCD6	7	4.0	5.0	1	2	3	3	3	TANC2
P49368	7	5.0	33.0	1	2	2	2	3	CCT3
P53814	7	5.0	35.0	1	2	2	3	3	SMTN
Q07020	7	5.0	26.0	1	2	2	3	3	RPL18
Q99959	7	5.0	11.0	1	2	2	2	2	PKP2
Q9P2R6	7	5.0	8.0	1	2	3	4	6	RERE
P14625	7	6.0	46.0	1	1	2	2	2	HSP90B1
Q96HA1	7	6.0	9.0	1	1	2	3	4	POM121
Q9Y6Q9	7	6.0	11.0	1	1	2	3	4	NCOA3
O95071	7	7.0	55.0	1	1	2	3	3	UBR5
P04792	7	7.0	7.0	1	1	2	3	5	HSPB1
P62249	7	7.0	8.0	1	1	2	2	4	RPS16
Q86X51	7	7.0	9.0	1	1	2	3	4	EZHIP
P17858	7	8.0	9.0	1	1	2	2	2	PFKL
Q5JRA6	7	8.0	10.0	1	1	2	3	5	MIA3
Q5VUA4	7	9.0	53.0	1	1	2	2	2	ZNF318
Q9H0E3	7	9.0	29.0	1	1	2	3	3	SAP130
Q8WUM4	7	10.0	51.0	1	1	2	2	3	PDCD6IP
P30101	7	11.0	21.0	1	1	1	2	2	PDIA3
Q4VCS5	7	11.0	44.0	1	1	1	2	2	AMOT
Q7KZF4	7	11.0	56.0	1	1	1	2	2	SND1
Q8TF74	7	11.0	35.0	1	1	1	2	3	WIPF2
Q15020	7	12.0	50.0	1	1	1	2	3	SART3
Q7L2J0	7	13.0	14.0	1	1	1	2	4	MEPCE
Q96EP5	7	17.0	42.0	1	1	1	2	3	DAZAP1
P68104	7	29.0	32.0	1	1	1	1	2	EEF1A1
P21333	7	92.0	225.0	1	1	1	1	1	FLNA
O14647	6	1.0	28.5	2	2	2	2	3	CHD2
O75400	6	1.0	7.0	2	2	2	2	4	PRPF40A
P15311	6	1.0	2.0	2	2	2	2	3	EZR
P26358	6	1.0	3.0	2	2	2	2	2	DNMT1
P26373	6	1.0	3.0	2	2	2	3	6	RPL13
P42167	6	1.0	1.0	2	2	2	3	4	TMPO
P46939	6	1.0	45.0	2	2	2	2	2	UTRN
P52701	6	1.0	107.0	2	2	2	2	2	MSH6
P55789	6	1.0	2.0	2	3	4	4	6	GFER
P62136	6	1.0	10.0	2	2	2	2	3	PPP1CC
Q14978	6	1.0	4.0	2	2	2	2	4	NOLC1
Q15029	6	1.0	10.0	2	2	2	2	3	EFTUD2
Q15717	6	1.0	2.0	2	2	2	4	4	ELAVL1
Q8IZT6	6	1.0	8.0	2	2	3	4	4	ASPM
Q8NC56	6	1.0	10.0	2	2	2	2	3	LEMD2
Q96KR1	6	1.0	10.5	2	2	3	3	4	ZFR
Q96T37	6	1.0	8.0	2	2	2	2	3	RBM15
Q9C0B5	6	1.0	2.0	2	2	2	3	3	ZDHHC5
Q9H307	6	1.0	2.0	2	2	4	5	5	PNN
Q9P0J7	6	1.0	4.0	3	3	4	5	5	KCMF1
Q9P2J5	6	1.0	113.0	2	2	2	2	2	LARS
Q9UIF9	6	1.0	8.0	2	2	2	3	3	BAZ2A
O15037	6	2.0	21.5	2	2	2	3	3	KHNYN
O15371	6	2.0	3.0	2	3	4	5	5	EIF3D
O43175	6	2.0	11.0	2	2	2	2	4	PHGDH
P49207	6	2.0	12.0	2	2	2	2	4	RPL34
P49411	6	2.0	19.0	2	2	2	2	3	TUFM
P62314	6	2.0	3.0	2	3	4	4	6	SNRPD1
P62318	6	2.0	3.0	2	3	4	4	5	SNRPD3
Q12905	6	2.0	2.5	2	3	4	6	6	ILF2
Q16204	6	2.0	4.0	2	2	2	3	4	CCDC6
Q16630	6	2.0	5.0	2	3	3	4	5	CPSF6
Q16695	6	2.0	10.5	2	2	3	3	5	H3-4
Q58WW2	6	2.0	26.5	2	3	3	3	3	DCAF6
Q5VTE6	6	2.0	7.0	2	2	2	2	3	ANGEL2
Q6PIY7	6	2.0	2.0	2	2	2	4	4	PAPD4
Q86US8	6	2.0	22.0	2	2	2	2	3	SMG6
Q86UW9	6	2.0	4.0	2	2	2	3	5	DTX2
Q8IXQ4	6	2.0	5.0	2	2	2	3	4	KIAA1704
Q8NAF0	6	2.0	3.0	2	2	2	3	3	ZNF579
Q8NFW8	6	2.0	2.0	2	3	4	4	6	CMAS
Q8TB72	6	2.0	8.0	2	2	2	2	3	PUM2
Q96SI9	6	2.0	3.5	2	3	4	4	5	STRBP
Q9H4B6	6	2.0	5.0	2	2	2	3	3	SAV1
Q9NRA8	6	2.0	15.5	2	2	3	3	4	EIF4ENIF1
Q9NZU7	6	2.0	5.0	2	2	2	2	3	CABP1
Q9P258	6	2.0	46.5	2	2	3	3	3	RCC2
Q9P2M7	6	2.0	3.0	2	2	2	2	2	CGN
Q9UPT8	6	2.0	29.5	2	2	2	3	3	ZC3H4
Q9Y3I1	6	2.0	4.0	2	2	3	3	5	FBXO7
Q9Y4F5	6	2.0	5.0	2	2	2	2	2	KIAA0284
A7E2V4	6	3.0	6.0	2	2	2	3	3	KIAA0913
O43824	6	3.0	5.0	2	2	2	3	3	GTPBP6
O95104	6	3.0	24.5	2	2	2	2	3	SCAF4
P11388	6	3.0	142.0	2	2	2	2	2	TOP2A
P48382	6	3.0	11.5	2	2	3	3	5	RFX5
P50548	6	3.0	6.0	2	2	2	3	4	ERF
Q00587	6	3.0	21.0	2	2	2	2	4	CDC42EP1
Q08043	6	3.0	12.0	2	2	2	2	2	ACTN3
Q13838	6	3.0	10.0	2	2	2	2	4	DDX39B
Q16512	6	3.0	5.5	2	2	3	4	4	PKN1
Q2M3G4	6	3.0	7.5	2	2	3	3	5	SHROOM1
Q9H3S7	6	3.0	63.0	2	2	2	2	3	PTPN23
Q9HCE5	6	3.0	4.0	2	2	3	4	6	METTL14
Q9NSV4	6	3.0	56.0	2	2	2	2	3	DIAPH3
Q9NU22	6	3.0	5.0	2	2	2	2	2	MDN1
Q9Y4B5	6	3.0	7.0	2	2	2	3	3	SOGA2
Q9Y5B9	6	3.0	9.5	2	2	3	3	4	SUPT16H
O00512	6	4.0	6.0	1	2	2	2	2	BCL9
P34932	6	4.0	58.5	1	2	2	2	3	HSPA4
P63162	6	4.0	8.0	1	2	2	2	3	SNRPN
P83369	6	4.0	21.0	1	2	3	3	4	LSM11
Q15735	6	4.0	7.0	1	2	2	3	4	INPP5J
Q8WXE0	6	4.0	8.0	1	2	2	3	3	CASKIN2
Q969W3	6	4.0	5.0	1	2	2	2	4	FAM104A
Q96PE2	6	4.0	89.5	1	2	2	2	3	ARHGEF17
O15067	6	5.0	20.0	1	2	2	2	2	PFAS
O75319	6	5.0	14.0	1	2	2	2	2	DUSP11
P07197	6	5.0	12.0	1	2	2	2	4	NEFM
P12532	6	5.0	25.0	1	2	2	2	3	CKMT1B
P46781	6	5.0	28.5	1	2	2	2	3	RPS9
P05023	6	6.0	98.5	1	1	2	2	2	ATP1A1
P27635	6	6.0	8.0	1	1	2	2	3	RPL10
P31948	6	6.0	34.0	1	1	2	2	3	STIP1
P34897	6	6.0	21.0	1	1	2	2	3	SHMT2
P40429	6	6.0	6.0	1	1	2	3	3	RPL13A
Q93079	6	6.0	7.0	1	1	2	4	5	H2BC9
Q9H2P0	6	6.0	10.0	1	1	2	3	3	ADNP
Q9Y6J9	6	6.0	6.0	1	1	2	3	4	TAF6L
O75494	6	7.0	11.0	1	1	2	2	4	FUSIP1
P61313	6	7.0	37.5	1	1	2	2	3	RPL15
Q15293	6	7.0	16.0	1	1	2	2	3	RCN1
