occupancy_k	distance_aa	sites_with_at_least_k_neighbors	sites_total	observed_fraction	permutation
2	6	366	12826	0.02853578668329955	2
2	8	544	12826	0.04241384687353813	2
2	10	724	12826	0.056447840324341185	2
2	15	1108	12826	0.08638702635272104	2
2	20	1494	12826	0.11648214564166537	2
2	30	2102	12826	0.16388585685326681	2
2	40	2648	12826	0.2064556369873694	2
2	50	3112	12826	0.2426321534383284	2
2	75	3978	12826	0.31015125526274756	2
2	100	4664	12826	0.36363636363636365	2
3	1	0	12826	0.0	2
3	2	1	12826	7.79666302822392e-05	2
3	3	6	12826	0.0004677997816934352	2
3	4	22	12826	0.0017152658662092624	2
3	5	50	12826	0.00389833151411196	2
3	6	83	12826	0.0064712303134258535	2
3	8	169	12826	0.013176360517698426	2
3	10	258	12826	0.020115390612817714	2
3	15	489	12826	0.03812568220801497	2
3	20	704	12826	0.0548885077186964	2
3	30	1142	12826	0.08903789178231716	2
3	40	1522	12826	0.11866521128956807	2
3	50	1872	12826	0.14595353188835178	2
3	75	2639	12826	0.20575393731482924	2
3	100	3192	12826	0.24886948386090754	2
4	1	0	12826	0.0	2
4	2	0	12826	0.0	2
4	3	0	12826	0.0	2
4	4	0	12826	0.0	2
4	5	3	12826	0.0002338998908467176	2
4	6	14	12826	0.0010915328239513489	2
4	8	49	12826	0.003820364883829721	2
4	10	104	12826	0.008108529549352877	2
4	15	216	12826	0.016840792140963668	2
4	20	375	12826	0.0292374863558397	2
4	30	647	12826	0.050444409792608766	2
4	40	947	12826	0.07383439887728052	2
4	50	1216	12826	0.09480742242320286	2
4	75	1856	12826	0.14470606580383596	2
4	100	2333	12826	0.18189614844846405	2
5	1	0	12826	0.0	2
5	2	0	12826	0.0	2
5	3	0	12826	0.0	2
5	4	0	12826	0.0	2
5	5	0	12826	0.0	2
5	6	1	12826	7.79666302822392e-05	2
5	8	9	12826	0.0007016996725401528	2
5	10	38	12826	0.0029627319507250895	2
5	15	130	12826	0.010135661936691097	2
5	20	212	12826	0.01652892561983471	2
5	30	424	12826	0.03305785123966942	2
5	40	644	12826	0.05021050990176205	2
5	50	854	12826	0.06658350226103228	2
5	75	1341	12826	0.10455325120848277	2
5	100	1703	12826	0.13277717137065337	2
6	1	0	12826	0.0	2
6	2	0	12826	0.0	2
6	3	0	12826	0.0	2
6	4	0	12826	0.0	2
6	5	0	12826	0.0	2
6	6	0	12826	0.0	2
6	8	1	12826	7.79666302822392e-05	2
6	10	9	12826	0.0007016996725401528	2
6	15	64	12826	0.004989864338063309	2
6	20	120	12826	0.009355995633868705	2
6	30	271	12826	0.021128956806486823	2
6	40	443	12826	0.03453921721503197	2
6	50	623	12826	0.048573210665835025	2
6	75	992	12826	0.07734289723998129	2
6	100	1331	12826	0.10377358490566038	2
7	1	0	12826	0.0	2
7	2	0	12826	0.0	2
7	3	0	12826	0.0	2
7	4	0	12826	0.0	2
7	5	0	12826	0.0	2
7	6	0	12826	0.0	2
7	8	0	12826	0.0	2
7	10	3	12826	0.0002338998908467176	2
7	15	17	12826	0.0013254327147980665	2
7	20	60	12826	0.004677997816934352	2
7	30	173	12826	0.013488227038827382	2
7	40	306	12826	0.023857788866365196	2
7	50	432	12826	0.033681584281927336	2
7	75	766	12826	0.05972243879619523	2
7	100	1056	12826	0.0823327615780446	2
8	1	0	12826	0.0	2
8	2	0	12826	0.0	2
8	3	0	12826	0.0	2
8	4	0	12826	0.0	2
8	5	0	12826	0.0	2
8	6	0	12826	0.0	2
8	8	0	12826	0.0	2
8	10	0	12826	0.0	2
8	15	6	12826	0.0004677997816934352	2
8	20	34	12826	0.002650865429596133	2
8	30	110	12826	0.008576329331046312	2
8	40	238	12826	0.01855605800717293	2
8	50	334	12826	0.026040854514267894	2
8	75	590	12826	0.04600031186652113	2
8	100	824	12826	0.0642445033525651	2
9	1	0	12826	0.0	2
9	2	0	12826	0.0	2
9	3	0	12826	0.0	2
9	4	0	12826	0.0	2
9	5	0	12826	0.0	2
9	6	0	12826	0.0	2
9	8	0	12826	0.0	2
9	10	0	12826	0.0	2
9	15	0	12826	0.0	2
9	20	5	12826	0.000389833151411196	2
9	30	59	12826	0.004600031186652113	2
9	40	169	12826	0.013176360517698426	2
9	50	257	12826	0.020037423982535475	2
9	75	448	12826	0.034929050366443164	2
9	100	653	12826	0.050912209574302196	2
10	1	0	12826	0.0	2
10	2	0	12826	0.0	2
10	3	0	12826	0.0	2
10	4	0	12826	0.0	2
10	5	0	12826	0.0	2
10	6	0	12826	0.0	2
10	8	0	12826	0.0	2
10	10	0	12826	0.0	2
10	15	0	12826	0.0	2
10	20	1	12826	7.79666302822392e-05	2
10	30	41	12826	0.003196631841571807	2
10	40	101	12826	0.007874629658506159	2
10	50	204	12826	0.015905192577576797	2
10	75	342	12826	0.026664587556525808	2
10	100	511	12826	0.03984094807422423	2
1	1	275	12826	0.02144082332761578	3
1	2	690	12826	0.053796974894745046	3
1	3	976	12826	0.07609543115546546	3
1	4	1252	12826	0.09761422111336349	3
1	5	1484	12826	0.11570247933884298	3
1	6	1720	12826	0.13410260408545144	3
1	8	2157	12826	0.16817402151878996	3
1	10	2516	12826	0.19616404179011382	3
1	15	3202	12826	0.24964915016372993	3
1	20	3706	12826	0.2889443318259785	3
1	30	4629	12826	0.36090753157648525	3
1	40	5225	12826	0.4073756432246998	3
1	50	5758	12826	0.44893185716513334	3
1	75	6750	12826	0.5262747544051146	3
1	100	7485	12826	0.5835802276625605	3
2	1	5	12826	0.000389833151411196	3
2	2	45	12826	0.003508498362700764	3
2	3	97	12826	0.007562763137377203	3
2	4	178	12826	0.013878060190238578	3
2	5	259	12826	0.020193357243099952	3
2	6	358	12826	0.027912053641041636	3
2	8	560	12826	0.043661312958053956	3
2	10	735	12826	0.05730547325744581	3
2	15	1184	12826	0.09231249025417121	3
2	20	1540	12826	0.12006861063464837	3
2	30	2134	12826	0.16638078902229847	3
2	40	2665	12826	0.20778106970216748	3
2	50	3126	12826	0.24372368626227975	3
2	75	4062	12826	0.31670045220645565	3
2	100	4681	12826	0.3649617963511617	3
3	1	0	12826	0.0	3
3	2	1	12826	7.79666302822392e-05	3
3	3	6	12826	0.0004677997816934352	3
3	4	30	12826	0.002338998908467176	3
3	5	54	12826	0.004210198035240917	3
3	6	86	12826	0.006705130204272571	3
3	8	171	12826	0.013332293778262904	3
3	10	262	12826	0.02042725713394667	3
3	15	513	12826	0.03999688133478871	3
3	20	705	12826	0.05496647434897864	3
3	30	1141	12826	0.08895992515203494	3
3	40	1532	12826	0.11944487759239046	3
3	50	1868	12826	0.14564166536722284	3
3	75	2642	12826	0.20598783720567598	3
3	100	3189	12826	0.2486355839700608	3
4	1	0	12826	0.0	3
4	2	0	12826	0.0	3
4	3	1	12826	7.79666302822392e-05	3
4	4	4	12826	0.0003118665211289568	3
4	5	8	12826	0.0006237330422579137	3
4	6	20	12826	0.001559332605644784	3
4	8	57	12826	0.004444097926087635	3
4	10	108	12826	0.008420396070481834	3
4	15	255	12826	0.019881490721970995	3
4	20	418	12826	0.032590051457975985	3
4	30	707	12826	0.055122407609543116	3
4	40	967	12826	0.0753937314829253	3
4	50	1234	12826	0.09621082176828318	3
4	75	1850	12826	0.14423826602214251	3
4	100	2309	12826	0.1800249493216903	3
5	1	0	12826	0.0	3
5	2	0	12826	0.0	3
5	3	0	12826	0.0	3
5	4	0	12826	0.0	3
5	5	1	12826	7.79666302822392e-05	3
5	6	5	12826	0.000389833151411196	3
5	8	12	12826	0.0009355995633868704	3
5	10	31	12826	0.0024169655387494154	3
5	15	124	12826	0.009667862154997662	3
5	20	219	12826	0.017074692031810387	3
5	30	453	12826	0.03531888351785436	3
5	40	689	12826	0.05371900826446281	3
5	50	886	12826	0.06907843443006394	3
5	75	1346	12826	0.10494308435989397	3
5	100	1733	12826	0.13511617027912054	3
6	1	0	12826	0.0	3
6	2	0	12826	0.0	3
6	3	0	12826	0.0	3
6	4	0	12826	0.0	3
6	5	0	12826	0.0	3
6	6	1	12826	7.79666302822392e-05	3
6	8	3	12826	0.0002338998908467176	3
6	10	10	12826	0.000779666302822392	3
6	15	55	12826	0.004288164665523156	3
6	20	118	12826	0.009200062373304226	3
6	30	294	12826	0.022922189302978326	3
6	40	477	12826	0.0371900826446281	3
6	50	655	12826	0.05106814283486668	3
6	75	1041	12826	0.081163262123811	3
6	100	1358	12826	0.10587868392328084	3
7	1	0	12826	0.0	3
7	2	0	12826	0.0	3
7	3	0	12826	0.0	3
7	4	0	12826	0.0	3
7	5	0	12826	0.0	3
7	6	0	12826	0.0	3
7	8	2	12826	0.0001559332605644784	3
7	10	5	12826	0.000389833151411196	3
7	15	12	12826	0.0009355995633868704	3
7	20	52	12826	0.004054264774676439	3
7	30	171	12826	0.013332293778262904	3
7	40	307	12826	0.023935755496647435	3
7	50	495	12826	0.038593481989708404	3
7	75	820	12826	0.06393263683143614	3
7	100	1109	12826	0.08646499298300328	3
8	1	0	12826	0.0	3
8	2	0	12826	0.0	3
8	3	0	12826	0.0	3
8	4	0	12826	0.0	3
8	5	0	12826	0.0	3
8	6	0	12826	0.0	3
8	8	0	12826	0.0	3
8	10	1	12826	7.79666302822392e-05	3
8	15	9	12826	0.0007016996725401528	3
8	20	28	12826	0.0021830656479026977	3
8	30	117	12826	0.009122095743021986	3
8	40	227	12826	0.0176984250740683	3
8	50	351	12826	0.02736628722906596	3
8	75	649	12826	0.05060034305317324	3
8	100	890	12826	0.06939030095119289	3
9	1	0	12826	0.0	3
9	2	0	12826	0.0	3
9	3	0	12826	0.0	3
9	4	0	12826	0.0	3
9	5	0	12826	0.0	3
9	6	0	12826	0.0	3
9	8	0	12826	0.0	3
9	10	0	12826	0.0	3
9	15	0	12826	0.0	3
9	20	3	12826	0.0002338998908467176	3
9	30	68	12826	0.005301730859192266	3
9	40	170	12826	0.013254327147980664	3
9	50	241	12826	0.018789957898019648	3
9	75	497	12826	0.03874941525027288	3
9	100	712	12826	0.05551224076095431	3
10	1	0	12826	0.0	3
10	2	0	12826	0.0	3
10	3	0	12826	0.0	3
10	4	0	12826	0.0	3
10	5	0	12826	0.0	3
10	6	0	12826	0.0	3
10	8	0	12826	0.0	3
10	10	0	12826	0.0	3
10	15	0	12826	0.0	3
10	20	2	12826	0.0001559332605644784	3
10	30	34	12826	0.002650865429596133	3
10	40	118	12826	0.009200062373304226	3
10	50	193	12826	0.015047559644472165	3
10	75	388	12826	0.03025105254950881	3
10	100	566	12826	0.044129112739747386	3
1	1	229	12826	0.017854358334632777	4
1	2	610	12826	0.047559644472165916	4
1	3	871	12826	0.06790893497583035	4
1	4	1119	12826	0.08724465928582567	4
1	5	1366	12826	0.10650241696553875	4
1	6	1598	12826	0.12459067519101824	4
1	8	2054	12826	0.16014345859971932	4
1	10	2405	12826	0.18750974582878527	4
1	15	3127	12826	0.24380165289256198	4
1	20	3655	12826	0.2849680336815843	4
1	30	4583	12826	0.35732106658350227	4
1	40	5227	12826	0.4075315764852643	4
1	50	5730	12826	0.4467487915172306	4
1	75	6728	12826	0.5245594885389053	4
1	100	7451	12826	0.5809293622329643	4
2	1	7	12826	0.0005457664119756744	4
2	2	40	12826	0.003118665211289568	4
2	3	81	12826	0.006315297052861375	4
2	4	159	12826	0.012396694214876033	4
2	5	229	12826	0.017854358334632777	4
2	6	331	12826	0.025806954623421176	4
2	8	540	12826	0.04210198035240917	4
2	10	707	12826	0.055122407609543116	4
2	15	1108	12826	0.08638702635272104	4
2	20	1472	12826	0.1147668797754561	4
2	30	2108	12826	0.16435365663496024	4
2	40	2621	12826	0.20435053796974895	4
2	50	3063	12826	0.23881178855449867	4
2	75	3963	12826	0.30898175580851395	4
2	100	4646	12826	0.3622329642912833	4
3	1	0	12826	0.0	4
3	2	6	12826	0.0004677997816934352	4
3	3	16	12826	0.0012474660845158273	4
3	4	37	12826	0.0028847653204428503	4
3	5	52	12826	0.004054264774676439	4
3	6	81	12826	0.006315297052861375	4
3	8	176	12826	0.0137221269296741	4
3	10	270	12826	0.021050990176204584	4
3	15	505	12826	0.039373148292530795	4
3	20	745	12826	0.05808513956026821	4
3	30	1149	12826	0.08958365819429284	4
3	40	1514	12826	0.11804147824731015	4
3	50	1869	12826	0.14571963199750507	4
3	75	2619	12826	0.20419460470918446	4
3	100	3185	12826	0.24832371744893186	4
4	1	0	12826	0.0	4
4	2	0	12826	0.0	4
4	3	2	12826	0.0001559332605644784	4
4	4	5	12826	0.000389833151411196	4
4	5	10	12826	0.000779666302822392	4
4	6	22	12826	0.0017152658662092624	4
4	8	56	12826	0.0043661312958053955	4
4	10	99	12826	0.007718696397941681	4
4	15	245	12826	0.019101824419148605	4
4	20	403	12826	0.0314205520037424	4
4	30	654	12826	0.05099017620458444	4
4	40	971	12826	0.07570559800405427	4
4	50	1248	12826	0.09730235459223452	4
4	75	1899	12826	0.14805863090597224	4
4	100	2337	12826	0.18220801496959302	4
5	1	0	12826	0.0	4
5	2	0	12826	0.0	4
5	3	0	12826	0.0	4
5	4	0	12826	0.0	4
5	5	1	12826	7.79666302822392e-05	4
5	6	6	12826	0.0004677997816934352	4
5	8	16	12826	0.0012474660845158273	4
5	10	33	12826	0.002572898799313894	4
5	15	116	12826	0.009044129112739748	4
5	20	219	12826	0.017074692031810387	4
5	30	448	12826	0.034929050366443164	4
5	40	672	12826	0.05239357554966474	4
5	50	896	12826	0.06985810073288633	4
5	75	1380	12826	0.10759394978949009	4
5	100	1769	12826	0.13792296896928113	4
6	1	0	12826	0.0	4
6	2	0	12826	0.0	4
6	3	0	12826	0.0	4
6	4	0	12826	0.0	4
6	5	0	12826	0.0	4
6	6	0	12826	0.0	4
6	8	2	12826	0.0001559332605644784	4
6	10	11	12826	0.0008576329331046312	4
6	15	46	12826	0.0035864649929830033	4
6	20	110	12826	0.008576329331046312	4
6	30	292	12826	0.022766256042413845	4
6	40	448	12826	0.034929050366443164	4
6	50	622	12826	0.04849524403555278	4
6	75	1071	12826	0.08350226103227819	4
6	100	1409	12826	0.10985498206767504	4
7	1	0	12826	0.0	4
7	2	0	12826	0.0	4
7	3	0	12826	0.0	4
7	4	0	12826	0.0	4
7	5	0	12826	0.0	4
7	6	0	12826	0.0	4
7	8	0	12826	0.0	4
7	10	3	12826	0.0002338998908467176	4
7	15	18	12826	0.0014033993450803055	4
7	20	58	12826	0.004522064556369874	4
7	30	183	12826	0.014267893341649775	4
7	40	324	12826	0.0252611882114455	4
7	50	453	12826	0.03531888351785436	4
7	75	813	12826	0.06338687041946046	4
7	100	1115	12826	0.0869327927646967	4
8	1	0	12826	0.0	4
8	2	0	12826	0.0	4
8	3	0	12826	0.0	4
8	4	0	12826	0.0	4
8	5	0	12826	0.0	4
8	6	0	12826	0.0	4
8	8	0	12826	0.0	4
8	10	0	12826	0.0	4
8	15	7	12826	0.0005457664119756744	4
8	20	27	12826	0.0021050990176204585	4
8	30	121	12826	0.009433962264150943	4
8	40	232	12826	0.018088258225479496	4
8	50	345	12826	0.026898487447372523	4
8	75	603	12826	0.04701387806019024	4
8	100	876	12826	0.06829876812724155	4
9	1	0	12826	0.0	4
9	2	0	12826	0.0	4
9	3	0	12826	0.0	4
9	4	0	12826	0.0	4
9	5	0	12826	0.0	4
9	6	0	12826	0.0	4
9	8	0	12826	0.0	4
9	10	0	12826	0.0	4
9	15	0	12826	0.0	4
9	20	8	12826	0.0006237330422579137	4
9	30	71	12826	0.005535630750038983	4
9	40	168	12826	0.013098393887416186	4
9	50	263	12826	0.02050522376422891	4
9	75	434	12826	0.03383751754249181	4
9	100	681	12826	0.0530952752222049	4
10	1	0	12826	0.0	4
10	2	0	12826	0.0	4
10	3	0	12826	0.0	4
10	4	0	12826	0.0	4
10	5	0	12826	0.0	4
10	6	0	12826	0.0	4
10	8	0	12826	0.0	4
10	10	0	12826	0.0	4
10	15	0	12826	0.0	4
10	20	1	12826	7.79666302822392e-05	4
10	30	36	12826	0.002806798690160611	4
10	40	119	12826	0.009278029003586465	4
10	50	199	12826	0.0155153594261656	4
10	75	345	12826	0.026898487447372523	4
10	100	534	12826	0.04163418057071573	4
1	1	272	12826	0.021206923436769064	5
1	2	691	12826	0.05387494152502729	5
1	3	956	12826	0.07453609854982067	5
1	4	1202	12826	0.09371588959925152	5
1	5	1468	12826	0.11445501325432715	5
1	6	1695	12826	0.13215343832839543	5
1	8	2119	12826	0.16521128956806486	5
1	10	2491	12826	0.19421487603305784	5
1	15	3206	12826	0.24996101668485887	5
1	20	3780	12826	0.2947138624668642	5
1	30	4617	12826	0.3599719320130984	5
1	40	5229	12826	0.4076875097458288	5
1	50	5755	12826	0.44869795727428663	5
1	75	6743	12826	0.5257289879931389	5
1	100	7414	12826	0.5780445969125214	5
2	1	2	12826	0.0001559332605644784	5
2	2	30	12826	0.002338998908467176	5
2	3	78	12826	0.0060813971620146574	5
2	4	161	12826	0.012552627475440512	5
2	5	246	12826	0.019179791049430843	5
2	6	346	12826	0.026976454077654765	5
2	8	571	12826	0.04451894589115858	5
2	10	757	12826	0.059020739123655075	5
2	15	1180	12826	0.09200062373304226	5
2	20	1498	12826	0.11679401216279432	5
2	30	2106	12826	0.16419772337439575	5
2	40	2617	12826	0.20403867144861998	5
2	50	3083	12826	0.24037112116014345	5
2	75	3927	12826	0.30617495711835335	5
2	100	4607	12826	0.359192265710276	5
3	1	0	12826	0.0	5
3	2	1	12826	7.79666302822392e-05	5
3	3	4	12826	0.0003118665211289568	5
3	4	17	12826	0.0013254327147980665	5
3	5	40	12826	0.003118665211289568	5
3	6	71	12826	0.005535630750038983	5
3	8	150	12826	0.01169499454233588	5
3	10	246	12826	0.019179791049430843	5
3	15	529	12826	0.041244347419304536	5
3	20	748	12826	0.058319039451114926	5
3	30	1182	12826	0.09215655699360674	5
3	40	1525	12826	0.11889911118041478	5
3	50	1881	12826	0.14665523156089194	5
3	75	2604	12826	0.20302510525495088	5
3	100	3166	12826	0.2468423514735693	5
4	1	0	12826	0.0	5
4	2	0	12826	0.0	5
4	3	0	12826	0.0	5
4	4	0	12826	0.0	5
4	5	4	12826	0.0003118665211289568	5
4	6	15	12826	0.001169499454233588	5
4	8	40	12826	0.003118665211289568	5
4	10	81	12826	0.006315297052861375	5
4	15	256	12826	0.019959457352253237	5
4	20	431	12826	0.033603617651645094	5
4	30	711	12826	0.05543427413067207	5
4	40	967	12826	0.0753937314829253	5
4	50	1210	12826	0.09433962264150944	5
4	75	1808	12826	0.14096366755028847	5
4	100	2298	12826	0.17916731638858568	5
5	1	0	12826	0.0	5
5	2	0	12826	0.0	5
5	3	0	12826	0.0	5
5	4	0	12826	0.0	5
5	5	0	12826	0.0	5
5	6	3	12826	0.0002338998908467176	5
5	8	14	12826	0.0010915328239513489	5
5	10	31	12826	0.0024169655387494154	5
5	15	115	12826	0.008966162482457508	5
5	20	235	12826	0.01832215811632621	5
5	30	475	12826	0.037034149384063624	5
5	40	661	12826	0.05153594261656011	5
5	50	842	12826	0.06564790269764541	5
5	75	1293	12826	0.10081085295493529	5
5	100	1677	12826	0.13075003898331514	5
6	1	0	12826	0.0	5
6	2	0	12826	0.0	5
6	3	0	12826	0.0	5
6	4	0	12826	0.0	5
6	5	0	12826	0.0	5
6	6	0	12826	0.0	5
6	8	2	12826	0.0001559332605644784	5
6	10	11	12826	0.0008576329331046312	5
6	15	50	12826	0.00389833151411196	5
6	20	137	12826	0.01068142834866677	5
6	30	312	12826	0.02432558864805863	5
6	40	469	12826	0.036566349602370186	5
6	50	613	12826	0.04779354436301263	5
6	75	986	12826	0.07687509745828786	5
6	100	1314	12826	0.10244815219086231	5
7	1	0	12826	0.0	5
7	2	0	12826	0.0	5
7	3	0	12826	0.0	5
7	4	0	12826	0.0	5
7	5	0	12826	0.0	5
7	6	0	12826	0.0	5
7	8	0	12826	0.0	5
7	10	3	12826	0.0002338998908467176	5
7	15	18	12826	0.0014033993450803055	5
7	20	57	12826	0.004444097926087635	5
7	30	213	12826	0.01660689225011695	5
7	40	355	12826	0.027678153750194917	5
7	50	481	12826	0.037501949165757054	5
7	75	780	12826	0.060813971620146574	5
7	100	1061	12826	0.0827225947294558	5
8	1	0	12826	0.0	5
8	2	0	12826	0.0	5
8	3	0	12826	0.0	5
8	4	0	12826	0.0	5
8	5	0	12826	0.0	5
8	6	0	12826	0.0	5
8	8	0	12826	0.0	5
8	10	0	12826	0.0	5
8	15	0	12826	0.0	5
8	20	16	12826	0.0012474660845158273	5
8	30	116	12826	0.009044129112739748	5
8	40	259	12826	0.020193357243099952	5
8	50	365	12826	0.028457820053017308	5
8	75	601	12826	0.04685794479962576	5
8	100	820	12826	0.06393263683143614	5
9	1	0	12826	0.0	5
9	2	0	12826	0.0	5
9	3	0	12826	0.0	5
9	4	0	12826	0.0	5
9	5	0	12826	0.0	5
9	6	0	12826	0.0	5
9	8	0	12826	0.0	5
9	10	0	12826	0.0	5
9	15	0	12826	0.0	5
9	20	6	12826	0.0004677997816934352	5
9	30	61	12826	0.0047559644472165916	5
9	40	175	12826	0.013644160299391861	5
9	50	276	12826	0.02151878995789802	5
9	75	479	12826	0.03734601590519258	5
9	100	681	12826	0.0530952752222049	5
10	1	0	12826	0.0	5
10	2	0	12826	0.0	5
10	3	0	12826	0.0	5
10	4	0	12826	0.0	5
