window_aa	methyl_site_count	protein_arg_count	observed_max_methyl_sites	null_mean_max_sites	null_q025_max_sites	null_q975_max_sites	observed_over_null_mean	log2_observed_over_null_mean	empirical_p_greater	best_window_start	best_window_end	best_window_arg_count	best_window_methyl_fraction_of_args	best_window_methyl_positions	canonical_UniProtAC	gene	q_value	max_log2_enrichment_for_protein
5	3	24	3	1.091	1.0	2.0	2.749770852428964	1.459311399059636	0.000999000999000999	109	113	3	1.0	109,111,113	Q01094	E2F1	0.035464535464535464	1.459311399059636
20	7	71	5	1.819	1.0	3.0	2.748763056624519	1.4587825518979631	0.000999000999000999	138	155	6	0.8333333333333334	138,145,149,153,155	Q659C4	LARP1B	0.035464535464535464	1.4587825518979631
20	6	23	6	2.183	1.0	4.0	2.7485112230874944	1.4586503703924523	0.000999000999000999	5	24	6	1.0	5,7,9,12,16,24	Q12905	ILF2	0.035464535464535464	1.4586503703924523
20	6	77	5	1.82	1.0	3.0	2.7472527472527473	1.4579896444633909	0.000999000999000999	43	63	5	1.0	43,54,56,62,63	Q9H307	PNN	0.035464535464535464	1.4579896444633909
15	3	68	3	1.092	1.0	2.0	2.7472527472527473	1.4579896444633909	0.000999000999000999	1313	1326	3	1.0	1313,1318,1326	O75882	ATRN	0.035464535464535464	1.4579896444633909
50	14	65	9	3.28	2.0	5.0	2.7439024390243905	1.4562291865989534	0.000999000999000999	964	1006	9	1.0	964,967,982,984,986,995,999,1002,1006	Q9NZB2	FAM120A	0.035464535464535464	1.4562291865989534
100	17	64	12	4.381	3.0	7.0	2.7391006619493266	1.4537022860602926	0.000999000999000999	1162	1261	13	0.9230769230769231	1162,1169,1173,1177,1190,1196,1203,1221,1240,1248,1250,1261	Q15596	NCOA2	0.035464535464535464	1.4537022860602926
100	20	250	8	2.921	2.0	4.0	2.738788086271825	1.4535376418329085	0.000999000999000999	2211	2289	9	0.8888888888888888	2211,2226,2228,2235,2240,2267,2277,2289	Q8NEZ4	MLL3	0.035464535464535464	1.4535376418329085
100	12	68	10	3.657	3.0	5.0	2.7344818156959256	1.451267468208081	0.000999000999000999	1038	1127	12	0.8333333333333334	1038,1044,1053,1059,1073,1084,1102,1103,1119,1127	Q5T0Z8	C6orf132	0.035464535464535464	1.451267468208081
15	7	30	6	2.195	1.0	3.0	2.7334851936218683	1.450741560960523	0.000999000999000999	29	43	6	1.0	29,35,37,38,41,43	Q96LA8	PRMT6	0.035464535464535464	1.450741560960523
20	3	65	3	1.098	1.0	2.0	2.73224043715847	1.4500844463780445	0.000999000999000999	243	259	3	1.0	243,252,259	O95835	LATS1	0.035464535464535464	1.4500844463780445
100	17	166	9	3.318	2.0	5.0	2.7124773960216997	1.439611115148536	0.000999000999000999	1616	1716	9	1.0	1616,1625,1639,1653,1671,1682,1706,1711,1716	Q9Y618	NCOR2	0.035464535464535464	1.439611115148536
75	5	136	4	1.477	1.0	3.0	2.708192281651997	1.4373301738972977	0.000999000999000999	1761	1818	6	0.6666666666666666	1761,1775,1786,1818	Q8IWI9	MGA	0.035464535464535464	1.4373301738972977
50	8	47	7	2.588	2.0	4.0	2.7047913446676968	1.4355173047271834	0.000999000999000999	670	709	9	0.7777777777777778	670,672,683,693,695,707,709	Q9NYL2	MAP3K20	0.035464535464535464	1.4355173047271834
100	19	74	13	4.819	3.0	7.0	2.6976551151691224	1.43170591706319	0.000999000999000999	1154	1253	13	1.0	1154,1160,1166,1174,1175,1207,1219,1223,1227,1235,1242,1249,1253	Q08211	DHX9	0.035464535464535464	1.43170591706319
20	6	42	5	1.857	1.0	3.0	2.6925148088314486	1.4289542796140287	0.000999000999000999	87	103	5	1.0	87,95,97,99,103	O15371	EIF3D	0.035464535464535464	1.4289542796140287
10	4	69	3	1.12	1.0	2.0	2.6785714285714284	1.4214637684382767	0.000999000999000999	204	214	3	1.0	204,212,214	Q8IX01	SUGP2	0.035464535464535464	1.4214637684382767
10	3	26	3	1.121	1.0	2.0	2.6761819803746656	1.4201762225778165	0.000999000999000999	7	17	3	1.0	7,15,17	Q96C92	SDCCAG3	0.035464535464535464	1.4201762225778165
5	4	40	3	1.125	1.0	2.0	2.6666666666666665	1.4150374992788437	0.000999000999000999	357	359	3	1.0	357,358,359	Q6P6C2	ALKBH5	0.035464535464535464	1.4150374992788437
75	5	88	5	1.876	1.0	3.0	2.6652452025586357	1.414268267034073	0.000999000999000999	1231	1283	11	0.45454545454545453	1231,1243,1245,1280,1283	P19174	PLCG1	0.035464535464535464	1.414268267034073
5	3	18	3	1.126	1.0	2.0	2.664298401420959	1.4137556733030137	0.000999000999000999	197	201	3	1.0	197,199,201	O43347	MSI1	0.035464535464535464	1.4137556733030137
20	3	47	3	1.138	1.0	2.0	2.6362038664323375	1.3984619430766614	0.000999000999000999	612	631	3	1.0	612,617,631	P22681	CBL	0.035464535464535464	1.3984619430766614
15	7	58	4	1.526	1.0	3.0	2.621231979030144	1.3902450378275564	0.000999000999000999	1308	1323	4	1.0	1308,1317,1322,1323	Q96PC5	CTAGE5	0.035464535464535464	1.3902450378275564
15	8	280	4	1.529	1.0	3.0	2.616088947024199	1.3874115933012825	0.000999000999000999	607	618	4	1.0	607,611,614,618	Q5T200	ZC3H13	0.035464535464535464	1.3874115933012825
50	22	164	9	3.459	2.0	5.0	2.6019080659150045	1.3795699877314713	0.000999000999000999	1065	1113	11	0.8181818181818182	1065,1067,1069,1077,1079,1097,1108,1110,1113	Q5JSZ5	PRRC2B	0.035464535464535464	1.3795699877314713
10	5	28	4	1.542	1.0	3.0	2.594033722438392	1.375197234747053	0.000999000999000999	500	510	4	1.0	500,504,507,510	Q9BZZ5	API5	0.035464535464535464	1.375197234747053
75	4	84	4	1.545	1.0	3.0	2.5889967637540456	1.3723931618703502	0.000999000999000999	950	1006	7	0.5714285714285714	950,972,977,1006	Q9NRJ4	TULP4	0.035464535464535464	1.3723931618703502
100	17	92	11	4.294	3.0	7.0	2.56171401956218	1.3571094274406112	0.000999000999000999	1719	1808	15	0.7333333333333333	1719,1723,1734,1741,1749,1773,1775,1793,1803,1805,1808	Q69YN4	VIRMA	0.035464535464535464	1.3571094274406112
15	7	61	4	1.571	1.0	2.0249999999999773	2.5461489497135585	1.348316819367891	0.000999000999000999	849	862	4	1.0	849,850,857,862	P50570	DNM3	0.035464535464535464	1.348316819367891
50	12	83	7	2.792	2.0	4.0	2.507163323782235	1.326055980510039	0.000999000999000999	334	375	12	0.5833333333333334	334,340,344,346,348,366,375	Q6PKG0	LARP1	0.035464535464535464	1.326055980510039
15	7	80	5	2.003	1.0	3.0	2.4962556165751373	1.3197656737367418	0.000999000999000999	855	870	5	1.0	855,857,862,864,870	Q5T8P6	RBM26	0.035464535464535464	1.3197656737367418
50	4	60	4	1.618	1.0	3.0	2.472187886279357	1.3057883922321094	0.000999000999000999	584	628	7	0.5714285714285714	584,589,594,628	Q7KZI7	MARK2	0.035464535464535464	1.3646325458416007
50	8	69	6	2.429	2.0	4.0	2.470152326060107	1.3046000107473783	0.000999000999000999	13	48	6	1.0	13,20,28,30,41,48	O14776	TCERG1	0.035464535464535464	1.3046000107473783
100	21	72	14	5.711	4.0	8.0	2.451409560497286	1.2936115374633437	0.000999000999000999	847	946	14	1.0	847,851,864,870,880,883,895,921,922,925,928,933,936,946	Q9H0D6	XRN2	0.035464535464535464	1.2936115374633437
20	4	25	4	1.635	1.0	3.0	2.4464831804281344	1.290709364276642	0.000999000999000999	5	22	4	1.0	5,8,18,22	Q8IVB5	LIX1L	0.035464535464535464	1.290709364276642
50	19	141	7	2.879	2.0	4.0	2.4313997915943037	1.2817871331562567	0.000999000999000999	2327	2359	8	0.875	2327,2333,2337,2343,2345,2354,2359	P12270	TPR	0.035464535464535464	1.2817871331562567
100	7	80	6	2.473	2.0	4.0	2.426202992317024	1.2787002609933056	0.000999000999000999	1078	1156	7	0.8571428571428571	1078,1080,1086,1096,1142,1156	O15357	INPPL1	0.035464535464535464	1.3309732344903693
20	7	65	4	1.652	1.0	3.0	2.4213075060532687	1.2757863132426417	0.000999000999000999	34	52	4	1.0	34,47,50,52	Q9H2U1	DHX36	0.035464535464535464	1.2757863132426417
30	4	46	4	1.652	1.0	3.0	2.4213075060532687	1.2757863132426417	0.000999000999000999	283	307	5	0.8	283,286,306,307	Q96F44	TRIM11	0.035464535464535464	1.2757863132426417
100	9	51	7	2.901	2.0	4.0	2.4129610479145125	1.270804626521694	0.000999000999000999	515	604	8	0.875	515,535,555,577,591,598,604	Q9UPN9	TRIM33	0.035464535464535464	1.270804626521694
20	8	37	5	2.075	1.0	3.0	2.4096385542168672	1.2688167584277998	0.000999000999000999	124	144	5	1.0	124,127,138,139,144	Q9Y285	FARSA	0.035464535464535464	1.2688167584277998
50	12	62	10	4.152	3.0	6.0	2.4084778420038533	1.2681216511915685	0.000999000999000999	94	135	10	1.0	94,102,107,110,121,128,130,131,133,135	Q9Y3X0	CCDC9	0.035464535464535464	1.2681216511915685
50	8	34	7	2.913	2.0	4.0	2.403020940611054	1.264849220579343	0.000999000999000999	379	410	7	1.0	379,381,383,389,394,405,410	A0AV96	RBM47	0.035464535464535464	1.264849220579343
30	5	17	5	2.104	1.0	3.0	2.376425855513308	1.248793390257147	0.000999000999000999	390	419	6	0.8333333333333334	390,398,409,415,419	Q15427	SF3B4	0.035464535464535464	1.248793390257147
75	10	29	10	4.211	3.0	6.0	2.3747328425552126	1.2477652193803555	0.000999000999000999	7	80	10	1.0	7,13,15,17,21,40,42,60,63,80	Q9H074	PAIP1	0.035464535464535464	1.2477652193803555
100	18	146	8	3.371	2.0	5.0	2.373183031741323	1.2468233726778768	0.000999000999000999	5	92	13	0.6153846153846154	5,7,40,42,63,68,74,92	Q12830	BPTF	0.035464535464535464	1.2468233726778768
100	7	123	5	2.109	1.0	3.0	2.370791844476055	1.245368999755758	0.000999000999000999	1700	1781	9	0.5555555555555556	1700,1706,1710,1770,1781	Q9HCD6	TANC2	0.035464535464535464	1.3219280948873624
50	6	43	6	2.541	2.0	4.0	2.3612750885478158	1.2395661253298884	0.000999000999000999	414	445	10	0.6	414,418,431,435,442,445	Q9HCE5	METTL14	0.035464535464535464	1.2395661253298884
20	5	33	4	1.695	1.0	3.0	2.359882005899705	1.238714726638381	0.000999000999000999	9	26	4	1.0	9,18,25,26	Q9C073	FAM117A	0.035464535464535464	1.238714726638381
50	6	29	6	2.559	2.0	4.0	2.3446658851113713	1.2293823533437966	0.000999000999000999	16	52	8	0.75	16,18,21,23,37,52	Q8NFW8	CMAS	0.035464535464535464	1.2714263974406352
75	6	29	6	2.565	2.0	4.0	2.3391812865497075	1.2260036748888268	0.000999000999000999	213	281	6	1.0	213,215,233,256,260,281	Q86UW9	DTX2	0.035464535464535464	1.2260036748888268
30	11	102	6	2.567	1.0	4.0	2.337358784573432	1.224879204807825	0.000999000999000999	26	54	6	1.0	26,33,41,47,49,54	Q14966	ZNF638	0.035464535464535464	1.224879204807825
100	19	172	8	3.434	2.0	5.0	2.3296447291788	1.2201099606599528	0.000999000999000999	1552	1650	9	0.8888888888888888	1552,1561,1576,1589,1628,1633,1638,1650	O75376	NCOR1	0.035464535464535464	1.2201099606599528
30	5	30	5	2.152	1.0	4.0	2.323420074349442	1.2162500169928252	0.000999000999000999	149	177	6	0.8333333333333334	149,166,169,173,177	Q5T6F2	UBAP2	0.035464535464535464	1.2162500169928252
100	7	61	7	3.038	2.0	5.0	2.3041474654377883	1.204233052217608	0.000999000999000999	431	525	8	0.875	431,466,481,484,498,510,525	Q8TDC3	BRSK1	0.035464535464535464	1.204233052217608
75	6	48	5	2.174	1.0	3.0	2.2999080036798527	1.2015761545221402	0.000999000999000999	9	61	8	0.625	9,17,30,54,61	Q8WUM0	NUP133	0.035464535464535464	1.2015761545221402
50	6	33	5	2.176	1.0	3.0	2.297794117647059	1.20024953829911	0.000999000999000999	608	652	5	1.0	608,610,612,617,652	Q96SI9	STRBP	0.035464535464535464	1.4064071941354037
75	6	42	6	2.618	2.0	4.0	2.291825821237586	1.1964974034380025	0.000999000999000999	302	370	7	0.8571428571428571	302,328,335,338,354,370	P48382	RFX5	0.035464535464535464	1.1964974034380025
75	7	26	7	3.086	2.0	5.0	2.268308489954634	1.1816168601489563	0.000999000999000999	103	168	8	0.875	103,117,137,156,158,165,168	Q9NR12	PDLIM7	0.035464535464535464	1.1816168601489563
50	8	43	6	2.679	2.0	4.0	2.239641657334827	1.1632679195408644	0.000999000999000999	426	475	8	0.75	426,430,437,461,469,475	Q9H361	PABPC3	0.035464535464535464	1.1632679195408644
100	9	117	7	3.126	2.0	5.0	2.239283429302623	1.1630371437200266	0.000999000999000999	166	260	20	0.35	166,176,178,188,238,258,260	P78332	RBM6	0.035464535464535464	1.1630371437200266
75	5	35	5	2.249	1.0	3.0	2.223210315695865	1.1526444337716326	0.000999000999000999	570	634	8	0.625	570,571,602,615,634	Q5PRF9	SAMD4B	0.035464535464535464	1.1526444337716326
30	5	16	5	2.25	1.0	3.0	2.2222222222222223	1.15200309344505	0.000999000999000999	204	231	5	1.0	204,205,214,219,231	Q92530	PSMF1	0.035464535464535464	1.15200309344505
30	6	34	5	2.271	1.0	3.0	2.2016732716864817	1.1386003888425615	0.000999000999000999	479	508	5	1.0	479,481,498,504,508	Q9Y3I1	FBXO7	0.035464535464535464	1.1386003888425615
20	10	56	7	3.198	2.0	5.0	2.188868042526579	1.1301849832393591	0.000999000999000999	73	93	9	0.7777777777777778	73,75,80,82,88,92,93	Q13243	SRSF5	0.035464535464535464	1.1301849832393591
75	8	59	6	2.753	2.0	4.0	2.179440610243371	1.1239578907876822	0.000999000999000999	144	210	6	1.0	144,147,150,178,179,210	Q9Y2L1	DIS3	0.035464535464535464	1.1239578907876822
100	6	39	5	2.313	2.0	4.0	2.1616947686986596	1.1121628289132588	0.000999000999000999	286	385	6	0.8333333333333334	286,296,306,348,385	Q9H2P0	ADNP	0.035464535464535464	1.1161185577465185
30	8	32	5	2.344	2.0	3.0	2.1331058020477816	1.0929555251272014	0.000999000999000999	18	47	5	1.0	18,23,32,40,47	P05787	KRT8	0.035464535464535464	1.0929555251272014
75	6	105	4	1.879	1.0	3.0	2.12879191059074	1.0900349332420316	0.000999000999000999	1120	1175	7	0.5714285714285714	1120,1162,1165,1175	A7E2V4	KIAA0913	0.035464535464535464	1.2458251158015707
20	16	49	6	2.889	2.0	4.0	2.0768431983385254	1.0543922968186277	0.000999000999000999	355	373	6	1.0	355,357,361,365,370,373	Q8WWM7	ATXN2L	0.035464535464535464	1.0543922968186277
100	15	113	8	3.885	3.0	6.0	2.0592020592020592	1.0420854013670147	0.000999000999000999	730	824	17	0.47058823529411764	730,747,754,785,787,795,808,824	Q9C0C7	AMBRA1	0.035464535464535464	1.0420854013670147
100	11	71	7	3.408	2.0	5.0	2.0539906103286385	1.0384295864938529	0.000999000999000999	26	121	12	0.5833333333333334	26,74,84,91,95,114,121	P55265	ADAR	0.035464535464535464	1.168663195241277
75	21	60	15	7.316	5.0	10.0	2.0503007107709132	1.0358355205218892	0.000999000999000999	665	738	16	0.9375	665,666,671,684,688,693,695,700,704,712,716,720,733,735,738	Q1KMD3	HNRNPUL2	0.035464535464535464	1.0358355205218892
100	20	66	13	6.351	5.0	8.0	2.0469217446071486	1.0334559480744339	0.000999000999000999	592	690	16	0.8125	592,612,618,620,628,632,639,645,656,661,671,685,690	Q9BUJ2	HNRNPUL1	0.035464535464535464	1.0334559480744339
100	25	159	18	8.794	6.0	12.0	2.0468501250852853	1.0334054688917522	0.000999000999000999	922	1022	19	0.9473684210526315	922,929,936,943,950,957,964,968,971,975,978,982,985,989,997,1007,1015,1022	P18583	SON	0.035464535464535464	1.0334054688917522
30	9	41	6	2.981	2.0	4.0	2.012747400201275	1.0091661253920745	0.000999000999000999	71	100	7	0.8571428571428571	71,75,80,86,97,100	P36578	RPL4	0.035464535464535464	1.0091661253920745
100	29	225	14	6.989	5.0	9.0	2.0031478036915153	1.0022688753621576	0.000999000999000999	1040	1137	27	0.5185185185185185	1040,1046,1057,1071,1081,1087,1091,1097,1101,1107,1111,1117,1127,1137	Q14152	EIF3A	0.035464535464535464	1.0022688753621576
50	35	177	11	5.516	4.0	8.0	1.9941986947063088	0.9958091617854039	0.000999000999000999	750	796	11	1.0	750,758,761,766,767,774,779,784,789,794,796	P49750	YLPM1	0.035464535464535464	0.9958091617854039
75	13	40	10	5.049	4.0	7.0	1.9805902158843334	0.9859304174983441	0.000999000999000999	138	204	10	1.0	138,142,149,151,173,175,188,200,202,204	Q5BKZ1	ZNF326	0.035464535464535464	0.9859304174983441
100	14	54	12	6.107	4.0	9.0	1.9649582446373013	0.9744986555399916	0.000999000999000999	365	459	20	0.6	365,368,376,386,388,390,436,441,445,453,455,459	P51114	FXR1	0.035464535464535464	0.9744986555399916
75	16	43	11	5.642	4.0	8.0	1.9496632399858205	0.9632249527138127	0.000999000999000999	4	71	11	1.0	4,12,13,23,28,36,45,50,64,69,71	P08670	VIM	0.035464535464535464	0.9632249527138127
50	11	41	11	5.645	4.0	8.0	1.9486271036315326	0.9624580376390213	0.000999000999000999	82	127	14	0.7857142857142857	82,84,86,96,98,108,110,112,118,124,127	P09038	FGF2	0.035464535464535464	0.9624580376390213
75	13	41	9	4.654	3.0	7.0	1.9338203695745595	0.9514537906990508	0.000999000999000999	171	237	9	1.0	171,179,185,188,191,199,208,217,237	Q9ULX6	AKAP8L	0.035464535464535464	1.0354165372231356
100	14	38	10	5.196	4.0	7.0	1.924557351809084	0.9445266641015684	0.000999000999000999	419	518	10	1.0	419,432,436,442,454,459,463,475,509,518	Q13310	PABPC4	0.035464535464535464	0.9445266641015684
100	11	61	7	3.697	3.0	5.0	1.8934271030565324	0.920999878532448	0.000999000999000999	668	757	12	0.5833333333333334	668,681,696,698,747,749,757	O00267	SUPT5H	0.035464535464535464	0.920999878532448
100	13	53	11	5.847	4.0	8.0	1.8813066529844362	0.911735027320338	0.000999000999000999	471	564	19	0.5789473684210527	471,474,477,479,484,534,539,544,546,562,564	Q06787	FMR1	0.035464535464535464	0.9439714610772487
100	18	34	16	8.522	6.0	11.0	1.8774935461159352	0.9088079484838677	0.000999000999000999	599	698	16	1.0	599,608,612,616,619,626,633,640,660,667,676,684,688,690,695,698	Q14444	CAPRIN1	0.035464535464535464	0.9088079484838677
100	19	43	12	6.405	5.0	9.0	1.8735362997658078	0.9057639301542342	0.000999000999000999	419	518	12	1.0	419,432,436,443,455,460,467,475,481,493,506,518	P11940	PABPC1	0.035464535464535464	0.9057639301542342
75	13	36	9	4.821	3.0	7.0	1.866832607342875	0.9005925717081494	0.000999000999000999	13	77	9	1.0	13,20,25,30,46,48,52,64,77	P08729	KRT7	0.035464535464535464	0.9005925717081494
100	24	45	17	9.207	6.0	13.0	1.8464212012599108	0.8847316947247854	0.000999000999000999	702	793	17	1.0	702,707,709,715,720,727,732,733,739,755,762,768,773,779,787,789,793	Q00839	HNRNPU	0.035464535464535464	0.8847316947247854
75	12	64	11	6.296	5.0	9.0	1.7471410419313849	0.8049960777918977	0.000999000999000999	210	275	16	0.6875	210,224,228,233,238,241,251,256,261,271,275	P62995	TRA2B	0.035464535464535464	0.8049960777918977
100	24	59	12	6.965	5.0	9.0	1.722900215362527	0.784839147894628	0.000999000999000999	117	205	12	1.0	117,122,137,142,144,155,160,167,180,185,200,205	Q8WUF5	PPP1R13L	0.035464535464535464	0.784839147894628
100	14	31	12	7.243	5.0	10.0	1.6567720557779926	0.728375125419916	0.000999000999000999	199	299	13	0.9230769230769231	199,206,212,217,224,230,232,233,259,262,294,299	P55795	HNRNPH2	0.035464535464535464	0.8862995008352719
75	14	30	8	4.894	4.0	7.0	1.634654679199019	0.7089858985826972	0.000999000999000999	340	415	8	1.0	340,355,378,384,394,411,413,415	Q92945	KHSRP	0.035464535464535464	0.7089858985826972
100	16	29	15	9.453	7.0	12.0	1.5867978419549351	0.66611834053191	0.000999000999000999	8	100	17	0.8823529411764706	8,15,21,24,27,34,36,43,45,59,70,72,78,92,100	P22087	FBL	0.035464535464535464	0.66611834053191
50	16	34	10	6.746	6.0	8.0	1.4823599169878445	0.5678957765313227	0.000999000999000999	24	71	10	1.0	24,26,33,35,42,44,52,62,64,71	P0DI83	RAB34	0.035464535464535464	0.5678957765313227
