term_id	term_name	primary_family	audit_status	assignment_method	secondary_rule_matches	override_reason	genes_in_reviewed_universe
C0001432	Adenoma, Chromophobe	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	1
C0001433	Adenoma, Acidophil	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	2
C0001442	Adenosarcoma	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	8
C0001486	Adenovirus Infections	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	136
C0001510	Postoperative adhesion	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0001511	Tissue Adhesions	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0001529	Adiposis Dolorosa	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001539	Adjustment disorder with depressed mood	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	0
C0001546	Adjustment Disorders	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0001576	Adnexal Diseases	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0001614	Adrenal Cortex Diseases	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	11
C0001618	Tumors of Adrenal Cortex	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	70
C0001621	Adrenal Gland Diseases	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0001622	Adrenal Gland Hyperfunction	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	48
C0001623	Adrenal gland hypofunction	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	84
C0001624	Adrenal Gland Neoplasms	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	86
C0001627	Congenital adrenal hyperplasia	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	79
C0001630	Adrenal Rest Tumor	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	2
C0001676	Adult Antisocial Behavior	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001723	Affective Disorders, Psychotic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	16
C0001726	Affective Symptoms	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0001733	Afibrinogenemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0001752	African swine fever	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001768	Agammaglobulinemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	43
C0001787	Osteoporosis, Age-Related	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	85
C0001807	Aggressive behavior	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	175
C0001811	Aging	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001815	Primary Myelofibrosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	264
C0001816	Agnosia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	17
C0001818	Agoraphobia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	27
C0001824	Agranulocytosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	52
C0001825	Agraphia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0001828	Agricultural Workers' Diseases	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001849	AIDS Dementia Complex	Alzheimer / tau / dementia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Alzheimer / tau / dementia).	43
C0001857	AIDS related complex	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	94
C0001883	Airway Obstruction	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	103
C0001889	Akinetic Mutism	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001890	Akinetic Petit Mal	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0001916	Albinism	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	45
C0001925	Albuminuria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	70
C0001948	Alcohol consumption	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	194
C0001956	Alcohol Use Disorder	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	206
C0001957	Alcohol Withdrawal Delirium	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0001969	Alcoholic Intoxication	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	50
C0001973	Alcoholic Intoxication, Chronic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	544
C0002016	Aleutian Mink Disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0002018	Alexia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0002020	Alexithymia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	37
C0002063	Alkalosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	25
C0002064	Alkalosis, Respiratory	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0002066	Alkaptonuria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	12
C0002103	Atopic rhinitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	13
C0002136	Allogenic disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0002152	Alloxan Diabetes	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	112
C0002170	Alopecia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	453
C0002171	Alopecia Areata	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	100
C0002312	alpha-Thalassemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	78
C0002351	Altitude Sickness	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	10
C0002382	Alveolar Bone Loss	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	95
C0002390	Extrinsic allergic alveolitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	63
C0002395	Alzheimer's Disease	Alzheimer / tau / dementia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Alzheimer / tau / dementia).	3092
C0002418	Amblyopia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	83
C0002438	Amebiasis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	36
C0002447	Amelia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0002448	Ameloblastoma	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	165
C0002452	Amelogenesis Imperfecta	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	60
C0002453	Amenorrhea	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	37
C0002514	Amino Acid Metabolism, Inborn Errors	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	19
C0002534	Renal Aminoacidurias	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0002622	Amnesia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	163
C0002623	Post-traumatic amnesia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0002624	Retrograde amnesia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0002625	Amnestic Disorder	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0002631	Infection of amniotic cavity	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0002690	Amputation Stumps	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	11
C0002726	Amyloidosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	661
C0002735	Oppenheim's Disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0002736	Amyotrophic Lateral Sclerosis	ALS / motor neuron / FTD	included	precedence_rule		Primary assignment is the first matching family in precedence order (ALS / motor neuron / FTD).	1051
C0002768	Congenital Pain Insensitivity	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	14
C0002792	anaphylaxis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	168
C0002793	Anaplasia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	503
C0002797	Bovine Anaplasmosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0002831	Ancylostomiasis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0002871	Anemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	801
C0002873	Anemia of chronic disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	96
C0002874	Aplastic Anemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	225
C0002875	Cooley's anemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	132
C0002876	Congenital dyserythropoietic anemia	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	22
C0002878	Anemia, Hemolytic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	141
C0002879	Anemia, Hemolytic, Acquired	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	16
C0002880	Autoimmune hemolytic anemia	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	69
C0002881	Anemia, Hemolytic, Congenital	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	23
C0002882	Anemia, Hemolytic, Congenital Nonspherocytic	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	4
C0002883	Anemia, Hemolytic, Idiopathic Acquired	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0002884	Hypochromic anemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0002886	Anemia, Macrocytic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	49
C0002888	Anemia, Megaloblastic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	26
C0002889	Anemia, Microangiopathic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	13
C0002890	Leukoerythroblastic Anemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0002891	Anemia, Neonatal	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0002892	Anemia, Pernicious	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0002893	Refractory anemias	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	320
C0002894	Refractory anaemia with excess blasts	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	44
C0002895	Anemia, Sickle Cell	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	411
C0002896	Sideroblastic anemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0002897	Anemia, Splenic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0002902	Anencephaly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	56
C0002938	Aneuploidy	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0002940	Aneurysm	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0002949	Aneurysm, Dissecting	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	32
C0002957	Anger	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0002959	Angiectasis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0002962	Angina Pectoris	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	133
C0002963	Angina Pectoris, Variant	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	25
C0002965	Angina, Unstable	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	115
C0002982	Angioid Streaks	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	13
C0002985	Angiokeratoma	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0002986	Fabry Disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	103
C0002989	Epithelioid hemangioma of skin	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0002991	Cutaneous Fibrous Histiocytoma	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	40
C0002992	Angiomatosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0002994	Angioedema	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	18
C0003028	Anhidrosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	36
C0003076	Aniridia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	78
C0003078	Aniseikonia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0003079	Anisocoria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0003081	Anisometropia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0003089	Ankylosing spondylitis and other inflammatory spondylopathies	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	3
C0003090	Ankylosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0003113	Anomia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0003119	Anophthalmos	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	87
C0003123	Anorexia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	228
C0003125	Anorexia Nervosa	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	192
C0003126	Anosmia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	40
C0003128	Anovulation	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	31
C0003129	Anoxemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	33
C0003130	Anoxia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	285
C0003132	Anoxic Encephalopathy	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0003164	Anthracosilicosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0003165	Anthracosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	58
C0003175	Anthrax disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	64
C0003177	Cutaneous anthrax	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0003257	Antibody Deficiency Syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	21
C0003431	Antisocial Personality Disorder	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	60
C0003460	Anuria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	18
C0003463	Anus Neoplasms	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	8
C0003466	Anus, Imperforate	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	138
C0003467	Anxiety	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	986
C0003469	Anxiety Disorders	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	788
C0003477	Separation Anxiety Disorder	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	12
C0003486	Aortic Aneurysm	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	240
C0003492	Aortic coarctation	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	85
C0003493	Aortic Diseases	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	42
C0003496	Aortic Rupture	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0003499	Supravalvular aortic stenosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0003504	Aortic Valve Insufficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	349
C0003507	Aortic Valve Stenosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	221
C0003509	Aortitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	14
C0003510	Aortitis Syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	2
C0003516	Aortopulmonary Septal Defect	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0003534	Aphakia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0003537	Aphasia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	76
C0003546	Aphasia, Acquired	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0003550	Broca Aphasia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	11
C0003564	Aphonia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0003578	Apnea	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	246
C0003614	Appendiceal Neoplasms	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	5
C0003615	Appendicitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	79
C0003621	Appetite Disorders	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0003635	Apraxias	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	69
C0003650	Apudoma	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0003706	Arachnodactyly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	102
C0003708	Arachnoiditis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0003723	Arbovirus Infections	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0003742	Arcus Senilis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	12
C0003756	Arenaviridae Infections	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0003803	Arnold Chiari Malformation	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	53
C0003810	Sertoli-Leydig cell tumor of ovary	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	5
C0003811	Cardiac Arrhythmia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	530
C0003834	Arterial insufficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0003838	Arterial Occlusive Diseases	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	32
C0003850	Arteriosclerosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1796
C0003851	Arteriosclerosis Obliterans	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	35
C0003855	Arteriovenous fistula	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	89
C0003857	Congenital arteriovenous malformation	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	154
C0003860	Arteritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0003862	Arthralgia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	242
C0003864	Arthritis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	1018
C0003865	Arthritis, Adjuvant-Induced	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	41
C0003868	Arthritis, Gouty	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	177
C0003869	Arthritis, Infectious	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	31
C0003872	Arthritis, Psoriatic	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	416
C0003873	Rheumatoid Arthritis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	2427
C0003875	Arthritis, Viral	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	3
C0003886	Arthrogryposis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	183
C0003892	Neurogenic arthropathy	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0003907	Arthus Reaction	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	11
C0003910	Articulation Disorders	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0003944	As If Personality	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0003949	Asbestosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	46
C0003950	Ascariasis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0003962	Ascites	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	194
C0003969	Ascorbic Acid Deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0004030	Aspergillosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	45
C0004031	Aspergillosis, Allergic Bronchopulmonary	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	28
C0004044	Asphyxia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0004045	Asphyxia Neonatorum	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	45
C0004048	Inspiration function	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0004059	aspirin intolerance	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	23
C0004093	Asthenia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	16
C0004096	Asthma	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	1911
C0004099	Asthma, Exercise-Induced	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	8
C0004106	Astigmatism	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	139
C0004114	Astrocytoma	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	929
C0004134	Ataxia	Ataxia / cerebellar degeneration	included	precedence_rule		Primary assignment is the first matching family in precedence order (Ataxia / cerebellar degeneration).	841
C0004135	Ataxia Telangiectasia	Excluded: genome-instability syndrome	excluded_from_overview	curated_override		Curated override: excluded rather than counted as general ataxia; genome-instability family is outside the 8-family overview.	345
C0004138	Ataxias, Hereditary	Ataxia / cerebellar degeneration	included	precedence_rule		Primary assignment is the first matching family in precedence order (Ataxia / cerebellar degeneration).	35
C0004144	Atelectasis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	62
C0004153	Atherosclerosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1832
C0004158	Athetosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	39
