protein_label	canonical_UniProtAC	methyl_site_count	substrate_genename	functional_class_broad	functional_class_subclass	gene_name	selected_assembly_count
DHX9 (Q08211)	Q08211	19	DHX9	DNA repair / genome maintenance;RNA-binding / RNP;Signaling / enzymes	RNA helicases;RNA-associated zinc finger / post-transcriptional;Signaling / enzymes	DHX9	6
HNRNPA1 (P09651)	P09651	20	HNRNPA1	RNA-binding / RNP;Translation / ribosome / biogenesis	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPA1	8
CAPRIN1 (Q14444)	Q14444	18	CAPRIN1	Cell cycle / centrosome / spindle;Cytoplasmic / trafficking / cytoskeleton;Membrane / receptor / extracellular;RNA-binding / RNP	Cell cycle / centrosome / spindle;Membrane / receptor / extracellular;Poly(A) / stability RBPs	CAPRIN1	4
HNRNPA3 (P51991)	P51991	20	HNRNPA3	RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPA3	4
PABPC1 (P11940)	P11940	19	PABPC1	RNA-binding / RNP	Poly(A) / stability RBPs;RRM / KH RBPs;Stress granule / paraspeckle / P-body	PABPC1	6
FMR1 (Q06787)	Q06787	13	FMR1	Chromatin / transcription;RNA-binding / RNP;Translation / ribosome / biogenesis	Chromatin readers;RRM / KH RBPs;Stress granule / paraspeckle / P-body	FMR1	4
KHDRBS1 (Q07666)	Q07666	25	KHDRBS1	RNA-binding / RNP;Signaling / enzymes	RRM / KH RBPs;Signaling / enzymes	KHDRBS1	4
HNRNPD (Q14103)	Q14103	9	HNRNPD	RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPD	5
HNRNPL (P14866)	P14866	10	HNRNPL	RNA-binding / RNP;Translation / ribosome / biogenesis	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPL	5
ILF3 (Q12906)	Q12906	13	ILF3	DNA repair / genome maintenance;RNA-binding / RNP;Signaling / enzymes;Translation / ribosome / biogenesis	RNA-associated zinc finger / post-transcriptional;RRM / KH RBPs;Signaling / enzymes;Translation / initiation / elongation	ILF3	5
HNRNPA2B1 (P22626)	P22626	15	HNRNPA2B1	RNA-binding / RNP;Translation / ribosome / biogenesis	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPA2B1	5
HNRNPU (Q00839)	Q00839	24	HNRNPU	Nuclear scaffold / pore / lamina;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes;Translation / ribosome / biogenesis	Nuclear scaffold / pore / lamina;Poorly characterized / specialized;Signaling / enzymes;hnRNP / RG-rich RBPs;mRNA processing / export / 3'-end	HNRNPU	5
NCL (P19338)	P19338	17	NCL	RNA-binding / RNP;Translation / ribosome / biogenesis	Nucleolar / ribosome biogenesis;RRM / KH RBPs	NCL	5
PABPC4 (Q13310)	Q13310	14	PABPC4	RNA-binding / RNP	Poly(A) / stability RBPs;RRM / KH RBPs;Stress granule / paraspeckle / P-body	PABPC4	4
SYNCRIP (O60506)	O60506	24	SYNCRIP	Cytoplasmic / trafficking / cytoskeleton;RNA-binding / RNP;Translation / ribosome / biogenesis	Cytoskeleton / trafficking;RRM / KH RBPs;hnRNP / RG-rich RBPs	SYNCRIP	4
