canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
A0A075B6I9	Membrane / receptor / extracellular	Other / unclassified	IGLV7-46	LV746_HUMAN	Immunoglobulin lambda variable 7-46				a0a075b6i9 iglv7-46 lv746_human immunoglobulin lambda variable 7-46   	False
A0A075B6J1	Membrane / receptor / extracellular	Other / unclassified	IGLV5-37	LV537_HUMAN	Immunoglobulin lambda variable 5-37				a0a075b6j1 iglv5-37 lv537_human immunoglobulin lambda variable 5-37   	False
A0A075B6J2	Membrane / receptor / extracellular	Other / unclassified	IGLV2-33	LV233_HUMAN	Probable non-functional immunoglobulin lambda variable 2-33				a0a075b6j2 iglv2-33 lv233_human probable non-functional immunoglobulin lambda variable 2-33   	False
A0A075B6J6	Membrane / receptor / extracellular	Other / unclassified	IGLV3-22	LV322_HUMAN	Immunoglobulin lambda variable 3-22				a0a075b6j6 iglv3-22 lv322_human immunoglobulin lambda variable 3-22   	False
A0A075B6J9	Membrane / receptor / extracellular	Other / unclassified	IGLV2-18	LV218_HUMAN	Immunoglobulin lambda variable 2-18				a0a075b6j9 iglv2-18 lv218_human immunoglobulin lambda variable 2-18   	False
A0A075B6K0	Membrane / receptor / extracellular	Other / unclassified	IGLV3-16	LV316_HUMAN	Immunoglobulin lambda variable 3-16				a0a075b6k0 iglv3-16 lv316_human immunoglobulin lambda variable 3-16   	False
A0A075B6K2	Membrane / receptor / extracellular	Other / unclassified	IGLV3-12	LV312_HUMAN	Immunoglobulin lambda variable 3-12				a0a075b6k2 iglv3-12 lv312_human immunoglobulin lambda variable 3-12   	False
A0A075B6K4	Membrane / receptor / extracellular	Other / unclassified	IGLV3-10	LV310_HUMAN	Immunoglobulin lambda variable 3-10				a0a075b6k4 iglv3-10 lv310_human immunoglobulin lambda variable 3-10   	False
A0A075B6K5	Membrane / receptor / extracellular	Other / unclassified	IGLV3-9	LV39_HUMAN	Immunoglobulin lambda variable 3-9				a0a075b6k5 iglv3-9 lv39_human immunoglobulin lambda variable 3-9   	False
A0A075B6K6	Membrane / receptor / extracellular	Other / unclassified	IGLV4-3	LV403_HUMAN	Immunoglobulin lambda variable 4-3				a0a075b6k6 iglv4-3 lv403_human immunoglobulin lambda variable 4-3   	False
A0A075B6P5	Membrane / receptor / extracellular	Other / unclassified	IGKV2-28	KV228_HUMAN	Immunoglobulin kappa variable 2-28				a0a075b6p5 igkv2-28 kv228_human immunoglobulin kappa variable 2-28   	False
A0A075B6Q5	Membrane / receptor / extracellular	Other / unclassified	IGHV3-64	HV364_HUMAN	Immunoglobulin heavy variable 3-64				a0a075b6q5 ighv3-64 hv364_human immunoglobulin heavy variable 3-64   	False
A0A075B6R2	Membrane / receptor / extracellular	Other / unclassified	IGHV4-4	HV404_HUMAN	Immunoglobulin heavy variable 4-4				a0a075b6r2 ighv4-4 hv404_human immunoglobulin heavy variable 4-4   	False
A0A075B6R9	Membrane / receptor / extracellular	Other / unclassified	IGKV2D-24	KVD24_HUMAN	Probable non-functional immunoglobulin kappa variable 2D-24				a0a075b6r9 igkv2d-24 kvd24_human probable non-functional immunoglobulin kappa variable 2d-24   	False
A0A075B6S2	Membrane / receptor / extracellular	Other / unclassified	IGKV2D-29	KVD29_HUMAN	Immunoglobulin kappa variable 2D-29				a0a075b6s2 igkv2d-29 kvd29_human immunoglobulin kappa variable 2d-29   	False
A0A075B6S4	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-17	KVD17_HUMAN	Immunoglobulin kappa variable 1D-17				a0a075b6s4 igkv1d-17 kvd17_human immunoglobulin kappa variable 1d-17   	False
A0A075B6S5	Membrane / receptor / extracellular	Other / unclassified	IGKV1-27	KV127_HUMAN	Immunoglobulin kappa variable 1-27				a0a075b6s5 igkv1-27 kv127_human immunoglobulin kappa variable 1-27   	False
A0A075B6S6	Membrane / receptor / extracellular	Other / unclassified	IGKV2D-30	KVD30_HUMAN	Immunoglobulin kappa variable 2D-30				a0a075b6s6 igkv2d-30 kvd30_human immunoglobulin kappa variable 2d-30   	False
A0A075B6S9	Membrane / receptor / extracellular	Other / unclassified	IGKV1-37	KV137_HUMAN	Probable non-functional immunoglobulin kappa variable 1-37				a0a075b6s9 igkv1-37 kv137_human probable non-functional immunoglobulin kappa variable 1-37   	False
A0A075B759	Other / unclassified	Other / unclassified	PPIAL4E	PAL4E_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4E (PPIase A-like 4E) (EC 5.2.1.8)				a0a075b759 ppial4e pal4e_human peptidyl-prolyl cis-trans isomerase a-like 4e (ppiase a-like 4e) (ec 5.2.1.8)   	False
A0A075B767	Other / unclassified	Other / unclassified	PPIAL4H	PAL4H_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4H (PPIase A-like 4H) (EC 5.2.1.8)				a0a075b767 ppial4h pal4h_human peptidyl-prolyl cis-trans isomerase a-like 4h (ppiase a-like 4h) (ec 5.2.1.8)   	False
A0A087WSX0	Membrane / receptor / extracellular	Other / unclassified	IGLV5-45	LV545_HUMAN	Immunoglobulin lambda variable 5-45				a0a087wsx0 iglv5-45 lv545_human immunoglobulin lambda variable 5-45   	False
A0A087WSY4	Membrane / receptor / extracellular	Other / unclassified	IGHV4-30-2	HV432_HUMAN	Immunoglobulin heavy variable 4-30-2				a0a087wsy4 ighv4-30-2 hv432_human immunoglobulin heavy variable 4-30-2   	False
A0A087WSY6	Membrane / receptor / extracellular	Other / unclassified	IGKV3D-15	KVD15_HUMAN	Immunoglobulin kappa variable 3D-15				a0a087wsy6 igkv3d-15 kvd15_human immunoglobulin kappa variable 3d-15   	False
A0A087WSZ0	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-8	KVD08_HUMAN	Immunoglobulin kappa variable 1D-8				a0a087wsz0 igkv1d-8 kvd08_human immunoglobulin kappa variable 1d-8   	False
A0A087WUL8	Other / unclassified	Other / unclassified	NBPF19	NBPFJ_HUMAN	NBPF family member NBPF19 (Neuroblastoma breakpoint family member 19)				a0a087wul8 nbpf19 nbpfj_human nbpf family member nbpf19 (neuroblastoma breakpoint family member 19)   	False
A0A087WV53	Other / unclassified	Other / unclassified	SPEGNB	SPEGN_HUMAN	SPEG neighbor protein				a0a087wv53 spegnb spegn_human speg neighbor protein   	False
A0A087WW87	Membrane / receptor / extracellular	Other / unclassified	IGKV2-40	KV240_HUMAN	Immunoglobulin kappa variable 2-40				a0a087ww87 igkv2-40 kv240_human immunoglobulin kappa variable 2-40   	False
A0A087WWS6	Membrane / receptor / extracellular	Other / unclassified	IFNA13	IFNAD_HUMAN	Interferon alpha-13				a0a087wws6 ifna13 ifnad_human interferon alpha-13   	False
A0A087X0D8	Other / unclassified	Other / unclassified	WDR38	A0A087X0D8_HUMAN	WD repeat domain 38;	Name: WDR38;			a0a087x0d8 wdr38 a0a087x0d8_human wd repeat domain 38; name: wdr38;  	False
A0A087X1C1	Other / unclassified	Other / unclassified	TMSB15C	A0A087X1C1_HUMAN	Thymosin beta 15C;	Name: TMSB15C;			a0a087x1c1 tmsb15c a0a087x1c1_human thymosin beta 15c; name: tmsb15c;  	False
A0A087X1C5	Other / unclassified	Other / unclassified	CYP2D7	CP2D7_HUMAN	Cytochrome P450 2D7 (EC 1.14.14.1)				a0a087x1c5 cyp2d7 cp2d7_human cytochrome p450 2d7 (ec 1.14.14.1)   	False
A0A096LNP1	Membrane / receptor / extracellular	Other / unclassified	DEFB131B	D131B_HUMAN	Beta-defensin 131B (Defensin, beta 131)				a0a096lnp1 defb131b d131b_human beta-defensin 131b (defensin, beta 131)   	False
A0A096LNW5	Other / unclassified	Other / unclassified	NOTCH2NLR	NT2NR_HUMAN	Notch homolog 2 N-terminal-like protein R (NOTCH2NL-related)				a0a096lnw5 notch2nlr nt2nr_human notch homolog 2 n-terminal-like protein r (notch2nl-related)   	False
A0A0A0MRZ7	Membrane / receptor / extracellular	Other / unclassified	IGKV2D-26	KVD26_HUMAN	Immunoglobulin kappa variable 2D-26				a0a0a0mrz7 igkv2d-26 kvd26_human immunoglobulin kappa variable 2d-26   	False
A0A0A0MRZ8	Membrane / receptor / extracellular	Other / unclassified	IGKV3D-11	KVD11_HUMAN	Immunoglobulin kappa variable 3D-11				a0a0a0mrz8 igkv3d-11 kvd11_human immunoglobulin kappa variable 3d-11   	False
A0A0A0MRZ9	Membrane / receptor / extracellular	Other / unclassified	IGLV5-52	LV552_HUMAN	Immunoglobulin lambda variable 5-52				a0a0a0mrz9 iglv5-52 lv552_human immunoglobulin lambda variable 5-52   	False
A0A0A0MS00	Membrane / receptor / extracellular	Other / unclassified	IGLV3-32	LV332_HUMAN	Probable non-functional immunoglobulin lambda variable 3-32				a0a0a0ms00 iglv3-32 lv332_human probable non-functional immunoglobulin lambda variable 3-32   	False
A0A0A0MS14	Membrane / receptor / extracellular	Other / unclassified	IGHV1-45	HV145_HUMAN	Immunoglobulin heavy variable 1-45				a0a0a0ms14 ighv1-45 hv145_human immunoglobulin heavy variable 1-45   	False
A0A0A0MS15	Membrane / receptor / extracellular	Other / unclassified	IGHV3-49	HV349_HUMAN	Immunoglobulin heavy variable 3-49				a0a0a0ms15 ighv3-49 hv349_human immunoglobulin heavy variable 3-49   	False
A0A0A0MT36	Membrane / receptor / extracellular	Other / unclassified	IGKV6D-21	KVD21_HUMAN	Immunoglobulin kappa variable 6D-21				a0a0a0mt36 igkv6d-21 kvd21_human immunoglobulin kappa variable 6d-21   	False
A0A0A0MT76	Membrane / receptor / extracellular	Other / unclassified	IGLJ1	LJ01_HUMAN	Immunoglobulin lambda joining 1				a0a0a0mt76 iglj1 lj01_human immunoglobulin lambda joining 1   	False
A0A0A0MT89	Membrane / receptor / extracellular	Other / unclassified	IGKJ1	KJ01_HUMAN	Immunoglobulin kappa joining 1				a0a0a0mt89 igkj1 kj01_human immunoglobulin kappa joining 1   	False
A0A0A6YYL3	Other / unclassified	Other / unclassified	POTEB	POTEB_HUMAN	POTE ankyrin domain family member B (ANKRD26-like family B member 1) (Prostate, ovary, testis-expressed protein on chromosome 15) (POTE-15)				a0a0a6yyl3 poteb poteb_human pote ankyrin domain family member b (ankrd26-like family b member 1) (prostate, ovary, testis-expressed protein on chromosome 15) (pote-15)   	False
A0A0B4J1U3	Membrane / receptor / extracellular	Other / unclassified	IGLV1-36	LV136_HUMAN	Immunoglobulin lambda variable 1-36				a0a0b4j1u3 iglv1-36 lv136_human immunoglobulin lambda variable 1-36   	False
A0A0B4J1U7	Membrane / receptor / extracellular	Other / unclassified	IGHV6-1	HV601_HUMAN	Immunoglobulin heavy variable 6-1				a0a0b4j1u7 ighv6-1 hv601_human immunoglobulin heavy variable 6-1   	False
A0A0B4J1V0	Membrane / receptor / extracellular	Other / unclassified	IGHV3-15	HV315_HUMAN	Immunoglobulin heavy variable 3-15				a0a0b4j1v0 ighv3-15 hv315_human immunoglobulin heavy variable 3-15   	False
A0A0B4J1V1	Membrane / receptor / extracellular	Other / unclassified	IGHV3-21	HV321_HUMAN	Immunoglobulin heavy variable 3-21				a0a0b4j1v1 ighv3-21 hv321_human immunoglobulin heavy variable 3-21   	False
A0A0B4J1V2	Membrane / receptor / extracellular	Other / unclassified	IGHV2-26	HV226_HUMAN	Immunoglobulin heavy variable 2-26				a0a0b4j1v2 ighv2-26 hv226_human immunoglobulin heavy variable 2-26   	False
A0A0B4J1V6	Membrane / receptor / extracellular	Other / unclassified	IGHV3-73	HV373_HUMAN	Immunoglobulin heavy variable 3-73				a0a0b4j1v6 ighv3-73 hv373_human immunoglobulin heavy variable 3-73   	False
A0A0B4J1V7	Membrane / receptor / extracellular	Other / unclassified	IGHV7-81	HV781_HUMAN	Probable non-functional immunoglobulin heavy variable 7-81				a0a0b4j1v7 ighv7-81 hv781_human probable non-functional immunoglobulin heavy variable 7-81   	False
A0A0B4J1X5	Membrane / receptor / extracellular	Other / unclassified	IGHV3-74	HV374_HUMAN	Immunoglobulin heavy variable 3-74				a0a0b4j1x5 ighv3-74 hv374_human immunoglobulin heavy variable 3-74   	False
A0A0B4J1X8	Membrane / receptor / extracellular	Other / unclassified	IGHV3-43	HV343_HUMAN	Immunoglobulin heavy variable 3-43				a0a0b4j1x8 ighv3-43 hv343_human immunoglobulin heavy variable 3-43   	False
A0A0B4J1Y8	Membrane / receptor / extracellular	Other / unclassified	IGLV9-49	LV949_HUMAN	Immunoglobulin lambda variable 9-49 precursor; ; Immunoglobulin lambda variable 9-49	Name: IGLV9-49;			a0a0b4j1y8 iglv9-49 lv949_human immunoglobulin lambda variable 9-49 precursor; ; immunoglobulin lambda variable 9-49 name: iglv9-49;  	False
A0A0B4J1Y9	Membrane / receptor / extracellular	Other / unclassified	IGHV3-72	HV372_HUMAN	Immunoglobulin heavy variable 3-72				a0a0b4j1y9 ighv3-72 hv372_human immunoglobulin heavy variable 3-72   	False
A0A0B4J1Z2	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-43	KVD43_HUMAN	Immunoglobulin kappa variable 1D-43				a0a0b4j1z2 igkv1d-43 kvd43_human immunoglobulin kappa variable 1d-43   	False
A0A0B4J2A2	Other / unclassified	Other / unclassified	PPIAL4C	PAL4C_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4C (PPIase A-like 4C) (EC 5.2.1.8)		Cyclophilin-like domain superfamily ; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain IPR029000 ; IPR002130 homologous_superfamily ; domain		a0a0b4j2a2 ppial4c pal4c_human peptidyl-prolyl cis-trans isomerase a-like 4c (ppiase a-like 4c) (ec 5.2.1.8)  cyclophilin-like domain superfamily ; cyclophilin-type peptidyl-prolyl cis-trans isomerase domain ipr029000 ; ipr002130 homologous_superfamily ; domain 	True
A0A0B4J2D9	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-13	KVD13_HUMAN	Immunoglobulin kappa variable 1D-13				a0a0b4j2d9 igkv1d-13 kvd13_human immunoglobulin kappa variable 1d-13   	False
A0A0B4J2F0	Other / unclassified	Other / unclassified	PIGBOS1	PIOS1_HUMAN	Protein PIGBOS1 (PIGB opposite strand protein 1)				a0a0b4j2f0 pigbos1 pios1_human protein pigbos1 (pigb opposite strand protein 1)   	False
A0A0B4J2H0	Membrane / receptor / extracellular	Other / unclassified	IGHV1-69D	HV69D_HUMAN	Immunoglobulin heavy variable 1-69D				a0a0b4j2h0 ighv1-69d hv69d_human immunoglobulin heavy variable 1-69d   	False
A0A0C4DGE7	Other / unclassified	Other / unclassified	EVC2	A0A0C4DGE7_HUMAN	Ellis van Creveld syndrome 2 (Limbin), isoform CRA_c;	Name: EVC2; ORFNames: hCG_1981074;			a0a0c4dge7 evc2 a0a0c4dge7_human ellis van creveld syndrome 2 (limbin), isoform cra_c; name: evc2; orfnames: hcg_1981074;  	False
A0A0C4DGQ4	Other / unclassified	Other / unclassified	NLRP13	A0A0C4DGQ4_HUMAN	NLR family pyrin domain containing 13;	Name: NLRP13;			a0a0c4dgq4 nlrp13 a0a0c4dgq4_human nlr family pyrin domain containing 13; name: nlrp13;  	False
A0A0C4DH24	Membrane / receptor / extracellular	Other / unclassified	IGKV6-21	KV621_HUMAN	Immunoglobulin kappa variable 6-21				a0a0c4dh24 igkv6-21 kv621_human immunoglobulin kappa variable 6-21   	False
A0A0C4DH25	Membrane / receptor / extracellular	Other / unclassified	IGKV3D-20	KVD20_HUMAN	Immunoglobulin kappa variable 3D-20				a0a0c4dh25 igkv3d-20 kvd20_human immunoglobulin kappa variable 3d-20   	False
A0A0C4DH26	Membrane / receptor / extracellular	Other / unclassified	IGKV6D-41	KVD41_HUMAN	Probable non-functional immunoglobulin kappa variable 6D-41				a0a0c4dh26 igkv6d-41 kvd41_human probable non-functional immunoglobulin kappa variable 6d-41   	False
A0A0C4DH29	Membrane / receptor / extracellular	Other / unclassified	IGHV1-3	HV103_HUMAN	Immunoglobulin heavy variable 1-3				a0a0c4dh29 ighv1-3 hv103_human immunoglobulin heavy variable 1-3   	False
A0A0C4DH30	Membrane / receptor / extracellular	Other / unclassified	IGHV3-16	HV316_HUMAN	Probable non-functional immunoglobulin heavy variable 3-16				a0a0c4dh30 ighv3-16 hv316_human probable non-functional immunoglobulin heavy variable 3-16   	False
A0A0C4DH31	Membrane / receptor / extracellular	Other / unclassified	IGHV1-18	HV118_HUMAN	Immunoglobulin heavy variable 1-18				a0a0c4dh31 ighv1-18 hv118_human immunoglobulin heavy variable 1-18   	False
A0A0C4DH32	Membrane / receptor / extracellular	Other / unclassified	IGHV3-20	HV320_HUMAN	Immunoglobulin heavy variable 3-20				a0a0c4dh32 ighv3-20 hv320_human immunoglobulin heavy variable 3-20   	False
A0A0C4DH33	Membrane / receptor / extracellular	Other / unclassified	IGHV1-24	HV124_HUMAN	Immunoglobulin heavy variable 1-24				a0a0c4dh33 ighv1-24 hv124_human immunoglobulin heavy variable 1-24   	False
A0A0C4DH34	Membrane / receptor / extracellular	Other / unclassified	IGHV4-28	HV428_HUMAN	Immunoglobulin heavy variable 4-28				a0a0c4dh34 ighv4-28 hv428_human immunoglobulin heavy variable 4-28   	False
A0A0C4DH35	Membrane / receptor / extracellular	Other / unclassified	IGHV3-35	HV335_HUMAN	Probable non-functional immunoglobulin heavy variable 3-35				a0a0c4dh35 ighv3-35 hv335_human probable non-functional immunoglobulin heavy variable 3-35   	False
A0A0C4DH36	Membrane / receptor / extracellular	Other / unclassified	IGHV3-38	HV338_HUMAN	Probable non-functional immunoglobulin heavy variable 3-38				a0a0c4dh36 ighv3-38 hv338_human probable non-functional immunoglobulin heavy variable 3-38   	False
A0A0C4DH38	Membrane / receptor / extracellular	Other / unclassified	IGHV5-51	HV551_HUMAN	Immunoglobulin heavy variable 5-51				a0a0c4dh38 ighv5-51 hv551_human immunoglobulin heavy variable 5-51   	False
A0A0C4DH39	Membrane / receptor / extracellular	Other / unclassified	IGHV1-58	HV158_HUMAN	Immunoglobulin heavy variable 1-58				a0a0c4dh39 ighv1-58 hv158_human immunoglobulin heavy variable 1-58   	False
A0A0C4DH41	Membrane / receptor / extracellular	Other / unclassified	IGHV4-61	HV461_HUMAN	Immunoglobulin heavy variable 4-61				a0a0c4dh41 ighv4-61 hv461_human immunoglobulin heavy variable 4-61   	False
A0A0C4DH42	Membrane / receptor / extracellular	Other / unclassified	IGHV3-66	HV366_HUMAN	Immunoglobulin heavy variable 3-66				a0a0c4dh42 ighv3-66 hv366_human immunoglobulin heavy variable 3-66   	False
A0A0C4DH43	Membrane / receptor / extracellular	Other / unclassified	IGHV2-70D	HV70D_HUMAN	Immunoglobulin heavy variable 2-70D				a0a0c4dh43 ighv2-70d hv70d_human immunoglobulin heavy variable 2-70d   	False
A0A0C4DH55	Membrane / receptor / extracellular	Other / unclassified	IGKV3D-7	KVD07_HUMAN	Immunoglobulin kappa variable 3D-7				a0a0c4dh55 igkv3d-7 kvd07_human immunoglobulin kappa variable 3d-7   	False
A0A0C4DH62	Membrane / receptor / extracellular	Other / unclassified	IGHJ1	HJ01_HUMAN	Immunoglobulin heavy joining 1				a0a0c4dh62 ighj1 hj01_human immunoglobulin heavy joining 1   	False
A0A0C4DH67	Membrane / receptor / extracellular	Other / unclassified	IGKV1-8	KV108_HUMAN	Immunoglobulin kappa variable 1-8				a0a0c4dh67 igkv1-8 kv108_human immunoglobulin kappa variable 1-8   	False
A0A0C4DH68	Membrane / receptor / extracellular	Other / unclassified	IGKV2-24	KV224_HUMAN	Immunoglobulin kappa variable 2-24				a0a0c4dh68 igkv2-24 kv224_human immunoglobulin kappa variable 2-24   	False
A0A0C4DH69	Membrane / receptor / extracellular	Other / unclassified	IGKV1-9	KV109_HUMAN	Immunoglobulin kappa variable 1-9				a0a0c4dh69 igkv1-9 kv109_human immunoglobulin kappa variable 1-9   	False
A0A0C4DH72	Membrane / receptor / extracellular	Other / unclassified	IGKV1-6	KV106_HUMAN	Immunoglobulin kappa variable 1-6				a0a0c4dh72 igkv1-6 kv106_human immunoglobulin kappa variable 1-6   	False
A0A0C4DH73	Membrane / receptor / extracellular	Other / unclassified	IGKV1-12	KV112_HUMAN	Immunoglobulin kappa variable 1-12				a0a0c4dh73 igkv1-12 kv112_human immunoglobulin kappa variable 1-12   	False
A0A0G2JMD5	Other / unclassified	Other / unclassified	PRAMEF33	PRA33_HUMAN	PRAME family member 33				a0a0g2jmd5 pramef33 pra33_human prame family member 33   	False
A0A0G2JMI3	Membrane / receptor / extracellular	Other / unclassified	IGHV1-69-2	HV692_HUMAN	Immunoglobulin heavy variable 1-69-2				a0a0g2jmi3 ighv1-69-2 hv692_human immunoglobulin heavy variable 1-69-2   	False
A0A0G2JS06	Membrane / receptor / extracellular	Other / unclassified	IGLV5-39	LV539_HUMAN	Immunoglobulin lambda variable 5-39				a0a0g2js06 iglv5-39 lv539_human immunoglobulin lambda variable 5-39   	False
A0A0J9YVY3	Membrane / receptor / extracellular	Other / unclassified	IGHV7-4-1	HV741_HUMAN	Immunoglobulin heavy variable 7-4-1				a0a0j9yvy3 ighv7-4-1 hv741_human immunoglobulin heavy variable 7-4-1   	False
A0A0J9YWL9	Other / unclassified	Other / unclassified	TEX13C	TX13C_HUMAN	Testis-expressed protein 13C				a0a0j9ywl9 tex13c tx13c_human testis-expressed protein 13c   	False
A0A0J9YX35	Membrane / receptor / extracellular	Other / unclassified	IGHV3-64D	HV64D_HUMAN	Immunoglobulin heavy variable 3-64D				a0a0j9yx35 ighv3-64d hv64d_human immunoglobulin heavy variable 3-64d   	False
A0A0J9YX57	Other / unclassified	Other / unclassified	MAGEB6B	MAB6B_HUMAN	Melanoma-associated antigen B6B				a0a0j9yx57 mageb6b mab6b_human melanoma-associated antigen b6b   	False
A0A0J9YX94	Other / unclassified	Other / unclassified	PNMA6F	PMA6F_HUMAN	Paraneoplastic antigen Ma6F				a0a0j9yx94 pnma6f pma6f_human paraneoplastic antigen ma6f   	False
A0A0J9YXQ4	Other / unclassified	Other / unclassified	PNMA6E	PMA6E_HUMAN	Paraneoplastic antigen Ma6E				a0a0j9yxq4 pnma6e pma6e_human paraneoplastic antigen ma6e   	False
A0A0J9YXX1	Membrane / receptor / extracellular	Other / unclassified	IGHV5-10-1	HV5X1_HUMAN	Immunoglobulin heavy variable 5-10-1				a0a0j9yxx1 ighv5-10-1 hv5x1_human immunoglobulin heavy variable 5-10-1   	False
A0A0J9YY54	Other / unclassified	Other / unclassified	TEX13D	TX13D_HUMAN	Testis-expressed protein 13D				a0a0j9yy54 tex13d tx13d_human testis-expressed protein 13d   	False
A0A0K2S4Q6	Other / unclassified	Other / unclassified	CD300H	CD3CH_HUMAN	Protein CD300H (CD300 antigen-like family member H)				a0a0k2s4q6 cd300h cd3ch_human protein cd300h (cd300 antigen-like family member h)   	False
A0A0U1RQF7	Other / unclassified	Other / unclassified	DPEP2NB	DP2NB_HUMAN	DPEP2 neighbor protein				a0a0u1rqf7 dpep2nb dp2nb_human dpep2 neighbor protein   	False
A0A0U1RRK4	Other / unclassified	Other / unclassified	LBHD2	LBHD2_HUMAN	LBH domain-containing protein 2				a0a0u1rrk4 lbhd2 lbhd2_human lbh domain-containing protein 2   	False
A0A0U1RRL7	Other / unclassified	Other / unclassified	MMP24OS	MMPOS_HUMAN	Protein MMP24OS (MMP24 opposite strand)				a0a0u1rrl7 mmp24os mmpos_human protein mmp24os (mmp24 opposite strand)   	False
A0A183	Other / unclassified	Other / unclassified	LCE6A	LCE6A_HUMAN	Late cornified envelope protein 6A				a0a183 lce6a lce6a_human late cornified envelope protein 6a   	False
A0A1B0GTB2	Other / unclassified	Other / unclassified	TUNAR	TUNAR_HUMAN	Protein TUNAR (pTUNAR) (Beta cell and neural cell-regulin) (BNLN) (TCL1 upstream neural differentiation-associated RNA)				a0a1b0gtb2 tunar tunar_human protein tunar (ptunar) (beta cell and neural cell-regulin) (bnln) (tcl1 upstream neural differentiation-associated rna)   	False
A0A1B0GTK4	Other / unclassified	Other / unclassified	FAM237A	F237A_HUMAN	Protein FAM237A				a0a1b0gtk4 fam237a f237a_human protein fam237a   	False
A0A1B0GTK5	Other / unclassified	Other / unclassified	FAM236D	F236D_HUMAN	Protein FAM236D				a0a1b0gtk5 fam236d f236d_human protein fam236d   	False
A0A1B0GTR0	Other / unclassified	Other / unclassified	EDDM13	EDD13_HUMAN	Epididymal protein 13				a0a1b0gtr0 eddm13 edd13_human epididymal protein 13   	False
A0A1B0GTR4	Other / unclassified	Other / unclassified	SPRR5	SPRR5_HUMAN	Small proline-rich protein 5				a0a1b0gtr4 sprr5 sprr5_human small proline-rich protein 5   	False
