canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
A0A075B6X5	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV18	TVA18_HUMAN	T cell receptor alpha variable 18				a0a075b6x5 trav18 tva18_human t cell receptor alpha variable 18   	False
A0A075B6Y3	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAJ3	TJA3_HUMAN	T cell receptor alpha joining 3				a0a075b6y3 traj3 tja3_human t cell receptor alpha joining 3   	False
A0A075B6Y9	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAJ42	TJA42_HUMAN	T cell receptor alpha joining 42				a0a075b6y9 traj42 tja42_human t cell receptor alpha joining 42   	False
A0A075B700	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAJ31	TJA31_HUMAN	T cell receptor alpha joining 31				a0a075b700 traj31 tja31_human t cell receptor alpha joining 31   	False
A0A075B706	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRDJ1	TRDJ1_HUMAN	T cell receptor delta joining 1				a0a075b706 trdj1 trdj1_human t cell receptor delta joining 1   	False
A0A075B730	Cytoplasmic / trafficking / cytoskeleton	Adhesion / intermediate filament scaffolds	EPPK1				Plectin repeat ; Plakin repeat superfamily IPR001101 ; IPR035915 repeat ; homologous_superfamily		a0a075b730 eppk1    plectin repeat ; plakin repeat superfamily ipr001101 ; ipr035915 repeat ; homologous_superfamily 	True
A0A075B734	Poorly characterized / specialized	Poorly characterized / specialized	AQP7B	AQP7B_HUMAN	Putative aquaporin-7B				a0a075b734 aqp7b aqp7b_human putative aquaporin-7b   	False
A0A075B759	Other / unclassified	Other / unclassified	PPIAL4E	PAL4E_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4E (PPIase A-like 4E) (EC 5.2.1.8)				a0a075b759 ppial4e pal4e_human peptidyl-prolyl cis-trans isomerase a-like 4e (ppiase a-like 4e) (ec 5.2.1.8)   	False
A0A075B767	Other / unclassified	Other / unclassified	PPIAL4H	PAL4H_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4H (PPIase A-like 4H) (EC 5.2.1.8)				a0a075b767 ppial4h pal4h_human peptidyl-prolyl cis-trans isomerase a-like 4h (ppiase a-like 4h) (ec 5.2.1.8)   	False
A0A075B7F1	Membrane / receptor / extracellular;Poorly characterized / specialized	Poorly characterized / specialized	IGHV3OR16-8	A0A075B7F1_HUMAN	Immunoglobulin heavy variable 3/OR16-8 (non-functional) (Fragment);	Name: IGHV3OR16-8;			a0a075b7f1 ighv3or16-8 a0a075b7f1_human immunoglobulin heavy variable 3/or16-8 (non-functional) (fragment); name: ighv3or16-8;  	False
A0A087WSW0	Chromatin / transcription	DNA-binding transcription factors / developmental regulators;Transcription / mediator / polymerase	HELT	A0A087WSW0_HUMAN	Helt bHLH transcription factor;	Name: HELT;			a0a087wsw0 helt a0a087wsw0_human helt bhlh transcription factor; name: helt;  	False
A0A087WSX0	Membrane / receptor / extracellular	Other / unclassified	IGLV5-45	LV545_HUMAN	Immunoglobulin lambda variable 5-45				a0a087wsx0 iglv5-45 lv545_human immunoglobulin lambda variable 5-45   	False
A0A087WSY4	Membrane / receptor / extracellular	Other / unclassified	IGHV4-30-2	HV432_HUMAN	Immunoglobulin heavy variable 4-30-2				a0a087wsy4 ighv4-30-2 hv432_human immunoglobulin heavy variable 4-30-2   	False
A0A087WSY6	Membrane / receptor / extracellular	Other / unclassified	IGKV3D-15	KVD15_HUMAN	Immunoglobulin kappa variable 3D-15				a0a087wsy6 igkv3d-15 kvd15_human immunoglobulin kappa variable 3d-15   	False
A0A087WSZ0	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-8	KVD08_HUMAN	Immunoglobulin kappa variable 1D-8				a0a087wsz0 igkv1d-8 kvd08_human immunoglobulin kappa variable 1d-8   	False
A0A087WSZ9	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV30	TVA30_HUMAN	T cell receptor alpha variable 30				a0a087wsz9 trav30 tva30_human t cell receptor alpha variable 30   	False
A0A087WT01	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV27	TVA27_HUMAN	T cell receptor alpha variable 27				a0a087wt01 trav27 tva27_human t cell receptor alpha variable 27   	False
A0A087WT02	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV9-2	TVA92_HUMAN	T cell receptor alpha variable 9-2				a0a087wt02 trav9-2 tva92_human t cell receptor alpha variable 9-2   	False
A0A087WT03	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV26-1	TVAZ1_HUMAN	T cell receptor alpha variable 26-1				a0a087wt03 trav26-1 tvaz1_human t cell receptor alpha variable 26-1   	False
A0A087WTH1	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TMEM265	TM265_HUMAN	Transmembrane protein 265				a0a087wth1 tmem265 tm265_human transmembrane protein 265   	False
A0A087WUK2	RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPDL				RNA-binding domain superfamily ; Nucleotide-binding alpha-beta plait domain superfamily ; RNA recognition motif domain ; hnRNP DL, RNA recognition motif 1 IPR035979 ; IPR012677 ; IPR000504 ; IPR034847 homologous_superfamily ; domain RRM / KH RNA-binding	RRM / KH RNA-binding	a0a087wuk2 hnrnpdl    rna-binding domain superfamily ; nucleotide-binding alpha-beta plait domain superfamily ; rna recognition motif domain ; hnrnp dl, rna recognition motif 1 ipr035979 ; ipr012677 ; ipr000504 ; ipr034847 homologous_superfamily ; domain rrm / kh rna-binding rrm / kh rna-binding	True
A0A087WUL4	Chromatin / transcription;RNA-binding / RNP;Signaling / enzymes	RNA-associated zinc finger / post-transcriptional;Signaling / enzymes;Transcription / mediator / polymerase	PEG10				RTL1/3-8/LDOC, capsid-like domain ; Zinc finger, CCHC-type superfamily ; Zinc finger, CCHC-type ; Aspartic peptidase domain superfamily ; DNA/RNA polymerase superfamily ; Reverse transcriptase/Diguanylate cyclase domain IPR032549 ; IPR036875 ; IPR001878 ; IPR021109 ; IPR043502 ; IPR043128 domain ; homologous_superfamily RNA-associated zinc finger; Catalytic enzyme domain	RNA-associated zinc finger; Catalytic enzyme domain	a0a087wul4 peg10    rtl1/3-8/ldoc, capsid-like domain ; zinc finger, cchc-type superfamily ; zinc finger, cchc-type ; aspartic peptidase domain superfamily ; dna/rna polymerase superfamily ; reverse transcriptase/diguanylate cyclase domain ipr032549 ; ipr036875 ; ipr001878 ; ipr021109 ; ipr043502 ; ipr043128 domain ; homologous_superfamily rna-associated zinc finger; catalytic enzyme domain rna-associated zinc finger; catalytic enzyme domain	True
A0A087WUL8	Other / unclassified	Other / unclassified	NBPF19	NBPFJ_HUMAN	NBPF family member NBPF19 (Neuroblastoma breakpoint family member 19)				a0a087wul8 nbpf19 nbpfj_human nbpf family member nbpf19 (neuroblastoma breakpoint family member 19)   	False
A0A087WUV0	Chromatin / transcription	DNA-binding transcription factors / developmental regulators	ZNF892	ZN892_HUMAN	Zinc finger protein 892				a0a087wuv0 znf892 zn892_human zinc finger protein 892   	False
A0A087WV53	Other / unclassified	Other / unclassified	SPEGNB	SPEGN_HUMAN	SPEG neighbor protein				a0a087wv53 spegnb spegn_human speg neighbor protein   	False
A0A087WV62	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV16	TVB16_HUMAN	T cell receptor beta variable 16				a0a087wv62 trbv16 tvb16_human t cell receptor beta variable 16   	False
A0A087WVF3	Cytoplasmic / trafficking / cytoskeleton	Endomembrane / coat trafficking	TBC1D3D	TBC3D_HUMAN	TBC1 domain family member 3D				a0a087wvf3 tbc1d3d tbc3d_human tbc1 domain family member 3d   	False
A0A087WVF7	Cytoplasmic / trafficking / cytoskeleton	Cytoskeleton / trafficking	ITSN2						a0a087wvf7 itsn2     	True
A0A087WW06	DNA repair / genome maintenance	DNA repair / DDR	TTC28				Tetratricopeptide repeat ; Tetratricopeptide-like helical domain superfamily ; CHAT domain ; TTC28, C-terminal domain IPR019734 ; IPR011990 ; IPR024983 ; IPR058900 repeat ; homologous_superfamily ; domain		a0a087ww06 ttc28    tetratricopeptide repeat ; tetratricopeptide-like helical domain superfamily ; chat domain ; ttc28, c-terminal domain ipr019734 ; ipr011990 ; ipr024983 ; ipr058900 repeat ; homologous_superfamily ; domain 	True
A0A087WW87	Membrane / receptor / extracellular	Other / unclassified	IGKV2-40	KV240_HUMAN	Immunoglobulin kappa variable 2-40				a0a087ww87 igkv2-40 kv240_human immunoglobulin kappa variable 2-40   	False
A0A087WWA1	Poorly characterized / specialized	Poorly characterized / specialized	P3R3URF	P3URF_HUMAN	PIK3R3 upstream open reading frame protein				a0a087wwa1 p3r3urf p3urf_human pik3r3 upstream open reading frame protein   	False
A0A087WWP4	RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	RBM15				RNA-binding domain superfamily ; RBM15, RNA recognition motif 1 ; RNA recognition motif domain ; Nucleotide-binding alpha-beta plait domain superfamily ; RBM15, RNA recognition motif 2 ; RBM15, RNA recognition motif 3 ; SPOC-like, C-terminal domain superfamily ; Spen paralogue/orthologue C-terminal, metazoa ; Spen paralogue and orthologue SPOC, C-terminal IPR035979 ; IPR034470 ; IPR000504 ; IPR012677 ; IPR034472 ; IPR034473 ; IPR016194 ; IPR010912 ; IPR012921 homologous_superfamily ; domain RRM / KH RNA-binding	RRM / KH RNA-binding	a0a087wwp4 rbm15    rna-binding domain superfamily ; rbm15, rna recognition motif 1 ; rna recognition motif domain ; nucleotide-binding alpha-beta plait domain superfamily ; rbm15, rna recognition motif 2 ; rbm15, rna recognition motif 3 ; spoc-like, c-terminal domain superfamily ; spen paralogue/orthologue c-terminal, metazoa ; spen paralogue and orthologue spoc, c-terminal ipr035979 ; ipr034470 ; ipr000504 ; ipr012677 ; ipr034472 ; ipr034473 ; ipr016194 ; ipr010912 ; ipr012921 homologous_superfamily ; domain rrm / kh rna-binding rrm / kh rna-binding	True
A0A087WWS6	Membrane / receptor / extracellular	Other / unclassified	IFNA13	IFNAD_HUMAN	Interferon alpha-13				a0a087wws6 ifna13 ifnad_human interferon alpha-13   	False
A0A087WXM9	Cell cycle / centrosome / spindle	Cell cycle / centrosome / spindle	MEIKIN	MEIKN_HUMAN	Meiosis-specific kinetochore protein; ; Meiosis-specific kinetochore protein	Name: MEIKIN;			a0a087wxm9 meikin meikn_human meiosis-specific kinetochore protein; ; meiosis-specific kinetochore protein name: meikin;  	False
A0A087WXS9	Cytoplasmic / trafficking / cytoskeleton	Endomembrane / coat trafficking	TBC1D3I	TBC3I_HUMAN	TBC1 domain family member 3I				a0a087wxs9 tbc1d3i tbc3i_human tbc1 domain family member 3i   	False
A0A087WYA1	Cytoplasmic / trafficking / cytoskeleton	Cytoskeleton / trafficking	MYO15A						a0a087wya1 myo15a     	True
A0A087WZ32	Cytoplasmic / trafficking / cytoskeleton	Cytoskeleton / trafficking	PLEKHA2				PH-like domain superfamily ; Pleckstrin homology domain IPR011993 ; IPR001849 homologous_superfamily ; domain		a0a087wz32 plekha2    ph-like domain superfamily ; pleckstrin homology domain ipr011993 ; ipr001849 homologous_superfamily ; domain 	True
A0A087WZV0	Signaling / enzymes	Signaling / enzymes	PPIP5K2				VIP1, N-terminal ; Histidine phosphatase superfamily IPR040557 ; IPR029033 domain ; homologous_superfamily Catalytic enzyme domain	Catalytic enzyme domain	a0a087wzv0 ppip5k2    vip1, n-terminal ; histidine phosphatase superfamily ipr040557 ; ipr029033 domain ; homologous_superfamily catalytic enzyme domain catalytic enzyme domain	True
A0A087WZX0	Chromatin / transcription	Chromatin readers	BCL9L				Zinc finger, RING/FYVE/PHD-type ; B-cell lymphoma 9, beta-catenin binding domain IPR013083 ; IPR024670 homologous_superfamily ; domain Chromatin reader	Chromatin reader	a0a087wzx0 bcl9l    zinc finger, ring/fyve/phd-type ; b-cell lymphoma 9, beta-catenin binding domain ipr013083 ; ipr024670 homologous_superfamily ; domain chromatin reader chromatin reader	True
A0A087X0D8	Other / unclassified	Other / unclassified	WDR38	A0A087X0D8_HUMAN	WD repeat domain 38;	Name: WDR38;			a0a087x0d8 wdr38 a0a087x0d8_human wd repeat domain 38; name: wdr38;  	False
A0A087X0K7	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV17	TVB17_HUMAN	Probable non-functional T cell receptor beta variable 17				a0a087x0k7 trbv17 tvb17_human probable non-functional t cell receptor beta variable 17   	False
A0A087X0M5	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV18	TVB18_HUMAN	T cell receptor beta variable 18				a0a087x0m5 trbv18 tvb18_human t cell receptor beta variable 18   	False
A0A087X0Q1	RNA-binding / RNP	RRM / KH RBPs;mRNA processing / export / 3'-end	YTHDF3				YTH domain IPR007275 domain		a0a087x0q1 ythdf3    yth domain ipr007275 domain 	True
A0A087X179	Cytoplasmic / trafficking / cytoskeleton	Endomembrane / coat trafficking	TBC1D3E	TBC3E_HUMAN	TBC1 domain family member 3E				a0a087x179 tbc1d3e tbc3e_human tbc1 domain family member 3e   	False
A0A087X1A5	RNA-binding / RNP	RRM / KH RBPs;mRNA processing / export / 3'-end	STAU1						a0a087x1a5 stau1     	True
A0A087X1C1	Other / unclassified	Other / unclassified	TMSB15C	A0A087X1C1_HUMAN	Thymosin beta 15C;	Name: TMSB15C;			a0a087x1c1 tmsb15c a0a087x1c1_human thymosin beta 15c; name: tmsb15c;  	False
A0A087X1C5	Other / unclassified	Other / unclassified	CYP2D7	CP2D7_HUMAN	Cytochrome P450 2D7 (EC 1.14.14.1)				a0a087x1c5 cyp2d7 cp2d7_human cytochrome p450 2d7 (ec 1.14.14.1)   	False
A0A087X1G2	Cytoplasmic / trafficking / cytoskeleton	Endomembrane / coat trafficking	TBC1D3K	TBC3K_HUMAN	TBC1 domain family member 3K				a0a087x1g2 tbc1d3k tbc3k_human tbc1 domain family member 3k   	False
A0A087X208	Membrane / receptor / extracellular;Nuclear scaffold / pore / lamina	Membrane / receptor / extracellular;Nuclear scaffold / pore / lamina	AGRN				Follistatin-like, N-terminal ; Factor I / membrane attack complex ; Kazal domain superfamily ; Kazal domain ; EGF-like domain ; Laminin-type EGF domain ; SEA domain ; SEA domain superfamily ; EGF-like calcium-binding domain ; Concanavalin A-like lectin/glucanase domain superfamily ; Laminin G domain IPR003645 ; IPR003884 ; IPR036058 ; IPR002350 ; IPR000742 ; IPR002049 ; IPR000082 ; IPR036364 ; IPR001881 ; IPR013320 ; IPR001791 domain ; homologous_superfamily		a0a087x208 agrn    follistatin-like, n-terminal ; factor i / membrane attack complex ; kazal domain superfamily ; kazal domain ; egf-like domain ; laminin-type egf domain ; sea domain ; sea domain superfamily ; egf-like calcium-binding domain ; concanavalin a-like lectin/glucanase domain superfamily ; laminin g domain ipr003645 ; ipr003884 ; ipr036058 ; ipr002350 ; ipr000742 ; ipr002049 ; ipr000082 ; ipr036364 ; ipr001881 ; ipr013320 ; ipr001791 domain ; homologous_superfamily 	True
A0A096LNH6	Cytoplasmic / trafficking / cytoskeleton;Nuclear scaffold / pore / lamina;RNA-binding / RNP	Cytoskeleton / trafficking;Nuclear scaffold / pore / lamina;mRNA processing / export / 3'-end	DOCK1				SH3-like domain superfamily ; SH3 domain ; Dedicator of cytokinesis protein 1/5, SH3 domain ; Dedicator of cytokinesis, N-terminal domain ; Dedicator of cytokinesis, N-terminal, subdomain 1 ; C2 DOCK-type domain ; Dedicator of cytokinesis protein 1, C2 domain ; C2 domain superfamily ; Dedicator of cytokinesis, TPR repeats region ; Armadillo-type fold ; Dedicator of cytokinesis, C-terminal, lobe A ; DOCKER, Lobe A ; DOCKER domain ; DOCKER, Lobe B ; Dedicator of cytokinesis, C-terminal, lobe C ; DOCKER, Lobe C IPR036028 ; IPR001452 ; IPR047025 ; IPR032376 ; IPR042455 ; IPR027007 ; IPR047026 ; IPR035892 ; IPR056372 ; IPR016024 ; IPR043161 ; IPR046769 ; IPR027357 ; IPR046770 ; IPR043162 ; IPR046773 homologous_superfamily ; domain Protein-protein repeat / scaffold	Protein-protein repeat / scaffold	a0a096lnh6 dock1    sh3-like domain superfamily ; sh3 domain ; dedicator of cytokinesis protein 1/5, sh3 domain ; dedicator of cytokinesis, n-terminal domain ; dedicator of cytokinesis, n-terminal, subdomain 1 ; c2 dock-type domain ; dedicator of cytokinesis protein 1, c2 domain ; c2 domain superfamily ; dedicator of cytokinesis, tpr repeats region ; armadillo-type fold ; dedicator of cytokinesis, c-terminal, lobe a ; docker, lobe a ; docker domain ; docker, lobe b ; dedicator of cytokinesis, c-terminal, lobe c ; docker, lobe c ipr036028 ; ipr001452 ; ipr047025 ; ipr032376 ; ipr042455 ; ipr027007 ; ipr047026 ; ipr035892 ; ipr056372 ; ipr016024 ; ipr043161 ; ipr046769 ; ipr027357 ; ipr046770 ; ipr043162 ; ipr046773 homologous_superfamily ; domain protein-protein repeat / scaffold protein-protein repeat / scaffold	True
